[2026-06-17 12:47:32] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-06-16
正在获取论文...
[arXiv] 2026-06-16 | OmniDroneX: An LLM-Assisted Holistic Drone-as-a-Service Ecosystem
[NO] 73/200 | AIGS-Net: Compact Illumination Field Modeling via 2D Gaussian Splatting for Fast Low-Light Image Enhancement
[NO] 74/200 | Differential Privacy of Gaussian Process Posterior Sampling
[NO] 75/200 | Asymptotic enumeration of unlabelled cubic planar graphs
[NO] 76/200 | Planning to Hammer: Difficulty-Aware Decomposition for Automating Rocq Proofs
[NO] 77/200 | Kes 75 with IXPE: Detection of Nebular X-ray Polarization and Change in Pulsar Lightcurve
[NO] 78/200 | STAR: SpatioTemporal Adaptive Reward Allocation for Text-to-Image RL Post-Training
[NO] 79/200 | Learning task-specific subspaces via interventional post-training of speech foundation models
[NO] 80/200 | Children Are Not the Enemy: Child-Fit Security as an Alternative to Bans and Surveillance
[NO] 81/200 | RouteBalance: Fused Model Routing and Load Balancing for Heterogeneous LLM Serving
[NO] 82/200 | Multigrid Preconditioning for FEEC using Mass-Lumping and Transforming Smoothers
[NO] 83/200 | Dual Line Coherent Detection
[NO] 84/200 | Direct Measurement of the $^{212}\mathrm{Pb}$ and $^{214}\mathrm{Pb}$ $β$ Decay Branching Ratios with the XENONnT Experiment
[NO] 85/200 | Twin-beam advantage in quantum LiDAR under correlated noise
[NO] 86/200 | WAM-RL: World-Action Model Reinforcement Learning with Reconstruction Rewards and Online Video SFT
[NO] 87/200 | Constellation Design for Nonlinear Unified SWIPT Receiver Channels with Memory
[NO] 88/200 | Hydrogen s-electrons as the origin of crystal magnetism beyond spin-orbit coupling
[NO] 89/200 | Detectability of deuterium in spectra of early-type stars
[NO] 90/200 | Demultiplexing Generalized Information via Quantum Transmission Lines
[NO] 91/200 | Influence of Ultramicroporosity and Surface Chemistry on Dynamic CO2 Capture in Activated Carbons
[NO] 92/200 | AI Adoption Across a Multinational Workforce: Sociotechnical Conditions for GenAI Acceptance in Human Resources
[NO] 93/200 | Finite and disordered Kitaev chains: a large deviation study
[NO] 94/200 | A 399uW 114.3 dB DR Companding Readout ASIC for MEMS Microphones Employing a Multirate Time-Domain ADC
[NO] 95/200 | StepGuard: Guarding Web Navigation via Single-Step Calibration
[NO] 96/200 | Perceptually-Weighted Video Quality Metric for Asymmetric Encoded Sports Videos
[NO] 97/200 | Experimental Characterization and Modeling of Measurement-Induced State-Transitions in a Fluxonium Superconducting Qubit
[NO] 98/200 | WallZero: Mastering the Game of WallGo with Strategic Analysis
[NO] 99/200 | The antiferromagnetic transition in the frustrated bixbyite $β$-Fe$_2$O$_3$ magnet
[NO] 100/200 | Environment-Grounded Automated Prompt Optimization for LLM Game Agents
[NO] 101/200 | LLM-NER Driven Parametric Completion for Aircraft Assembly Order Document
[NO] 102/200 | A Graph Deep Learning Approach for Ethereum Phishing Scam Detection
[NO] 103/200 | 5GC-Bench: A Framework for Stress-Testing and Benchmarking 5G Core VNFs
[NO] 104/200 | RewardHackingAgents: Benchmarking Evaluation Integrity for LLM ML-Engineering Agents
[NO] 105/200 | Time Series Prediction of Wind and Solar Power in Power Generation Stations Based on the KNN-BiLSTM Model
[NO] 106/200 | Threat Detection in Ethereum Smart Contracts Using a Hierarchical Depthwise Graph Convolutional Neural Network
[NO] 107/200 | Artificial Intelligence in E-Learning: Shaping Personalized Education through Adaptive Systems
[NO] 108/200 | ViChan: A Dataset Generation Framework for Vision-aided Channel Estimation with Deep Learning
[NO] 109/200 | Modeling and Parameter Estimation of Air-to-Ground Channels Using a Mixture of Skew Normal Distributions
[NO] 110/200 | On the Performance of Cognitive RSMA-Enabled Large-Scale MEC Networks
[NO] 111/200 | Reserve Capacity Optimization Method for New-Type Power Systems Considering Reliability
[NO] 112/200 | Insulator Defect Detection Algorithm Based on Optimized Yolov8-Attention Mechanism
[NO] 113/200 | Massive Digital AirComp with Vector Quantization and Bidirectional Links for FEEL
[NO] 114/200 | Primary – Secondary Coordinated Active Power Support Strategy for Grid-Following/Grid-Forming Hybrid Renewable Power Plants
[NO] 115/200 | A Study on Synchronization of Multi-Modal Services Over 5G: From Application Layer to RAN
[NO] 116/200 | Research on SMA Compaction Degree Monitoring Method Based on BP Neural Network
[NO] 117/200 | Hybrid Lyapunov-Based Scheduling for Heterogeneous Traffic in 5G Industrial Environments
[NO] 118/200 | End-to-End Compressed Learning Using a Dual Attention Residual Network at Low Sampling Rates
[NO] 119/200 | Few-Shot Augmentation of Wind and Solar Power Data under Cold Wave Weather Condition
[NO] 120/200 | RLCVP: Collaborative Vehicular Perception Against Data Fabrication Attacks
[NO] 121/200 | Attention and Curiosity Based Reinforcement Learning Approach for Drone Collision Avoidance
[NO] 122/200 | Reconfigurable Bandstop Surface for Beyond 5G/6G Applications
[NO] 123/200 | Semantically Guided Temporal Action Segmentation for Industrial Assembly Operations
[NO] 124/200 | Low-Code/No-Code Automation Framework for Library Prep Automation in Next Generation Sequencing (NGS) for Methylation Workflows
[NO] 125/200 | Semantic Anchor-Based Localization and Failure Recovery for Indoor Mobile Robots
[NO] 126/200 | When Security Aligns: Security Concord as a Determinant of Senior Mhealth Adoption
[NO] 127/200 | Detection of Tobacco Stem Conditioning Atomization State Based on Swin Transformer
[NO] 128/200 | A Spatial-Temporal Topological Decoupling Method in Battery-Free Sensor Networks
[NO] 129/200 | A PSO-SVM Operating Condition Identification Method for Natural Gas Pipelines Oriented to Energy and Carbon Perception
[NO] 130/200 | An HESS-Based Grid-Forming Equipment for Voltage Sag Ride-Through in Distribution Networks
[NO] 131/200 | Signal Augmentation and Pseudo-Labeling for Semi-Supervised Automatic Modulation Classification
[NO] 132/200 | Impact of Metallization on Quality Factor of Fused-silIca Shell Resonators
[YES] 133/200 | Multi-Target Imaging with OFDM Transmission for Low-Altitude Wireless Networks
[NO] 134/200 | DRL-Based Multi-AUVs Cooperative Path Planning Under Acoustic Field Constraint
[NO] 135/200 | OA-SSM Net: Organ-Aware State Space Modeling for Abdominal Multi-Organ Segmentation
[NO] 136/200 | Research on the Improvement of Image Defect Detection Method Based on DINO
[NO] 137/200 | VLM-TAU: Traffic Accidents Understanding with Vision-Language Models
[NO] 138/200 | Hybrid Semantic–Bit Networks for Asymmetric Industrial WNCSs: Resource Optimization with Peak Age of Semantic-Enabled Loop
[NO] 139/200 | Characterization of Delamination Fatigue Damage of SiC
                    <sub>f</sub>
                    /SiC Composites Based on Cyclic Cohesion Model
[NO] 140/200 | DL-DETR: Drone-based Lightweight Detection Models
[NO] 141/200 | AI Based Textual Analysis Framework: Unlocking Patterns in Literary Works
[NO] 142/200 | A Real-Time and Energy-Efficient 3D Gaussian Splatting-based Geometric and Semantic Mapping Processor with 2-level Redundancy Handling for Embodied Agents
[NO] 143/200 | Incorporating Measurement Uncertainty into Uncertainty-Aware GANs: A Metrology-Driven Approach
[NO] 144/200 | Exploring Capabilities of Vision Language Models to Perform Explainable Face Image Quality Assessments
[NO] 145/200 | Kernel robust manifold nonnegative matrix factorization with local similarity learning
[NO] 146/200 | Synchronization-Aware Cooperative MIMO for Kappa-Mu Faded Underwater Channels Using Hybrid Acoustic and Magnetic Induction
[NO] 147/200 | Vector Envelope Spectrum Estimator: A Source Double-Channel Feature Extraction Method for Planetary Gearbox Fault Detection
[NO] 148/200 | Non Iterative Fault Location Approach for Transmission Lines with Parameter Estimation
[NO] 149/200 | Meteorology-Driven Self-Correcting LLM Priors for Smart Grid Outage Prediction and Bayesian Fault-Chain Risk Analysis
[NO] 150/200 | XOV-Action: Towards Generalizable Open-Vocabulary Action Recognition
[NO] 151/200 | Physics-Informed Prognostic Assessment of Transformer Oil Aging via Ultrasonic Sensing and an Integro-Difference Framework
[NO] 152/200 | Modeling, Identifying, and Ultra-High‑Precision Trimming of Mass Imperfection in Hemispherical Resonator
[NO] 153/200 | A Wideband and High Gain Stacked Dielectric Resonator Antenna With Cavity Backing Based on SISL for Millimeter-Wave Applications
[NO] 154/200 | Federated Analytics Assisted Semantic Alignment for Secure and Privacy-preserving Image Classification
[NO] 155/200 | Table of Contents
[YES] 156/200 | Rotor Micro-Doppler Extraction in Protocol-Driven TDD ISAC With Periodic Sparse Sampling
[NO] 157/200 | Novel Relationship Between Breakdown Voltage and Specific On-Resistance of Accumulation-Mode VDMOS
[NO] 158/200 | Satellite NOMA for Direct-to-Cell Communications: Fundamentals, Protocols, and Opportunities
[NO] 159/200 | Dynamic Analysis and Compensation Strategy for Power Generation Optimizing in PM-A Reluctance Starter/Generator in MEA
[NO] 160/200 | A Metaloop Rectenna with Integrated Solar Cell for Compact RF-Solar Hybrid Energy Harvesting
[NO] 161/200 | Estimation of Jitter Using Knowledge-Based Bidirectional Mamba Architecture for XDR Systems
[NO] 162/200 | CarbonX: An Open-Source Tool for Computational Decarbonization Using Time Series Foundation Models
[NO] 163/200 | Improving Datacenter IT Capacity, Cooling Efficiency and Lifetime with Underground Thermal Energy Storage Systems
[NO] 164/200 | GPU-Native Multi-Area State Estimation via SIMD Abstraction and Boundary Condensation
[NO] 165/200 | Packaging and Integration of a Dual-Polarized MIMO Antenna with Pattern Diversity for Dual-Camera Wireless Capsule Endoscopy
[NO] 166/200 | Blank Page
[NO] 167/200 | Time Domain and Reflectivity Properties of Gas Discharge Tubes in Microwave Pulse Compression Cavities
[NO] 168/200 | Heterogeneous Ensemble Learning-Based Soft Sensor Modeling Method for Silicon Content Prediction in Blast Furnace
[NO] 169/200 | Successive Cancellation Decoding For General Monotone Chain Polar Codes
[NO] 170/200 | Suppression Effect of Electron Beam on Partial Discharge in Vacuum
[NO] 171/200 | A Novel Voltage-Divider-Based Defect Test Architecture for Post-bond Through Silicon Vias
[NO] 172/200 | A General Approach to Visualizing Uncertainty in Statistical Graphics
[NO] 173/200 | New Guideline of Variational Mode Decomposition for Compound Rotating Machinery Fault Diagnosis
[NO] 174/200 | MEAE 2025 Copyright Page
[NO] 175/200 | Weighted Bipartite Graph-Based Topology Derivation Method of Single-Stage Multiport Inverters
[NO] 176/200 | Online Temperature Estimation of Three-Phase SCIM Using Low-Order LPTN Model
[NO] 177/200 | Group-Aware Interactive Scenario Generation for Vehicle-Cyclist Interactions in Mixed-Traffic Autonomous Driving
[NO] 178/200 | Privacy-Preserving Federated Multimodal Agriproduct Anomaly Detection in AIoT via Modality-Under-Optimized Knowledge Distillation_supp1-3703645.pdf
[NO] 179/200 | SAGA: Open-World Mobile Manipulation via Structured Affordance Grounding
[NO] 180/200 | Identifying Firm-Specific Business Diversification Opportunities Based on Existing Technological Capabilities: A Metapath2Vec and Subgraph Mining Approach
[NO] 181/200 | A 1064-nm TFLN EOM with Low Drive Voltage and High Bandwidth Using Capacitively Loaded Electrodes
[NO] 182/200 | Development and Validation of a Novel Handheld Spasticity Measurement System_supp1-3701556.docx
[NO] 183/200 | Dynamic Sparse Attention and Frequency-Spatial Complementary Network for SAR Ship Detection
[NO] 184/200 | LSMNet: A Lightweight Local-State Modeling Network for Tiny Object Detection in Aerial Images
[NO] 185/200 | Characterisation of an Open-Ended Capacitive Sensing System
[NO] 186/200 | Quantitative Evaluation of Thermal Camera Thermal Sensitivity and Spatial Resolution on Internal Defect Detection in CFRP Using Laser Thermography
[NO] 187/200 | Unified Fault Tolerant Control of Bearingless Multi-Three Phase Permanent Magnet Synchronous Machines
[NO] 188/200 | Look-Up Table Optimization for Kolmogorov-Arnold Networks on Microcontrollers
[NO] 189/200 | Robust Multiping Forward-Looking Sonar Coherent Detection
[NO] 190/200 | A C-band phase-controlled feedback laser approaching 60-GHz bandwidth and tailorable low-noise/flat-response characteristics
[NO] 191/200 | Settling the Pass Complexity of Approximate Matchings in Dynamic Graph Streams
[NO] 192/200 | Second International Workshop on LLM+Vector Data: Agentic RAG Edition
[NO] 193/200 | Perception Modeling and Dynamic Risk Assessment Optimization for CO
                    <sub>2</sub>
                    Transmission Systems Oriented Toward Energy-Carbon Chain Safety
[NO] 194/200 | Exponential Stability via Hybrid Switching Strategy for Impulsive Switched T-S Fuzzy Systems With Delays
[NO] 195/200 | Day-ahead Coordinated Dispatch of Photovoltaic-Battery-direct Current-flexible Energy MG Clusters
[NO] 196/200 | Dual-arm Collaborative Compliance Manipulation Technology for Space Robots and Ground Testing
[NO] 197/200 | Uniair: A Unified AI Framework for Multi-Task Joint Optimization Over the Air Interface
[NO] 198/200 | COOL-Splat: A HW/SW Co-optimized Online 3D Gaussian Splatting Modeling Accelerator for Energy-Efficient 3D Modeling on Mobile Devices
[NO] 199/200 | Abnormal Sound Detection for Microfans Based on Persistence-Guided Interpolation Resampling
[NO] 200/200 | HS-FPN: A High-Frequency Spatial Feature Pyramid Network for Multimodal Fire Warning Using Vision-Sensor Cooperative Perception
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-06-16.json。
邮件发送成功！
[2026-06-17 13:15:17] 任务执行成功！
