[2026-08-26 09:34:06] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-25
正在获取论文...
[arXiv] 2026-08-25 | Fast generation of spectrally-shaped disorder, on the sphere
[NO] 83/200 | EgoErrorVQA: Assess Egocentric Comprehension Capabilities through Procedural Errors for Ego-Agentic AI
[NO] 84/200 | A Case for Competition in Information Provision
[NO] 85/200 | Functions with comparable integrals on all k-planes
[NO] 86/200 | Graph-Supervised Hierarchical Clinical Alignment for Radiology Report Generation with Large Language Models
[NO] 87/200 | Strang's Conjecture: Positive Result on Strong Collapsible Complexes and a Code to Check the Conjecture
[NO] 88/200 | Thermodynamics, Joule-Thomson Expansion and Ruppeiner Geometry of a Dyonic NED-AdS Black Hole Surrounded by Quintessence
[NO] 89/200 | Trajectory-Level Continuous Action Representation for Robotic Manipulation
[NO] 90/200 | Spatially resolved spectral properties of M87* on event horizon scales
[NO] 91/200 | qshap: Fast Shapley Decomposition of $R^2$ for Gradient-Boosted Trees
[NO] 92/200 | An Ore-type condition for regular factors
[NO] 93/200 | Sharp Bisection Bounds for Digraphs
[NO] 94/200 | Knowing When to Ask for Help: Bayesian Self-Escalation in Hierarchical LLM Agents
[NO] 95/200 | Mesa Orientation Engineering for Polarization Locking in VCSELs
[NO] 96/200 | ORBITALIF: An Efficient Spiking Federated Learning Framework for Onboard Cloud Removal
[NO] 97/200 | Representation Learning in Diffusion and Flow-based Model: An Application Aspect
[NO] 98/200 | Rank and Range Criteria for Mixed-State Determination from Local Marginals
[NO] 99/200 | A Judge Should Know What Changed:Construct Validity for LLM-as-a-Judge Evaluation
[NO] 100/200 | Spectral geometry of Khovanov Laplacians
[NO] 101/200 | Table of Contents
[NO] 102/200 | Decision letter for "When Less Is More: Simplicity Beats Complexity for Physics-Constrained InSAR Phase Unwrapping"
[NO] 103/200 | Role of Programming Confidence in Computing Students' Sense of Belonging
[NO] 104/200 | Progression in emergent K-12 Informatics: Exploring Teachers’ Perspectives
[NO] 105/200 | On the Analysis and Optimization of Low-latency Scalable Video Streams with Random Linear Streaming Codes
[NO] 106/200 | Replicating Human Fingertip Compliance in Soft Pads: Design and Experimental Validation
[NO] 107/200 | Two-Parameter Rényi Information Quantities and Their Applications
[NO] 108/200 | Trade-offs in Quantized Toeplitz Covariance Estimation Under Partial Observations
[NO] 109/200 | Convergence Properties of Good Quantum Codes for Classical Communication
[NO] 110/200 | Modeling of Mode Coupling in SDM Fibers
[NO] 111/200 | Towards Ciphertext-Efficient LWE: Learning With Sampling over Sublattices
[NO] 112/200 | Acoustic emission hit detection with autoregressive filtering and sequential probability ratio test
[NO] 113/200 | A Hybrid ACO-GA Approach for Drone Food Delivery Path Planning in Campus Environments
[NO] 114/200 | Improved Capacity Upper Bounds for the Deletion Channel using a Parallelized Blahut-Arimoto Algorithm
[NO] 115/200 | Universal Necessary and Sufficient Conditions for Positive Rate Covert Communications
[NO] 116/200 | Random Gilbert-Varshamov Codes for Joint Source-Channel Coding
[NO] 117/200 | Entanglement-Assisted Bosonic MAC: Achievable Rates and Covert Communication
[NO] 118/200 | Backlash-Aware Design of Backdrivable Gearbox for Robotic Actuator
[NO] 119/200 | Tropical-coded Joint Detection in Asynchronous Massive Access
[NO] 120/200 | Model of a Resonant-Type Spiking Neuron Based on Semiconductor Field-Emission Structures with a Vacuum Nanogap
[NO] 121/200 | NoduleNet: Deep Learning-Based Computational Model for Thyroid Cancer Detection
[NO] 122/200 | HOA-VMD Enhanced FMCW Radar Signal Processing for Non-Contact Heart Rate Monitoring
[NO] 123/200 | Smooth, Repeatable, and Highly Dynamic In-Hand Manipulation via Decentralized Adaptable Multi-Actuator Trajectory Planning
[NO] 124/200 | Explainable AI for Deep Learning-Based Intrusion Detection Systems: A Comparative Analysis of SHAP and LIME with Robustness Evaluation
[NO] 125/200 | Serpentine Scan Mamba for Coronary Angiography Vessel Segmentation
[NO] 126/200 | Low Power Low Voltage CNTFET Based VDCC
[NO] 127/200 | Scalability of Co-Packaged DWDM Optical I/O for High-Density AI Fabrics
[NO] 128/200 | Information-Theoretic Secure Aggregation over Regular Graphs
[NO] 129/200 | Cascaded Observer-Based Tracking Control of a Boost-Converter Supplied DC Motor
[NO] 130/200 | Fast Trajectory Generation via Energy-Guided Flow Matching with Dynamics-Agnostic Training
[NO] 131/200 | SemGuard: A Triple-Anchor Semantic Security Gateway for Multilingual Prompt Attack Detection in Large Language Models
[NO] 132/200 | Lyndon-Word Expurgation and Sphere Decoding of Tail-Biting Convolutional Codes Using BCH Codes
[NO] 133/200 | A Measurement Framework for Distinguishing Human Activities Using Time-Frequency Analysis of Ultrasonic Sensors Data
[NO] 134/200 | Observation of Spatially Structured Montgomery Effect in Free Space
[NO] 135/200 | A Co-Creation Approach to User Requirements for Data-Driven Living Environment Services
[NO] 136/200 | Diagnostic Benchmarking of Pseudo-Volumetric Representations for Biplanar X-ray-to-CT Reconstruction
[NO] 137/200 | Gimbal-Based Human Tracking for Companion Robots Using Continual Learning
[NO] 138/200 | MINDGAN: EEG-Based Motor Imagery Decoding via Hybrid CNN–Transformer with Curriculum GAN Augmentation
[NO] 139/200 | An Autonomous Eldercare Companion Robot with a Reconfigurable Base-of-Support and Active Harness for Fall Prevention, Mobility Assistance, and Tai Chi Exercise
[NO] 140/200 | Hardware-Optimized Parallel-Prefix Logic for High- Speed Three-Operand Binary Addition
[NO] 141/200 | Topological Mapping Based on Camera Loop Constraints and IMU Heading Constraints
[NO] 142/200 | Local Approximation for Privacy Mechanism Design Under LIP and Max-Lift: An Extension to General Leakage Matrices
[NO] 143/200 | A Smart Device for Airborne Particulate Matter: An IoT Node to Improve the Quality of Life
[NO] 144/200 | Poster: SAF: Semantic-Aware Flushing for Latency and Jitter Suppression in Continuous VLA Inference on Edge Devices
[NO] 145/200 | Autonomous Aircraft Control Using Double Deep Q-Networks
[NO] 146/200 | Reverse Interleaved Symbol-Interval Mapping for Non-Binary Overlapped Arithmetic Code
[NO] 147/200 | Vision-Based and Host-Level Detection Framework for NTDS Credential Attacks in Active Directory
[NO] 148/200 | Lower Bounds on Code Conversion Bandwidth via a Novel Information-theoretic Approach
[NO] 149/200 | Linear List Decodable Edit-Correcting Codes with Rate Approaching 1
[NO] 150/200 | Metrics for Maximizing Traction in the Design of Wheeled Robots for Soft Terrain
[NO] 151/200 | Reed–Muller Codes Achieve the Symmetric Capacity on Finite-State Channels
[NO] 152/200 | Robotic Skill Diversification via Active Mutation of Reward Functions in Reinforcement Learning During a Liquid Pouring Task
[NO] 153/200 | Optimizing the Photoluminescence Properties of CdSe/CdS Colloidal Quantum Dots Doping Nanocomposites for Use in Fabricating All-Fiber Single-Photon Sources
[NO] 154/200 | Implicit Bias and Convergence of Matrix Stochastic Mirror Descent
[NO] 155/200 | A Decoding Algorithm for the Lexicographic Composition de Bruijn Sequence
[NO] 156/200 | On Existence of Girth-8 QC-LDPC Code with Large Column Weight: Combining Mirror-sequence with Classification Modulo Ten
[NO] 157/200 | Whole Body Compliance Control for Mobile Manipulators
[NO] 158/200 | Design and Analysis of an Origami-Inspired 3-DoF Spherical Joint
[NO] 159/200 | Tetris for Gas: State Variable Mutation for Reducing Smart Contract Deployment Costs
[NO] 160/200 | Agentic AI with Zero-Shot Transfer for QoS- and Energy-Aware Resource Auto-Scaling in Cloud-Native B5G Network Slices
[NO] 161/200 | Table of Contents
[NO] 162/200 | High-Confidence Pseudolabeling-Enhanced Multiorder Dynamic Sparse Graph Aggregation Network for Semi-Supervised Hyperspectral Change Detection_supp1-3724649.pdf
[NO] 163/200 | Barrier-Based Adaptive Sliding Mode Security Control for Interconnected Power Systems
[NO] 164/200 | IEEE Transactions on Smart Grid Information for Authors
[NO] 165/200 | Reliable Task Allocation for Multi-Robot System Using Safe Deep Reinforcement Learning
[NO] 166/200 | Direct Satellite-to-Device Communications: From Cooperative Task Offloading to Noncooperative Access Monitoring
[NO] 167/200 | Comparing Ankle Dorsiflexion-Only, Hip Flexion-Only, and Combined Hip-Ankle Assistance During Simulated Foot Drop Gait_supp1-3726470.docx
[NO] 168/200 | Modeling of Near-Field Self-Injection-Locked Radar for Wrist-Pulse Sensing: Small-Signal Analysis and Validation
[NO] 169/200 | Hierarchical Surgeon–Robot–Patient Interaction for Robot–Assisted Transperineal Prostate Biopsy Under Transrectal Ultrasound Guidance
[NO] 170/200 | PhysioDrift-Fed: Confronting the Drift-Rate Heterogeneity Problem in Federated Learning for Consumer Cardiac Wearables
[NO] 171/200 | Fed-ARDP: An Adaptive Reputation-Driven Federated Learning Framework using Renyi Differential Privacy
[NO] 172/200 | Dynamic Frequency Shaping of Grid-following and Grid-forming Inverters
[NO] 173/200 | Inversion Model of Coastal Soil Salinity Based on Hybrid Feature Selection and Machine Learning Algorithms_supp1-3726533.pdf
[NO] 174/200 | HGKAN: Hyperbolic Graph-Based Kolmogorov-Arnold Network for Social Recommendation
[NO] 175/200 | A Spatio-Temporal Multimodal Deep Learning Framework for Taxi Demand Prediction from Multi-Source and Mixed-Type Data
[NO] 176/200 | An Efficient Weaver Bird Optimization-Based Approach for Multilevel Thresholding RGB Satellite Image Segmentation
[NO] 177/200 | “I felt like I was behind because I’m Scottish”: Challenges and Transitions for Scottish Undergraduate Students in Computer Science
[NO] 178/200 | Visual Search Strategies in Dense Virtual Reality Scenes Depend on Inter-Object Spacing
[NO] 179/200 | Dynamic cumulative residual Fisher information measures, connections to aging measures, and use in model selection
[NO] 180/200 | Detection and Prevention of Internet Control Message Protocol Flood Attack in Software-Defined Network using Dynamic Threshold and Machine Learning
[NO] 181/200 | Text-Embedded Domain-Generalized State Space Model for the Visual Question Answering of SAR Images
[YES] 182/200 | Flight-Timing Hierarchical Surrogate-Based Optimization for Sparse-Window UAV-IoT Packet Collection
[YES] 183/200 | Elliptic Range-Doppler Mapping for OFDM-ISAC under IQ Imbalance
[NO] 184/200 | IntrinsicReal: Adapting IntrinsicAnything From Synthetic to Real Objects
[NO] 185/200 | Multi-Fault Simultaneous Diagnosis for Dual Three-phase PMSMs Using Current and Voltage Signatures
[NO] 186/200 | Intention-Aware Cooperation for Efficient Resource Allocation in C-V2X Networks
[NO] 187/200 | BH-tsNET, FIt-tsNET, and L-tsNET: Fast tsNET Algorithms for Large Graph Drawing
[NO] 188/200 | Joint Optimization of User Terminal Antenna Placement and Satellite Beam Hopping in Mega NGSO Networks
[NO] 189/200 | Committee
[NO] 190/200 | Analyzing Collection Strategies: A Computational Perspective on the Coupon Collector Problem
[NO] 191/200 | Multi-Agent Reinforcement Learning for Mobile Robots under Kinematic Reachability Constraints
                    <sup>*</sup>
[NO] 192/200 | Fabrication of the GaN-based Sharp and Narrow Array Tips for Vacuum Electron Source and Nanoelectronics Device Application
[YES] 193/200 | Extended Typicality with Feedback and an Application to ISAC
[NO] 194/200 | A Highly Stable Two-Stage Cmos Amplifier For Arbitrary Capacitive Loads Using Power Gating Techniques
[NO] 195/200 | An Ultra-Low-Energy Transmission-Gate-Based CAM Architecture for High-Efficiency Hardware Search Engines
[NO] 196/200 | Time-resolved measurement in TEM using pulse electron beam emitted from NEA photocathode
[NO] 197/200 | Design of a Tightly Integrated Humanoid Robot Head for Multimodal Interaction
[NO] 198/200 | Design and Analysis of Multislotted Microstrip Patch Antenna with Defected Ground Structures for Wireless Communications
[NO] 199/200 | Artificial Intelligence in Education: Automated Assessment and Essay Scoring Systems
[NO] 200/200 | A wireless multi-legged microrobot platform for inspecting both pipelines and wall surfaces in infrastructure facilities
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-08-25.json。
邮件发送成功！
[2026-08-26 10:18:37] 任务执行成功！
