[2025-12-24 09:14:32] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-23
正在获取论文...
[arXiv] 2025-12-23 | Avoiding the Price of Adaptivity: Inference in Linear Contextual Bandits via Stability
[arXiv] 2025-12-23 | Fields of Fractions in Rigid Geometry
[arXiv] 2025-12-23 | A Covariance-Surrogate Framework for Movable-Antenna Enabled Anti-Jamming with Unknown Jammers
[arXiv] 2025-12-23 | Storage and retrieval of optical skyrmions with topological characteristics
[arXiv] 2025-12-23 | Linking Faces and Voices Across Languages: Insights from the FAME 2026 Challenge
[arXiv] 2025-12-23 | Leading order effective operators in quantum gravity
[arXiv] 2025-12-23 | EnvSSLAM-FFN: Lightweight Layer-Fused System for ESDD 2026 Challenge
[arXiv] 2025-12-23 | Distinct Suppression Mechanisms of Superconductivity by Magnetic Domains and Spin Fluctuations in EuFe2(As1-xPx)2 superconductors
[arXiv] 2025-12-23 | Hyperbolicity and fundamental groups of complex quasi-projective varieties (III): applications
[arXiv] 2025-12-23 | Multi-LLM Thematic Analysis with Dual Reliability Metrics: Combining Cohen's Kappa and Semantic Similarity for Qualitative Research Validation
[arXiv] 2025-12-23 | Inverse Autoregressive Flows for Zero Degree Calorimeter fast simulation
[arXiv] 2025-12-23 | Critical Hermitian matrix model with external source and Boussinesq hierarchy
[arXiv] 2025-12-23 | Electromagnetic Sources Teleparallel Robertson--Walker $F(T)$-Gravity Solutions
[arXiv] 2025-12-23 | Optimal navigation in a noisy environment
[arXiv] 2025-12-23 | Comment Traps: How Defective Commented-out Code Augment Defects in AI-Assisted Code Generation
[arXiv] 2025-12-23 | RIS-Empowered OTFS Modulation With Faster-than-Nyquist Signaling in High-Mobility Wireless Communications
[arXiv] 2025-12-23 | Top-K Exterior Power Persistent Homology: Algorithm, Structure, and Stability
[arXiv] 2025-12-23 | Can LLMs Solve My Grandma's Riddle? Evaluating Multilingual Large Language Models on Reasoning Traditional Bangla Tricky Riddles
[arXiv] 2025-12-23 | Differentially Private Feature Release for Wireless Sensing: Adaptive Privacy Budget Allocation on CSI Spectrograms
[arXiv] 2025-12-23 | Deep Learning Classification of EEG Responses to Multi-Dimensional Transcranial Electrical Stimulation
[arXiv] 2025-12-23 | Structured Visualization Design Knowledge for Grounding Generative Reasoning and Situated Feedback
[arXiv] 2025-12-23 | TAVID: Text-Driven Audio-Visual Interactive Dialogue Generation
[arXiv] 2025-12-23 | A non-compact QCD axion
[arXiv] 2025-12-23 | Clique factors in random samplings of regular graphs
[arXiv] 2025-12-23 | ActionFlow: A Pipelined Action Acceleration for Vision Language Models on Edge
[arXiv] 2025-12-23 | Operads, modules over walled Brauer categories, and Koszul complexes
[arXiv] 2025-12-23 | DeepONet-accelerated Bayesian inversion for moving boundary problems
[arXiv] 2025-12-23 | A variational multiscale approach to PDE-constrained optimization problems arising in Data-Driven Computational Mechanics
[arXiv] 2025-12-23 | An immersed boundary method for the discrete velocity model of the Boltzmann equation
[arXiv] 2025-12-23 | Inference in Latent Force Models Using Optimal State Estimation
[arXiv] 2025-12-23 | Sliding Mode Control for a Parabolic-Elliptic PDE System with Boundary Perturbation
[arXiv] 2025-12-23 | High-quality and field resilient microwave resonators on Ge/SiGe quantum well heterostructures
[arXiv] 2025-12-23 | Robust safety design for strict-feedback nonlinear systems via observer-based linear time varying feedback
[arXiv] 2025-12-23 | The Effect of Empathic Expression Levels in Virtual Human Interaction: A Controlled Experiment
[arXiv] 2025-12-23 | Cost-TrustFL: Cost-Aware Hierarchical Federated Learning with Lightweight Reputation Evaluation across Multi-Cloud
[arXiv] 2025-12-23 | JDPNet: A Network Based on Joint Degradation Processing for Underwater Image Enhancement
[arXiv] 2025-12-23 | Aliasing-Free Neural Audio Synthesis
[arXiv] 2025-12-23 | Unveiling the Phase Diagram and Nonlinear Optical Responses of a Twisted Kitaev Chain
[arXiv] 2025-12-23 | Designing Spatial Architectures for Sparse Attention: STAR Accelerator via Cross-Stage Tiling
[arXiv] 2025-12-23 | The List Linear Arboricity of Digraphs
[arXiv] 2025-12-23 | Pricing of wrapped Bitcoin and Ethereum on-chain options
[arXiv] 2025-12-23 | Asynchronous Fast-Slow Vision-Language-Action Policies for Whole-Body Robotic Manipulation
[arXiv] 2025-12-23 | SHIRO: Near-Optimal Communication Strategies for Distributed Sparse Matrix Multiplication
[arXiv] 2025-12-23 | Towards Natural Language-Based Document Image Retrieval: New Dataset and Benchmark
[arXiv] 2025-12-23 | Abundance of cosmic voids in EFT of dark energy
[arXiv] 2025-12-23 | A combinatorial approach to Kontsevich's Swiss cheese conjecture
[arXiv] 2025-12-23 | Fun-Audio-Chat Technical Report
[arXiv] 2025-12-23 | Triod twist cycles and circle rotations
[arXiv] 2025-12-23 | Low temperature magneto-transport and magnetic properties of MnSb$_2$Te$_4$ single crystals
[arXiv] 2025-12-23 | On the mixed UDA states and additivity
[arXiv] 2025-12-23 | Worth the Effort? An Examination on the Effect of Higher Diligence Calculations of the Sound Shell Model
[arXiv] 2025-12-23 | Geometry, electronic structure, and optical properties of boron cages: A first-principles DFT study
[arXiv] 2025-12-23 | The Boltzmann Equation for 2D Taylor-Couette Flow
[arXiv] 2025-12-23 | On super additivity of Fisher information in fully Gaussian metrology
[arXiv] 2025-12-23 | How I Met Your Bias: Investigating Bias Amplification in Diffusion Models
[ACM] 2025-12-23 | Integrating LLMs in Software Engineering Education: Motivators, Demotivators, and a Roadmap Towards a Framework for Finnish Higher Education Institutes
[IEEE] 2025-12-23 | An Experimental Study on Multi-Sensor Based Propeller Damage Detection in Drones Using Deep Learning Algorithms
[IEEE] 2025-12-23 | Improved Predictor-Based Neural Network Model-Free Finite-Set Predictive Control for Power Converters
[IEEE] 2025-12-23 | Performance Analysis of Multi-RIS-Assisted UWOC Systems: Full Receiving Scheme and Selective Receiving Scheme
[IEEE] 2025-12-23 | A Novel Enhanced Boundary-Connected Matching Area Selection Method for Underwater Gravity Aided Navigation
[IEEE] 2025-12-23 | Creating an Affective Robot That Feels Both Touch and Emotion
[IEEE] 2025-12-23 | On-Chip Multimode Interferometer Sensor Formed by Microstructure Blocks Embedded Waveguide
[IEEE] 2025-12-23 | IEEE Industry Applications Society Information
[IEEE] 2025-12-23 | Copyright Page
[IEEE] 2025-12-23 | ITNAC 2025 Index Authors
[IEEE] 2025-12-23 | ICSEC 2025 Author Index
[IEEE] 2025-12-23 | Optimizing Multi-DNN Inference on Mobile Devices through Heterogeneous Processor Co-Execution
[IEEE] 2025-12-23 | PSET 2025 TOC
[IEEE] 2025-12-23 | Back from the Dead: Self-recovery Strategy for Modular Planetary Exploration Robots_supp3-3644668.mp4
[IEEE] 2025-12-23 | Deep Convolutional Primal-Dual Network for Image Deblurring
[IEEE] 2025-12-23 | Covert Pilot Spoofing Attack via Active Reconfigurable Intelligent Surface
[IEEE] 2025-12-23 | Multi-UAV Interception Decision-Making via Meta Reinforcement Learning
[IEEE] 2025-12-23 | TSFormer: Efficient Ultra-High-Definition Image Restoration via Trusted Min-
                    <i>p</i>
[ACM] 2025-12-23 | Towards Compliant and Trustworthy Data Markets forDistributed AI
[ACM] 2025-12-23 | Session Summary Podcast: Session 12: Paper Session 6B: Power and Knowledge Production
[ACM] 2025-12-23 | Session Summary Podcast: Session 6: Paper Session 3B: Tactile and Nonvisual Data Representations
[IEEE] 2025-12-23 | Integrating Learned Retraction and Model-Based Resection Planning for Automated Central Airway Obstruction Removal_supp2-3646758.mp4
[ACM] 2025-12-23 | Session Summary Podcast: Session 3: Demos and Exhibits
[ACM] 2025-12-23 | Session Summary Podcast: Session 6: Session 6: Interfaces II: Design for User Experience
[ACM] 2025-12-24 | A review on Residual Stress Measurement via Nanoindentation for Multi-Material Systems
[ACM] 2025-12-24 | Impedance Matching for Transparency-Optimized Control in Vascular Interventional Robotics
[IEEE] 2025-12-23 | Effect of Thermal Distribution on Signal and Power Analysis of Large Complex 3D-IC System
[IEEE] 2025-12-23 | Superimposed Current Magnitude-Based Faulty Phase Selector Performance Recovery Strategy for Full-Scale Renewable Energy Grids
[IEEE] 2025-12-23 | Design and Analysis of a Composite Electromagnetic Absorber Based on Plasma and Metamaterial Integration
[IEEE] 2025-12-23 | Decentralized Spectrum Sharing: A Proof-of-Concept Evaluation
[IEEE] 2025-12-23 | Cost–Benefit and Performance Outlook for Off-Grid Solar Solutions in Rural South Cianjur
[IEEE] 2025-12-23 | Automated Citation Detection in Congolese Legal Texts: Leveraging LLM-Based NER for Knowledge Graph Construction
[IEEE] 2025-12-23 | AI for Smart Cities: An Explanatory Analysis on Fleet Maintenance and Optimisation
[IEEE] 2025-12-23 | Research on Air Pollution Forecast Method of Shanghai Based on Machine Learning
[IEEE] 2025-12-23 | Unit Maintenance Scheduling Optimization Considering Flexible Maintenance Windows and Compressible Unit Maintenance Durations
[IEEE] 2025-12-23 | Optimizing Electrospinning Parameters of PVA Nanofibers as a Baseline for Plasma Surface Modification in Tissue Engineering
[IEEE] 2025-12-23 | A Systematic Review: Low-Cost Sensors for Water Quality Monitoring
[IEEE] 2025-12-23 | Explicit Segmentation for Low-Resource NMT: A Case Study in QLoRA-Based Fine-Tuning of LLM for Khmer Language
[IEEE] 2025-12-23 | Decentralized Auction-Based Task Allocation for Multi-Robot Pickup and Delivery under Time Window Constraints
[IEEE] 2025-12-23 | Proactive Congestion Control for IoT Networks Using Markov Model
[IEEE] 2025-12-23 | Time-Series Forecasting of PV Charging Power Using a Hybrid Model
[IEEE] 2025-12-23 | Synergistic Effects of Energy Storage with Large-Scale Hydropower and Photovoltaic Power Generation
[IEEE] 2025-12-23 | Hyperspectral Remote Sensing for Early Detection of Waterborne Disease Indicators in Surface Water
[IEEE] 2025-12-23 | State Estimation of Moving Target Positioning Based on Dual Passive Sensor Detection
[IEEE] 2025-12-23 | Residential Load Labeling Using Deep Transfer Learning with MobileNet Architecture
[IEEE] 2025-12-23 | Research on Safety Distance Early Warning of Power Operation Based on Multi-Scene Fusion 3D Point Cloud Modeling
[IEEE] 2025-12-23 | Stability Control of Rural Microgrid Classic Supplying Modes and Networking Based on Exchanged Virtual Synchronous Generator
[IEEE] 2025-12-23 | Reinforcement Learning for an Automated Snake Game
[IEEE] 2025-12-23 | Substation Fire Situation Severity Evaluation System Based on AHP-Critic Method
[IEEE] 2025-12-23 | Allocation and Frequency Control Parameter Optimization of Converter-Interfaced Generation
[IEEE] 2025-12-23 | Power Quality Enhancement Using PV-B-UPQC by Enhanced SOGI Control
[IEEE] 2025-12-23 | Design and Analysis of the Frame Structure Based on the Self-balancing Two-wheeled Vehicle with Parallel Configuration Control Gyroscope
[IEEE] 2025-12-23 | Distributed Unscented Kalman Filtering Based on Gaussian Mixture Model Against Non-Gaussian Noise
[IEEE] 2025-12-23 | Measuring the Social Experience on Co-Op Adventure Game: Case Study on It Takes Two
[IEEE] 2025-12-23 | Enhancing Systematic Interoperability: Convergences and Mismatches between Web 3.0 and the EU Data Act
[IEEE] 2025-12-23 | An Innovative Solution for the Conversion of Recorded Scenarios from Vehicle to Virtual Scenarios
[IEEE] 2025-12-23 | Circuit-level Simulation of TID and Thermal Regeneration Effects on 28nm FDSOI Technology
[IEEE] 2025-12-23 | Joint Allocation of Flexible Resources in Distribution Systems to Enhance Resilience Considering Resist, Response and Restoration Stages
[IEEE] 2025-12-23 | Static Voltage Stability Analysis of Large Scale Renewable Energy Delivered via Multi-Voltage-Level Transmission Sections
[IEEE] 2025-12-23 | Comparative Study of Deep Neural and Kolmogorov–Arnold Networks for Heart Disease Risk Stratification via Stethoscopic Signals
[IEEE] 2025-12-23 | PCB Panel Defect Detection based on Deep Learning
[IEEE] 2025-12-23 | PUF-Assisted Lightweight Key Derivation Framework for VANET Security
[IEEE] 2025-12-23 | A Comparative Study on Cooling Techniques for Integrated Circuits in SOIC-8 Packages
[IEEE] 2025-12-23 | Forecasting Photovoltaic Power Generation with Machine Learning and Genetic Hyperparameter Optimization
[IEEE] 2025-12-23 | Path Planning for Unmanned Sailboats Leveraging VPP-RRT* Algorithm
[IEEE] 2025-12-23 | CyDT: The Cyprus Digital Twin for Resilient Cities and Robust Critical Infrastructure Systems
[IEEE] 2025-12-23 | Implementation of a Software-Defined Radio Communication System with QPSK Modulation Scheme that Eliminates the Phase Ambiguity
[IEEE] 2025-12-23 | Fault Diagnosis Method of Half-Bridge Switching Power Supply Based on Support Vector Machine
[IEEE] 2025-12-23 | Super-Resolution 3D Gaussian Splatting via Latent Feature Field and Gradient-guided Splitting
[IEEE] 2025-12-23 | Multi-Class Lung CT Image Classification for Enhanced Cancer Detection Using Fine-Tuned EfficientNet-B7 Framework
[IEEE] 2025-12-23 | Multi-Step Wind Power Forecasting Based on LSTM-ASSA-Informer
[IEEE] 2025-12-23 | Radar Monitoring of Estuarine Fronts in Guanabara Bay, Southeastern Brazil
[IEEE] 2025-12-23 | The Experiment and Analysis on Foot Design and Gait Selection of Hexapod Robots for Efficient Movement on Sand
[IEEE] 2025-12-23 | Landslide Detection System
[IEEE] 2025-12-23 | Study of Factor Effect on Surge Current Test Performance for Clip-Bonded Semiconductor Devices by Simulation
[IEEE] 2025-12-23 | Fusion of AI and Traditional Techniques: A Neural Rendering Framework for Enhancing Hand-Drawn Sketches
[IEEE] 2025-12-23 | Secondary Frequency Regulation Strategy of Power Systems with Virtual Power Plant
[IEEE] 2025-12-23 | Predictive Reliability Analysis of Power Electronic Systems Using IEC 61709 and FIT Data
[IEEE] 2025-12-23 | A Calculation Method for the Maximum Adjustable Capacity of Polysilicon under Process Constraints
[IEEE] 2025-12-23 | Design and Implementation of Threshold-Free Adaptive Sliding-Mode Speed Controller and Observer for SPMSM System
[IEEE] 2025-12-23 | Performance Evaluation of a Synthetic Ester-Based Insulating Fluid for Power Transformers under Lightning Impulse Stress
[IEEE] 2025-12-23 | Robust Pole Placement via State Feedback Control Applied to DC-DC Converters
[IEEE] 2025-12-23 | From Buildings to Cities: A Scalable Smart City Implementation for Research on Smart Buildings and Infrastructures Systems Integration
[IEEE] 2025-12-23 | Improved 3D RRT* Path Planning Considering Contact Constraints for Autonomous Ground Vehicles in Off-Road Environments
[IEEE] 2025-12-23 | A Comprehensive Energy Efficiency Evaluation Method for Low-Voltage DC Distribution Network Based on Energy Router
[IEEE] 2025-12-23 | Nested Optimization-Based Current Shaping for Torque Ripple and Losses Mitigation in SRMs
[IEEE] 2025-12-23 | A Comparative Study of the Performance Analysis of Heat Transfer Fluids in Solar Flat Plate Collector
[IEEE] 2025-12-23 | Validation of the Japanese Lightning Detection Network (JLDN) Performance Characteristics
[IEEE] 2025-12-23 | Method for Generating a Set of Secondary Faults in Power Systems under Typhoons and Their Secondary Disasters
[IEEE] 2025-12-23 | Layout Scheme of Inter-Phase Spacers for Anti-Galloping on $110-\text{kV}$ Transmission Lines
[IEEE] 2025-12-23 | ARMED: A Novel Intelligent Framework for Floods Early Warning
[ACM] 2025-12-24 | CCCI: Code Completion with Contextual Information for Complex Data Transfer Tasks Using Large Language Models
[ACM] 2025-12-24 | PromptDebt: A Comprehensive Study of Technical Debt Across LLM Projects
[ACM] 2025-12-24 | An Empirical study on LLM-based Log Retrieval for Software Engineering Metadata Management
[ACM] 2025-12-24 | Integrating Human Feedback into a Reinforcement Learning-Based Framework for Adaptive User Interfaces
[IEEE] 2025-12-23 | DeepIPCv2: LiDAR-powered Robust Environmental Perception and Navigational Control for Autonomous Vehicle
[IEEE] 2025-12-23 | Scalable User Association With Least-Conflict Pilot Assignment in Cell-Free Massive MIMO
[IEEE] 2025-12-23 | Operating Temperature Analysis of Dry-type Capacitors under Superimposed AC-DC Voltage
[ACM] 2025-12-23 | Session Summary Podcast: Session 1: Paper Session 1A: Inclusive Mixed Reality
[ACM] 2025-12-23 | Research on Orbit Routing of Satellites Based on Graph Reinforcement Learning
[ACM] 2025-12-23 | Optimization of Regional-Level Network Fault Tolerance Strategy for CDN Networks
[IEEE] 2025-12-23 | Front Cover
[IEEE] 2025-12-23 | Databasing the Face: The Rise of Data-Centrism in Computerized Facial Expression Recognition
[IEEE] 2025-12-23 | Human-Centric Shoulder Exoskeleton: A Novel Assistive Device With A Self-Aligning Mechanism to Reduce Interaction Forces_supp2-3646719.pdf
[IEEE] 2025-12-23 | JCSSE 2025 Cover Page
[IEEE] 2025-12-23 | Bayesian Muography Incorporating Prior Knowledge: A High-Resolution Imaging Algorithm for Structurally Complex Cultural Artifacts
[IEEE] 2025-12-23 | Time Synchronization-Aided Signal Detection for LEO Satellite Communications with Reduced Doppler and Delay Searching Ranges
[IEEE] 2025-12-23 | Beam Defocus Mitigation in Ultra-Wideband Mmwave UCA Systems Based on Frequency Invariant Precoder Design
[IEEE] 2025-12-23 | Fast Adaptive Anti-Jamming Channel Access via Deep Q Learning and Coarse-Grained Spectrum Prediction
[IEEE] 2025-12-23 | Beamforming-Enabled Covert Communications for Multi-Position Warden
[IEEE] 2025-12-23 | Title Page iii
[IEEE] 2025-12-23 | Remarks from Deputy Executive Director, Ministry of Education, Innovation, Youth, Sports, Arts ' Culture, Government of the Republic of Namibia
[IEEE] 2025-12-23 | 2024 24th European Conference on Radiation and Its Effects on Components and Systems (RADECS)
[IEEE] 2025-12-23 | 2025 XIХ International Symposium on Problems of Redundancy in Information and Control Systems (Redundancy)
[IEEE] 2025-12-23 | One-Click Reproducibility of Robotics Software: A Graphical Workflow Solution
[IEEE] 2025-12-23 | TechRxiv: Share Your Preprint Research with the World!
[IEEE] 2025-12-23 | ICNAS 2025 Committees
[IEEE] 2025-12-23 | Message from the General Chair: “ Advanced Electronics Packaging Technology for Digital Twin”
[IEEE] 2025-12-23 | 2025 IEEE International Smart Cities Conference (ISC2)
[IEEE] 2025-12-23 | A Compact Unified Model for Stereo-matching and Optical flow Tasks
[ACM] 2025-12-24 | A Comprehensive Review of Key Technologies and Applications in Smart Manufacturing Systems: From Digital Foundations to Intelligent Applications
[IEEE] 2025-12-23 | Enhancing Employee Mental Health: Machine Learning Models for Occupational Burnout Prediction Using Job-Related Features
[IEEE] 2025-12-23 | Designing a Mobile Prototype for Supporting Financial Management Skills and Decision Making: A Co-Creation Study with Informal Saving Groups in Dodoma, Tanzania
[IEEE] 2025-12-23 | Optimal Directional Angle Determination for Multi-Panel Solar Systems in a Dome Configuration to Maximize Energy Output
[IEEE] 2025-12-23 | Deep Learning for Net Load Forecasting: Double-Layer GRU Model
[IEEE] 2025-12-23 | Attitude Control Method for Fully Actuated AUVs Based on Active Disturbance Rejection Control
[IEEE] 2025-12-23 | An Ultra High Speed Computation Method for the Reachability Matrix of Undirected Graphs Based on Vertex Sets
[IEEE] 2025-12-23 | Interactive platform for the visual analysis of suspicious communication patterns
[IEEE] 2025-12-23 | Design of a UWB CPW-Fed Monopole Antenna with SMS7630-SC 79LF-Based Rectifier for RF Energy Harvesting in IoT Devices
[IEEE] 2025-12-23 | Classification of Sugarcane Leaf Diseases Using Vision Transformers and CNN Models
[ACM] 2025-12-24 | Not One to Rule Them All: Mining Meaningful Code Review Orders From GitHub
[ACM] 2025-12-24 | Do Automatic Comment Generation Techniques Fall Short? Exploring the Influence of Method Dependencies on Code Understanding
[ACM] 2025-12-24 | Towards an Interpretable Analysis for Estimating the Resolution Time of Software Issues
[ACM] 2025-12-24 | MBSR at Work: Perspectives from an Instructor and Software Developers
[ACM] 2025-12-24 | Actual Practices from Practitioners in Benefits Management in Digitalization Projects
[ACM] 2025-12-24 | A Unified Semantic Framework for IoT-Healthcare Data Interoperability: A Graph-Based Machine Learning Approach Using RDF and R2RML
[ACM] 2025-12-24 | Leveraging GPT-4 for Vulnerability-Witnessing Unit Test Generation
[ACM] 2025-12-24 | Developers' Practices, Web Accessibility, and Language Barriers: Analyzing Challenges and Opportunities for Inclusive Digital Development
[IEEE] 2025-12-23 | Progress in the Study of Thermal Conductivity Enhancement in Calcium-Based Thermochemical Energy Storage
[IEEE] 2025-12-23 | Visualization of Skin Care Effectiveness Prediction by Image Generation Using Deep Learning
[IEEE] 2025-12-23 | Ontology-Driven Building Operating System Integrated with Large Language Models for Intuitive Building Operations
[IEEE] 2025-12-23 | Hybrid Logit-Exchange Distillation for Communication-Efficient Federated Learning
[IEEE] 2025-12-23 | Comparison of Vector Database Management Systems for Retrieval Augmented Generation
[IEEE] 2025-12-23 | Counterpoise Cable Modeling Based on an Equivalent Norton Circuit Using Different Pole Selection Approaches
[IEEE] 2025-12-23 | Brain-computer Collaborative Method for Low Quality Video Object Detection
[IEEE] 2025-12-23 | Dynamic Services-Driven Deployment and Clustering Optimization for Air–Ground Networks: A Multi-Period Hierarchical Game Approach
[IEEE] 2025-12-23 | Automated Ranking of Video Frames Based on Clarity and Face Visibility from Video Datasets
[IEEE] 2025-12-23 | Modeling and Control of ABE Fermentation Process and Experimental Validation
[IEEE] 2025-12-23 | Enhancing Academic Chatbot Accuracy With Retrieval-Augmented Generation in Higher Education
[IEEE] 2025-12-23 | Instantaneous Rotor Position Estimation of a BLDC Motor Using a Low-Resolution Hall Sensor
[IEEE] 2025-12-23 | Robotic Exoskeleton for Hand Rehabilitation Through Assisted Motion in Physiotherapy
[IEEE] 2025-12-23 | Lateral Stability and Path Tracking Control for Multi-Axle Steering Articulated Vehicles: A Modular Modeling and T-S Fuzzy Control Approach
[IEEE] 2025-12-23 | Analysis of mathematical approaches for optimizing the route of a passenger ship in order to improve its energy efficiency
[IEEE] 2025-12-23 | Estimation of Eddy Current Losses in Power Transformer Windings Through Leakage Flux Analysis using FEM
[IEEE] 2025-12-23 | Impact of Export–Import kWh Variations on Rooftop Solar Power Viability in Indonesia within A Techno-Economic Perspective
[IEEE] 2025-12-23 | Transient Overvoltage Characteristics and Suppression Strategies of Sending-End Grid-Forming Controlled VSC-HVDC Under Fault Conditions
[IEEE] 2025-12-23 | Continuing Successful Low Energy Nuclear Fusion Reaction Experiments
[IEEE] 2025-12-23 | Optimization of Surface Conductivity of GIL Spacer for Electric Field Regulation Under Electro-Thermal Coupling Field
[IEEE] 2025-12-23 | Detection of LiDAR and Camera Sensor Spoofing in Autonomous Vehicles
[IEEE] 2025-12-23 | Influence of Cable Termination Loads on Defect Localization Results
[IEEE] 2025-12-23 | Complete Covertness In NOMA Using Artificial Noise
[IEEE] 2025-12-23 | Bottom-up Analysis of the Impact of Single-Event Effects in a CNN Hardware Accelerator using Laser testing
[IEEE] 2025-12-23 | Additive Fan-Out Packaging for Discrete Components
[IEEE] 2025-12-23 | Comparative Study of Ensemble Learning for Predictive Maintenance in HDD Manufacturing
[IEEE] 2025-12-23 | A Serverless Federated Learning Framework with Blockchain and Homomorphic Encryption
[IEEE] 2025-12-23 | Web Service Based on OpenPose and MocapNET for Human Motion Generation from 360VR Videos
[IEEE] 2025-12-23 | Factors Affecting the Results of Field Measurements of Soil Electrical Properties in the kHz–MHz Range
[IEEE] 2025-12-23 | High-Thermal-Conductivity GFRP for Dry-Type Air-Core Reactors: Thermal and Electrical Characterization
[IEEE] 2025-12-23 | EV Aggregation and Low-Carbon Scheduling in Virtual Power Plant: A Zonotope-Based Approach
[IEEE] 2025-12-23 | Design and Development of a User-Centric Dashboard and Mobile Interface for Real Time Municipal Wastewater Monitoring System
[IEEE] 2025-12-23 | Ventilation System Design for Metal Preparation Workshop within a Hot-Dip Galvanizing Facility
[IEEE] 2025-12-23 | PLVS: A Documentation and Exploration System for Data Provenance, Lineage, and Versioning
[IEEE] 2025-12-23 | Inspection Technology for Small Fixed-Wing UAV Clusters
[IEEE] 2025-12-23 | Human-centered Sequential Load Restoration in Transmission Networks using Reinforcement Learning
[IEEE] 2025-12-23 | An Engineering-Oriented Control Design and Verification for Fixed-Wing UAVs Based on ADRC
[IEEE] 2025-12-23 | Safety-Critical Model Predictive Trajectory Tracking Control for Transformer Inspection Robots Based on Control Barrier Functions
[IEEE] 2025-12-23 | Simulation-Enabled Closed-Loop Static-Dynamic Co-Optimization for Grid-Impact-Aware Microgrid Dispatch
[IEEE] 2025-12-23 | Two-Layer Soil Influence on Lightning-Induced Transients in Overhead Lines
[IEEE] 2025-12-23 | A Transformerless Dual-Active Half-Bridge Converter with Variable Inductance for Stand-Alone Lighting Applications
[IEEE] 2025-12-23 | LoomLen: A Real-Time Collaborative Note-Taking Application for Mobile and Tablet Devices
[IEEE] 2025-12-23 | Adaptive Aggregation for Distributed Industrial Control Systems Anomaly Detection
[IEEE] 2025-12-23 | Task Unloading and Resource Allocation in a Centralised Control System
[IEEE] 2025-12-23 | Active Power Oscillation Suppression Strategy for Grid-Forming Converter Based on Feedforward Control
[IEEE] 2025-12-23 | HAD-5G: A Hybrid Deep Learning Approach for Multiclass Attacks Classification
[IEEE] 2025-12-23 | Development of a Smart Headband for Non-Invasive Monitoring of Vital Signs
[IEEE] 2025-12-23 | Cyber-Threat Detection for Distributed Control against FDIA in Energy System
[IEEE] 2025-12-23 | Multi-system Network RTD Positioning for Resource-Constrained Unmanned Platforms
[IEEE] 2025-12-23 | Comprehensive Analysis of Grid Suitability for Integrating Grid-Forming SVG and STATCOM in New Energy Power Station
[IEEE] 2025-12-23 | M-GenCheck: Detecting Portrait AI-Generated Images Using Deep Learning in a Streamlit Web Application
[ACM] 2025-12-23 | PVT-aware Subthreshold Circuit Timing Optimization for Ultra-Low-Power Application
[ACM] 2025-12-23 | Research on Accurate Perception and Diagnosis Algorithms for Crop Water Requirements Based on NB-IoT and Multi-Source Heterogeneous Sensing Data Fusion
[ACM] 2025-12-23 | Adaptive Gated Multi-Head Hypergraph Network for Price-Aware Session-based Recommendation
[ACM] 2025-12-23 | Analysis and Control of Pre-Offset of Stringing Blocks on Angle Towers of Transmission Lines
[ACM] 2025-12-23 | Risktionary: Drawing and Guessing for Learning about Risk Management
[IEEE] 2025-12-23 | MSDA-UNet: Dynamic Fusion and Attention for Enhanced UNet Abdominal Multi-Organ Segmentation on Synapse
[IEEE] 2025-12-23 | Review of Spacecraft Pose-Estimation Techniques for Close-Proximity Operations
[IEEE] 2025-12-23 | Selective Space Harmonics Suppression for Rotor Eddy Current Losses Mitigation in Dual-Stator Axial Flux Permanent Magnet Machines
[IEEE] 2025-12-23 | Welcoming Remarks
[IEEE] 2025-12-23 | Learning Perceptive Legged Robot Locomotion in the Real World: A Systematic Review
[IEEE] 2025-12-23 | PSET 2025 Author Index
[IEEE] 2025-12-23 | Comparison of the Characterization of Aggregates for Asphalt Mixtures Using the Marshall and Superpave Criteria
[IEEE] 2025-12-23 | SoundWeaver: Visual Analysis Of Musical Connections
[IEEE] 2025-12-23 | ICSEC 2025 Cover Page
[IEEE] 2025-12-23 | ITNAC 2025 TOC
[IEEE] 2025-12-23 | Insights on the Uplink Operation of a 1-bit Radio-Over-Fiber Architecture in Multiuser D-MIMO Communication
[IEEE] 2025-12-23 | Small-Scale-Fading-Aware Resource Allocation in Wireless Federated Learning
[IEEE] 2025-12-23 | Chance Constrained AC Security Constrained Optimal Power Flow Via the Inner-Outer Approximation Algorithm
[IEEE] 2025-12-23 | Triboelectric Charging of DBD-Treated Granular Plastic Waste Previously-Exposed to Long-Term Action of High-Levels of Ambient Humidity
[IEEE] 2025-12-23 | An Adversarial Defense Framework for Consumer UAV Systems: Case Study of Cotton Apical Bud Detection Against AI-enabled Attacks
[IEEE] 2025-12-23 | Time-Series Compensation Method for Hydrofoil Planing Attitude Stability Control of Hybrid Aquatic-Aerial Robot
[IEEE] 2025-12-23 | Back from the Dead: Self-recovery Strategy for Modular Planetary Exploration Robots_supp5-3644668.mp4
[IEEE] 2025-12-23 | Back from the Dead: Self-recovery Strategy for Modular Planetary Exploration Robots_supp6-3644668.pdf
[IEEE] 2025-12-23 | Call for Papers for 2026 IEEE International Phased Array Symposium
[IEEE] 2025-12-23 | Joint Scheduling and Relay Allocation for Semantic and Delay-Sensitive Wireless Communications
