[2026-04-28 10:58:53] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-04-27
正在获取论文...
[arXiv] 2026-04-27 | The lifetime of 100,000 molecular clouds in the nearby Universe
[NO] 81/200 | Extreme bandits
[NO] 82/200 | Quantization-Aware EE Optimization and SE-EE Tradeoff for MiLAC-Aided MU-MISO Beamforming
[NO] 83/200 | Search for associated production of a Higgs boson and two vector bosons via vector boson scattering at $\sqrt{s}$ = 13 TeV
[NO] 84/200 | Understanding the Limits of Automated Evaluation for Code Review Bots in Practice
[NO] 85/200 | Point Cloud Registration for Fusion between SPECT MPI and CTA Images
[NO] 86/200 | NTP2 topological structures
[NO] 87/200 | Sliding Mode Control for Safe Trajectory Tracking with Moving Obstacles Avoidance: Experimental Validation on Planar Robots
[NO] 88/200 | Self-Supervised Representation Learning via Hyperspherical Density Shaping
[NO] 89/200 | Deployment-Aligned Low-Precision Neural Architecture Search for Spaceborne Edge AI
[NO] 90/200 | Integral representation of polynomial local functionals on convex functions
[NO] 91/200 | Scheduling and Routing in the Flexible Job Shop with Heterogeneous Transbots and Zoning: A Constraint Programming Approach
[NO] 92/200 | Blur Effects on User Performance in Target-Pointing Tasks
[NO] 93/200 | Agentic clinical reasoning over longitudinal myeloma records: a retrospective evaluation against expert consensus
[NO] 94/200 | Zero-shot Large Language Models for Automatic Readability Assessment
[NO] 95/200 | A Survey on Split Learning for LLM Fine-Tuning: Models, Systems, and Privacy Optimizations
[NO] 96/200 | Adaptive Tensor Network Sampling for Quantum Optimal Control
[NO] 97/200 | TextGround4M: A Prompt-Aligned Dataset for Layout-Aware Text Rendering
[NO] 98/200 | Thermodynamic Parametrisation of the Vertebrate Lifetime Cycle Invariant: Biological Proper Time, Allometric Mass-Cancellation, and Clade-Specific Predictions
[NO] 99/200 | On the Footprints of Reviewer Bots Feedback on Agentic Pull Requests in OSS GitHub Repositories
[NO] 100/200 | Envisioning Mobile Data Visualization Libraries for Digital Health
[NO] 101/200 | Interference and Overhead Aware Flexible Duplexing for Distributed and Centralized Wireless Networks
[NO] 102/200 | An Energy-Efficient Lyapunov-Based Cooperative Adaptive Cruise Controller for Electric Vehicles
[NO] 103/200 | Two-Dimensional DOA Estimation Using Augmented Extended Co-Prime Parallel Arrays in Impulse Noise
[YES] 104/200 | Neural Network-Assisted NLoS Channel Identification in Near-Field Environments: A Linear Fractionalization Approach
[NO] 105/200 | Artificial Intelligence Models for Analysing Children’s Emotional Expressions and Colour Use in Digital Drawings
[NO] 106/200 | Low-Complexity Channel Estimation for OTFS via Coordinate Descent Exploiting Delay-Domain Sparsity
[NO] 107/200 | Pseudo-Chebyshev Functions over Finite Fields
[NO] 108/200 | Model-free Magnetic Servoing for Pose Control of Capsule Robots
[NO] 109/200 | Unleashing the Potential of Large Language Models for Dynamic Multiobjective Optimization
[NO] 110/200 | Internal Temperature Measurement of Transformers Based on Ultrasonic Sensing and SE-CNN
[NO] 111/200 | The Transactions on Intelligent Vehicles Information
[NO] 112/200 | Real-Time Hand Pose Estimation Using FMCW Radar on Resource-Limited Edge Devices
[NO] 113/200 | Masthead
[NO] 114/200 | Design and Application of Network Topology Robustness Optimization Algorithms Based on Cheeger’s Inequality
[NO] 115/200 | Design and characterization of a portable fluorescence measuring system for the on-site monitoring of marine bio-constructors
[NO] 116/200 | Enhancing Multi-Modal Entity Alignment via Multi-Grained Decision Fusion
[NO] 117/200 | Identification of Influential Node Group in Attributed Graph through Explaining Graph Neural Network
[NO] 118/200 | Explaining Synergistic Effects in Social Recommendations
[NO] 119/200 | Room Matters: Dynamic Room-level Collaboration Information Modeling for Live Streaming Recommendation
[NO] 120/200 | Organizational Development in High-Growth Biopharmaceutical Companies: A Data-Driven Approach to Talent Pipeline and Competency Modeling
[NO] 121/200 | Structural adjustment, capacity reshaping and cultural transformation: A three-dimensional framework of digital adaptation in the public sector
[NO] 122/200 | Optimization Paths for the Iterative Upgrade of Professional Clusters in Vocational Undergraduate Universities Based on Convolutional Neural Networks
[NO] 123/200 | Construction of a Corrector for Distorted Situations in Micro-object Images Based on Transformation and Filtering Operators
[NO] 124/200 | Intelligent Analysis of Urban Green Zones Based on Unmanned Aerial Vehicle Data
[NO] 125/200 | Experience in Synthesizing Combinational Self-Timed Circuits and Verifying the Results
[NO] 126/200 | Method of Structural-Functional Design of Intelligent Industrial IoT Systems
[NO] 127/200 | Knowledge Graphs over Two Decades
[NO] 128/200 | Research on the Impact of Digital Transformation on ESG Ratings of Enterprises
[YES] 129/200 | Enabling Deterministic 6G Ultra-Reliable Low-Latency Through Predictive and Semantic O-RAN Intelligence
[NO] 130/200 | Analysis of SLM Applicability to Prevent Information Leaks Using Business Process Optimization Tools on the PIX RPA Example
[NO] 131/200 | Short-term Photovoltaic Power Prediction Based on Multi-modal Decomposition and Adaptive Optimization
[NO] 132/200 | Digital Twins in Reverse Engineering of a Modular AC Contactors
[NO] 133/200 | 9.4
                    <i>μ</i>
                    W 285 Samples/s Capacitance to Digital Converter for Large Area Active EWOD Arrays in Thin-Film Transistor Technology
[NO] 134/200 | Decision Support Algorithm for Selecting Model Classes
[NO] 135/200 | A Need for Indigenous Database Accelerator Card: Financial and Strategic Applications
[NO] 136/200 | Noise Impact on System Identification Using Genetic Programming-Based Symbolic Regression
[NO] 137/200 | Method for Manipulator Kinematic Parameters Identification Using Three-Axis Accelerometer
[NO] 138/200 | Computer Model-Based Load Equivalenting for Electric Motor of Rolling Mill
[NO] 139/200 | Enhancing Information Integrity and Reliability in Energy Telemechanical Systems via Distributed Intelligence Framework
[NO] 140/200 | Big-Data-Driven Pipeline for Industry 4.0 Project Team Formation Based on a Modified Shapley Value
[NO] 141/200 | Digital Twin and Native-AI Empowered 6G Networks: Architectures, Applications, Evaluation, and Open Challenges
[NO] 142/200 | A Hybrid Short-Term Photovoltaic Power Forecasting Model Integrating Physical Mechanism Constraints and Weather Scenario Clustering
[NO] 143/200 | Disentangled Graph LLM for Molecule Graph Editing under Distribution Shifts
[NO] 144/200 | ReaLM: Residual Quantization Bridges Knowledge Graph Embeddings and Large Language Models
[NO] 145/200 | Counterfactual Augmented Causal Reasoning for Aspect-Based Sentiment Analysis
[NO] 146/200 | Unveiling Backdoor Propagation in Graphs: Neuron-Centric Defense Mechanisms
[NO] 147/200 | Too Much Sharing, Too Little Security: Authentication Cookie Theft At Scale
[NO] 148/200 | BeeQoS: A Cloud-Native QoS System for Adaptive and Scalable Multi-Priority Bandwidth Guarantees
[NO] 149/200 | Combating Knowledge Corruption in Agent Systems: A Byzantine-Tolerant Secure Collaborative RAG Framework
[NO] 150/200 | Quantum Subroutines in Branch-Price-and-Cut for Vehicle Routing
[NO] 151/200 | Negative Backscatter Differential Phases on SHV radars
[NO] 152/200 | SDFRF-Net: Spatial Diversity Fine-Grained Representation and Fusion Network
[NO] 153/200 | Manifold-Based Analysis of P–Q Coupling in Grid-Forming Converters with Current and Voltage Constraints
[NO] 154/200 | AS-TEB: An Adaptive and Smooth Timed Elastic Band-Based Path Planner for Mobile Robots
[NO] 155/200 | Diffusion-Based Synthetic Augmentation with Quality-Aware Reference Selection and mAP-Guided Allocation for Enhancing Vehicle Detection Robustness
[NO] 156/200 | Reducing the physical effort of wearing a walking boot using a passive hip exosuit through enforced exploration training
[NO] 157/200 | CNT/IGZO CFET Circuits Based on Top-Gate IGZO-FETs With Enhanced Hydrogen Resistance and Thermal Stability Using Y
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Passivation
[NO] 158/200 | Secure Off-chain Payment Protocol from Ciphertext Unlinkable Autonomous Path Proxy Re-encryption in Blockchain
[NO] 159/200 | A Sequential In-Process Energy Recovery Topology for Multistage Reluctance Electromagnetic Launchers
[NO] 160/200 | CoMAEA: A Collision-Avoiding Multi-Agent Evolutionary Algorithm for Coverage Path Planning_supp1-3665409.pdf
[NO] 161/200 | Multi-Scale Spatiotemporal-Enhanced Network for Multimodal Traffic Flow Joint Prediction
[NO] 162/200 | Sine-square addition equations for rectangle fused silica grating
[YES] 163/200 | Security–Spectral Efficiency Tradeoff in STAR-RIS RSMA: A Max–Min Fairness Framework
[NO] 164/200 | DIR-HSI: Degradation-Invariant Representation Learning for Hyperspectral Image Classification
[NO] 165/200 | Routing Strategy for a Multi-layer Virtual Information Defined Satellite Network
[NO] 166/200 | Molecular Nanonetworks: A QoS Aware Adaptive MAC Protocol
[NO] 167/200 | Joint Robust Routing, Scheduling, and Load Balancing in Deterministic UAV Rescue Networks: A DFS-PPO Method
[NO] 168/200 | Predictability-Aware Compression and Decompression Framework for Multichannel Time Series Data with Latent Seasonality
[NO] 169/200 | DIARY: Differentially Private Recovery with Adaptive Privacy Budgets in Federated Unlearning
[NO] 170/200 | MessageShift: Fine-Grained Data Augmentation for Graph Neural Networks
[NO] 171/200 | Hierarchical Graph-Bag-Network for Self-Supervised Multi-Graph Learning
[NO] 172/200 | Pattern-aware Illicit Account Detection based on User Behavior Sequences
[NO] 173/200 | RGPO: Ranking-Guided Preference Optimization for Reliable Clinical Reasoning
[NO] 174/200 | Numerical analysis of the effect of electrode arrangement on the performance of micro electrohydrodynamic conduction pump
[NO] 175/200 | SmartIndustryCon 2026 Cover Page
[NO] 176/200 | Research and Application of Microseismic Source Localization Based on an Improved Differential Evolution Algorithm
[NO] 177/200 | Graph Attention Network Aided Message-passing Neural Decoder for Polar Codes Based on Sparse-pruned Tanner Graphs
[NO] 178/200 | Avocado Detection System on a UAV with YOLOv8 Image Processing
[NO] 179/200 | Analytical Model on the Threshold Voltage of Charge-Trap-Based Hybrid Gate-Stack GaN MIS-HEMT
[NO] 180/200 | Optimized Metal–Oxide Semiconductor Sensor Readout Techniques for Quantitative Gas Sensing
[NO] 181/200 | Application of Bionic Orientation Technology Based on Underwater Polarization Restoration for AUVs
[NO] 182/200 | Front Cover
[NO] 183/200 | Towards VR Training Adapted to Affective and Cognitive States: General Method and Evaluation of MentalWorkload_supp1-3679921.mp4
[NO] 184/200 | Rotational Doppler-Enabled Single-Pixel Imaging: A Multimode Sensing Approach for Velocity and Structural Monitoring of High Speed Rotating Targets
[NO] 185/200 | YOTO++: Learning Long-Horizon Closed-Loop Bimanual Manipulation from One-Shot Human Video Demonstrations
[NO] 186/200 | def state_of_computational_arts(): return current_state
[NO] 187/200 | FeedGuard: Online Critic-Guided Reinforcement Learning with Privacy-Preserving Feedback for Recommendation
[NO] 188/200 | QuiZSF: A Retrieval-Augmented Framework for Zero-Shot Time Series Forecasting
[NO] 189/200 | SaGD: A Node-Level Differentially Private Graph Learning Framework with Sensitivity-Aware Gradient Descent
[NO] 190/200 | Self-Speculative Decoding for On-device MoE Acceleration
[NO] 191/200 | LLMQuA: Practical Backdoor Injection on Large Language Model Quantization
[NO] 192/200 | Application of Two-Dimensional Discrete Fourier Transforms with Variable Parameters in Reconstructive Computed Tomography
[NO] 193/200 | Exploring Geographical Interconnections between National Research and Education Networks
[NO] 194/200 | Leveraging FPGA-based SmartNICs for Low-latency In-band Network Telemetry
[NO] 195/200 | A Guide to the Programmable Network Zoo
[NO] 196/200 | Detecting DDoS Attacks in SDN Networks Using Federated Learning with Deep Neural Networks
[NO] 197/200 | A Secure Distributed Architecture for Large-Scale Detailed Automated Vehicle Traffic Simulation
[NO] 198/200 | Methods for Ensuring Energy Efficiency of Cyber-Physical Dosimetric Monitoring Systems
[NO] 199/200 | Dynamic Optimization of Data Center Network Topology with Worst-Case Delay Guarantees
[NO] 200/200 | Subterahertz Traveling Wave Tubes: A Route Toward Ultracapacity 6G Wireless Networks:
                    <b>Application Scenario and Challenges</b>
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-04-27.json。
邮件发送成功！
[2026-04-28 11:27:11] 任务执行成功！
