[2026-05-07 11:04:18] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-06
正在获取论文...
[arXiv] 2026-05-06 | Emergence of Localized Surface Plasmons in Unpatterned Hyperdoped Polycrystalline Silicon
[NO] 95/181 | Benchmarking POS Tagging for the Tajik Language: A Comparative Study of Neural Architectures on the TajPersParallel Corpus
[NO] 96/181 | VL-UniTrack: A Unified Framework with Visual-Language Prompts for UAV-Ground Visual Tracking
[NO] 97/181 | IRON: Implicit Resolvent Optimization under Noise
[NO] 98/181 | Neural-Guided Domain Restriction to Accelerate Pseudospectra Computation for Structured Non-normal Banded Matrices
[NO] 99/181 | The Nonreciprocal Mie-surfaces
[NO] 100/181 | Measurement-Device-Independent Entanglement Quantification in a Fully Connected Time-Bin Quantum Network
[NO] 101/181 | Fourfolds: Enhanching Proprioceptive Awareness through Visual Electromyography Biofeedback and Camera-Based Motion Tracking
[NO] 102/181 | Body Management Information Practices on a Female-dominant Platform
[NO] 103/181 | Member Spotlights: Zina Zhang
[NO] 104/181 | Member Spotlights: Deepak Giri
[NO] 105/181 | Harmony in Diversity: A Public AI Art Installation Bridging Neurodiversity Through Style Transfer
[NO] 106/181 | Drifting Pixels MR: Embodying Interstellar Solitude through Jungian Narrative and Mixed Reality Artifacts
[NO] 107/181 | Menyu: Embedding Spacial Narrative in Large-Scale Interactive Installations for Built Heritage
[NO] 108/181 | IEEE Transactions on Industrial Informatics Information for Authors
[NO] 109/181 | A modular geospatial data quality framework: FAIRness, comparability, and reusability
[NO] 110/181 | Enhancement of Partial Discharge Performance and Insulation Stability of XLPE/SiR Heterointerfaces in Cable Accessories by Plasma Silicon Deposition_supp1-3690139.pdf
[NO] 111/181 | Medical Aerosol Flow Rate Estimation by Vibrational Assessment for Smart Inhaler Development
[NO] 112/181 | PFANet: A Progressive Feature Alignment Network with Local-Global Attention for Joint Classification of Hyperspectral and LiDAR Data
[NO] 113/181 | 1 Transistor-Dynamic Random Access Memory as Reservoir for Temporal Signal Processing
[NO] 114/181 | Generation of brain PET synaptic density imaging from MRI and FDG-PET using a 3D Multi-stage Residual U-Net
[NO] 115/181 | Retraction Notice: Synergistic Integration of Lead Level, EEG, and Oculomotor Analysis for Advanced ADHD Diagnosis through Machine Learning
[NO] 116/181 | Extended Gramian Angular Field: An Efficient Method for Encoding Time Series as Images and Its Application in Power Converter Open Circuit Fault Diagnosis
[NO] 117/181 | Copyright Page
[NO] 118/181 | Half Title Page
[NO] 119/181 | Editorial Board
[NO] 120/181 | Causal Discovery in Education: A Counterfactual Analysis of Student Outcomes using DECI on the OULAD Dataset
[NO] 121/181 | Multimodal Workload Analysis for Developer Burnout Prediction: Integrating Jira and GitHub Activity Data
[NO] 122/181 | BizQuery: Agentic Financial Question Answering over Structured Data
[NO] 123/181 | Hold the Prompt (HODPOT): Defense Design for Securing the System Prompt of LLM Agents
[NO] 124/181 | An Efficient Deep Learning Method for Malware Detection Through Visual Representation
[NO] 125/181 | An Integrated Framework for Feasibility and Risk Assessment of Roadway Energy Harvesting: A Critical Review
[NO] 126/181 | Ultrafast Optical Linear and Nonlinear Response of Two-Dimensional CrOCl Materials and Applications
[NO] 127/181 | Synthetic EEG for Motor Imagery Tasks using Transformer-Guided Generative Adversarial Network
[NO] 128/181 | Low-Thermal-Budget (300°C) HZO Ferroelectrics with Improved Ferroelectricity and Endurance via Process-Material Co-optimization
[NO] 129/181 | Multimodal Deep Learning for Early Sepsis Prediction: Fusion of Physiological Data and Clinical Notes Using Kernel Attention and ClinicalBERT
[NO] 130/181 | Hybrid Solar PV and Piezoelectric Energy Harvesting for Smart Roads
[NO] 131/181 | Reversible Jump MCMC for Neural Network Selection: A Comparative Study Against Information Criteria
[NO] 132/181 | A Tunable Energy-Efficient DPI-Based Leaky Integrate-and-Fire Neuron for Neuromorphic Applications
[NO] 133/181 | Explainable Machine Learning for Chronic Kidney Disease Prediction with SHAP and LIME
[NO] 134/181 | Trustworthiness of Legal Considerations for the Use of LLMs in Education
[NO] 135/181 | Adjustable Accumulation Behavior in 2D Perovskite-Based Artificial Neuron Devices
[NO] 136/181 | Energy-Efficient and Low-Carbon Model Training Through Adaptive Pruning for AI Training
[NO] 137/181 | Enhanced Stock Trend Prediction Through Artificial Neural Networks
[NO] 138/181 | Vocal Tract Resonance Estimation: An Energy Weighted Singular Spectrum Approach
[NO] 139/181 | Optimizing Efficiency of Perovskite Solar Cells Using Neural Network with MWCNT-Based HTL
[NO] 140/181 | Examining the Influence of ChatGPT on Programming Courses in Higher Education
[NO] 141/181 | Influence of Oxidation Temperature on the Electrical and Structural Properties of ZrO
                    <sub>2</sub>
                    film on 4H-SiC: An SEM, EDX, CV and IV Investigation
[NO] 142/181 | A Novel Low-Cost 3D-Stackable 2T0C DRAM Cell with Vertical-Double-Gate and Lateral-C-shape-Channel InGaZnO Transistors
[NO] 143/181 | Meta Learning for Healthcare: Few-Shot Diabetes Prediction Across Heterogeneous Populations
[NO] 144/181 | FedSP: Privacy-Preserving Malware Detection Model Through Lightweight Federated Learning
[NO] 145/181 | In-pixel Capacitive Droplet Sensing Circuit with Dual-electrode Design for Active-matrix Digital Microfluidics
[NO] 146/181 | Influences of Voltage Cycling on Variations in HfO
                    <sub>2</sub>
                    -based 3D Trench FeRAM
[NO] 147/181 | Plant Leaf Disease Detection Using Deep Learning and Explainable AI
[NO] 148/181 | Manufacturing-Oriented Dual Neural Surrogate for Trench MOSFET Fabrication Process and Device Optimization
[NO] 149/181 | Analysis of the Impact of Service Quality Factors on Customer Satisfaction: A Study of Sri Lankan Freight Forwarding Selection
[NO] 150/181 | Dual-Loss Trained Compact Cascaded ANN for Custom-Range BSIM-CMG Parameter Extraction
[NO] 151/181 | Dynamic Response Characterisation of PDMS-MWCNTs Piezoresistive Sponge for Human Motion Monitoring
[NO] 152/181 | LandChain: A Blockchain-Powered Land Marketplace Using Hyperledger Fabric and IPFS
[NO] 153/181 | Enhancing Learning Path Recommendation via Multi-task Learning
[NO] 154/181 | SALG-QCNN-SER: A Noise-Robust Quantum Convolutional Neural Network with Enhanced Cross-Domain Generalization for Speech Emotion Recognition
[NO] 155/181 | VL-BrainNet: A VGG16–BiLSTM-Based Framework for Accelerated Brain Tumor Diagnosis
[NO] 156/181 | Zero Trust-Based Cyber-Physical Security for Financial Fraud Detection in Engineering Projects
[NO] 157/181 | An Integrated Approach to Forecast Bitcoin Price Incorporating Economic Factors, Strategic Commodities, and X Tweets
[NO] 158/181 | An Explainable Ensemble Learning Framework for Crop Classification with Optimized Feature Pyramids and Deep Networks
[NO] 159/181 | Bioinspired Fractal Nanoneedle Arrays for Flexible and Controlled Drug Delivery
[NO] 160/181 | DenseNet201-Based Deep Learning Approach for Automated Classification of Peanut Plant Leaf Diseases
[NO] 161/181 | A Compact Ultra-Wideband MIMO Antenna for Mmwave Applications
[NO] 162/181 | DREAM: Drain Stress-Induced Reliability Enhancement Method for IGZO-FETs and Performance Improvement of IGZO-based M3D System from 77K to 373K
[NO] 163/181 | Leveraging AI in Library Science: Enhancing Access to Political Science Literature and Resources
[NO] 164/181 | CGP Scaled 3D 2T0C DRAM with Record Write Speed of 400 ps and High Temperature Stability
[NO] 165/181 | CALM: Cost-efficient, model Agnostic, Low-latency Modular LLM Deployment framework
[NO] 166/181 | QGMR: A New Quantum Mutation Testing Operator
[NO] 167/181 | Standard CMOS-Compatible Low-Power Ternary Logic with Drain Resistance
[NO] 168/181 | An Adaptive Security Model Based on User Behavior Analysis for Enhancing Protection Against Cyber Attacks
[NO] 169/181 | Deep Learning Model Splitting for Distributed Inference in Resource-Constrained Edge Environments for Wildlife Monitoring
[NO] 170/181 | Readiness Dimensions for Digital Twin Adoption and Process Optimization in Sri Lanka's Large-Scale Apparel Sector
[NO] 171/181 | Bridging Local and Contextual Features with IChOA-CNN-LSTM for Robust Textual Emotion Recognition
[YES] 172/181 | Enhanced Near-Field Power Beam Scanning in E-Plane and H-Plane Using mmWave Leaky-Wave Antenna
[NO] 173/181 | Temporal Personal Fashion AI System with Multi-Component Integration
[NO] 174/181 | An Intelligent Machine and Deep Learning Framework for Fake News Detection
[NO] 175/181 | Design and Analysis of a Symmetric Thirteen-Level Inverter for THD Minimization with Reduced Component Count
[NO] 176/181 | Performance Degradation of Monocrystalline PV Modules Under Progressive Uniform Shading Conditions: An Experimental Study
[NO] 177/181 | LLM is Not All You Need: A Systematic Evaluation of ML vs. Foundation Models for text and image based Medical Classification
[NO] 178/181 | Khelte Khelte Shikhi: A Proposed HCI Framework for Gamified Interactive Learning with Minecraft in Bangladeshi Education Systems
[NO] 179/181 | AI-Based Forecasting Model for Sustainable Development in Arab and GCC Countries
[NO] 180/181 | Anomaly Identification and Safety Early Warning of Engineering Systems Based on Multimodal Online Monitoring
[NO] 181/181 | Multi-Agent Evolutionary Game Simulation of Digital Supervision of High-risk sub-projects Based on System Dynamics
筛选完成：共 181 篇；Yes = 1 篇；已保存到 papers/select_paper2026-05-06.json。
邮件发送成功！
[2026-05-07 11:28:07] 任务执行成功！
