[2026-07-07 11:41:41] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-06
正在获取论文...
[arXiv] 2026-07-06 | Convergence analysis of a MAC scheme for the barotropic Euler system
[NO] 80/200 | A family of generalized Gelfand pairs attached to $3$-step nilpotent Lie groups
[NO] 81/200 | Analytical Extraction of Conditional Aleatory Sensitivities Across Epistemic Space via a Single PCE Model
[NO] 82/200 | Non-Asymptotic Error Bounds for SMC with Biased Proposals: Application to Conditional Diffusion Sampling
[NO] 83/200 | DGSeg: Dynamic Gating of Semantic-Spatial Guided Predictions for Reasoning Segmentation
[NO] 84/200 | Hydro-mechanical Model for Slope Stability Assessment: A polygonal stabilization-free discretization
[NO] 85/200 | Non-asymptotic Convergence of Stochastic Gradient Descent in Score-based Generative Models
[NO] 86/200 | MARLIN: De Novo Molecular Structure Elucidation from Tandem Mass Spectra without a Ground-Truth Formula
[NO] 87/200 | Strain- and potential-controlled tunneling in monolayer MoS$_2$
[NO] 88/200 | Measurability of Quadrupole Deviations from Kerr in Binary black hole Mergers
[NO] 89/200 | Rotating Fermion-Boson Stars in $R$-squared Gravity
[NO] 90/200 | DriftST: One-Step Generative Inference of Spatial Transcriptomics from H\&E Histology
[NO] 91/200 | Identifiability of Relational Queries in Multi-View Pretraining
[NO] 92/200 | LP-SFT: Local-Preserving Supervised Fine-Tuning via Multimodal Entropy Structure
[NO] 93/200 | Approximations related to triplewise independent random variables
[NO] 94/200 | Reference-Induced Consensus for Selective Posed-Reference Visual Localization
[NO] 95/200 | Rockafellian relaxation and minimum-norm slack for the Walrasian equilibrium problem
[NO] 96/200 | A logarithmic convexity approach to quantitative unique continuation for the complex Ginzburg-Landau operator
[NO] 97/200 | Hierarchical Scaffolding Enables Human-Like Cognitive Selectivity under Data Scarcity
[NO] 98/200 | New insights on mutual information in the island approach to the Page curve
[NO] 99/200 | Multi-Target ISAR Imaging of UAV Swarms Using Fast Reweighted Atomic Norm Denoising
[NO] 100/200 | Probe-EM: Targeted Neuron Tracing via Training-Free Semantic Verification
[NO] 101/200 | Diagnosing Debugging: The ECDM Framework for Designing Diagnostic Cases in Simulation-Based Teacher Training
[NO] 102/200 | Assessing Computing Teachers' Self-efficacy to Teach about Neural Networks in Schools in Ghana: A Quantitative Study
[NO] 103/200 | A Longitudinal Study of Students in a Work-Based Learning Program
[NO] 104/200 | Coupled-Line-Based Modeling and Design of Symmetric T-coil Structures
[NO] 105/200 | OmniControl: Unified Audio Extraction and Elimination via Subband-Aware Separation
[NO] 106/200 | HVI-CIDNet+: Beyond Extreme Darkness for Low-Light Image Enhancement
[NO] 107/200 | Designing Metaphoric 3D Glyph Atlases for Web-Based Information Landscapes
[NO] 108/200 | 2026 IEEE 18th Specialist Meeting on Microwave Radiometry and Remote Sensing for the Environment (MicroRad)
[NO] 109/200 | A Denoising Adversarial Model Based on Hyperellipsoidal Knowledge Representation Learning for DTI Prediction
[NO] 110/200 | TaxEL: Taxonomy-Enhanced Entity Representation Learning for Biomedical Entity Linking
[NO] 111/200 | Reconstructing long-term 500m Snow Cover Frequency over the Third Pole Using a Widening Threshold Constrained Dynamic Time Warping Fusion Approach
[NO] 112/200 | $\mathsf {DARTIC}$: Decentralized Anonymous Reputation at Scale for Trustworthy Crowdsourcing
[NO] 113/200 | Space-Vector Modulation Scheme for Three-Level Switched-Capacitor Boost Inverter with Constant Common-Mode Voltage
[NO] 114/200 | A Novel Deep Reinforcement Learning Approach for UAV Path Planning and Obstacle Avoidance for IoT Data Collection in Complex Urban Environment
[NO] 115/200 | Development of a Digital Twin for Construction 3D Printer with Machine Learning Defect Detection Algorithm
[NO] 116/200 | Interleaved CRC-Polar Codes with Error Correction-Detection Decoding for Short-Packet URLLC
[NO] 117/200 | Efficient Lattice-Based Multi-Designated Verifiers Traceable Ring Signature for Conditional Privacy-Preserving Blockchain-Based Anonymous Reporting
[NO] 118/200 | A Brain-inspired Event-triggered Consensus Control Framework Based on Spiking Neural Network for MASs
[NO] 119/200 | Exploring the AI Principles-to-Practices Gap with an Interactive AI Alignment Lab
[NO] 120/200 | Agency for Whom and To What Ends: A Plan for Investigating Impacts of Agentic AI in Computing Education
[NO] 121/200 | A Systematic Literature Mapping of Gender Bias Towards Instructors in Computer Science Education
[NO] 122/200 | Bridging the gap between industry and academia: sustainability in LLM-assisted software engineering
[NO] 123/200 | Energy Consumption of Dataframe Libraries for End-to-End Deep Learning Pipelines - A Comparative Analysis
[NO] 124/200 | VL-KGE: Vision–Language Models Meet Knowledge Graph Embeddings
[NO] 125/200 | GSVR: 2D Gaussian-based Video Representation for 800+ FPS with Hybrid Deformation Field
[NO] 126/200 | A Novel Detection Method of Threat Groups Based on PE Files’ Gene
[NO] 127/200 | SMED-YOLO: A Multi-Module Enhanced Algorithm for Infrared Ship Detection in Complex Maritime Environments
[NO] 128/200 | FOTRS: Factored Optimal Transport Reward Shaping
[NO] 129/200 | Lightweight Multi-Scale Attention Fusion and Accurate Localization Network for Industrial Surface Defect Detection
[NO] 130/200 | Development of a Smartphone-Based Object Recognition Prototype Application "VocabEyes" for Trilingual Vocabulary Learning for the Visually Impaired
[NO] 131/200 | Deep Transfer Learning for Accurate Lung Cancer Diagnosis Using VGG-16
[NO] 132/200 | Digital Collaboration in a Complex Systems Simulation Game: Impacts on Learning Experience, Systems Thinking, and Strategic Planning
[NO] 133/200 | Flueformer: A Decoupled Deep Learning Model for SO
                    <sub>2</sub>
                    Prediction in Industrial Wet Flue Gas Desulfurization
[NO] 134/200 | Technology-Driven Business Transformation of An Administrative Approval Process: A Case Study of E-Document Implementation at the Faculty of Pharmacy, Chiang Mai University
[NO] 135/200 | Research on Privacy-Preserving UAV Task Matching Scheme
[NO] 136/200 | Stereo Gaussian Fusion for Naked-eye 3D Display
[NO] 137/200 | Adaptive Droop-Gain Model Predictive Control for Enhanced Efficiency and Power Quality in Renewable Microgrids
[NO] 138/200 | Deep Reinforcement Learning for UAV Trajectory Design and Service Planning
[NO] 139/200 | Analyzing Sample Selection Under Poisoning Membership Inference in Federated Learning
[NO] 140/200 | CMRAF: Cross-Modal Refinement and Adaptive Fusion Network for Joint Registration and Fusion of Multi-Modal Medical Images
[NO] 141/200 | Intelligent Cloud Security Model for Healthcare: Dynamic AI-Based Threat Monitoring and Compliance Assurance
[NO] 142/200 | RADAR: Deep Reinforcement Learning for Large-Scale Robust Aircraft Routing
[NO] 143/200 | Real-Time Advanced Heart Monitoring System Using IoT Based Patient Tracking
[NO] 144/200 | A Data Fusion–Based Hidden Markov Model for Prognostics and Condition Monitoring
[NO] 145/200 | A Unified Statistical and Geometric Scoring Method for Zero Day Malware Open Set Recognition
[NO] 146/200 | Recommender Unlearning Based on Dual-Module Collaborative Mechanism
[NO] 147/200 | VeriClassify: An AI-Driven Document Categorization within a Blockchain-Secured Git Workflow
[NO] 148/200 | System Architecture and Performance Analysis of a Spectral Feature Based Speech Enhancement Algorithm
[NO] 149/200 | Secure Identity Verification with Distributed Ledger Technology to Manage Decentralized Trust
[NO] 150/200 | Multi-Behavior Collaborative Disentangled Intent Learning for Sequential Recommendation
[NO] 151/200 | Research on Microgrid Optimal Scheduling Based on Scene Classifier and Collaboration of Multiple DRL Models
[NO] 152/200 | MEFF-YOLO: Harmonizing Multi-Scale Context and Frequency Cues for Traffic Sign Detection
[NO] 153/200 | Game-Based Autonomous Parking System using Proximal Policy Optimization with Reward Shaping
[NO] 154/200 | Research on Artificial Intelligence-Based Personalized Teaching System for Military Academies
[NO] 155/200 | A Real-Time Thai Sign Language Recognition System Using Skeletal Keypoints and LSTM Networks
[NO] 156/200 | The Hidden DNA of LLM-Generated JavaScript: Structural Patterns Enable High-Accuracy Authorship Attribution
[NO] 157/200 | Behavior-Based Zero-Day Attack Detection Using Hybrid Deep Learning Models in Enterprise Networks
[NO] 158/200 | Achieving Productivity Gains with AI-based IDE features: A Journey at Google
[NO] 159/200 | Towards Improving CS Students' Generative AI Literacy
[NO] 160/200 | LiveC: A Living Curricula Framework for Agile and Responsive Computing Education
[NO] 161/200 | Exploring Workforce-Informed Competency Pathways in Computing Education
[NO] 162/200 | Tikka: An Interpreter and Debugger for a Pedagogical Subset of Haskell
[NO] 163/200 | Multimodal Analogies for Learning Programming Concepts with Vision-Language Models
[NO] 164/200 | Club Zero: A Comprehensive Cybersecurity and Networking Fundamentals Simulator
[NO] 165/200 | Teaching Rendering and Modeling with AR/XR in Computer Graphics Courses
[NO] 166/200 | Empirical Studies on UML Sequence Diagrams in Education: A Systematic Literature Review
[NO] 167/200 | A Unified Trust-Driven Adaptive Control Framework for Connected and Automated Vehicle Platoons under Hybrid Cyberattacks
[NO] 168/200 | 4SQR-CodeScanner: A Zero-Overhead Deep Learning Decoder for Resource-Constrained IoT Edge Devices
[NO] 169/200 | LSanS: A Pairing-Free Sanitizable Signature Scheme for Accountable VANET Certificate Derivation
[NO] 170/200 | Integrating Domain Knowledge into Image Generation Models for Textile Design
[NO] 171/200 | A Hybrid Approach Using Statistics and Unsupervised Learning to Investigate the Impact of Ionospheric Storm Disturbances on Pre-earthquake Total Electron Content Anomalies
[NO] 172/200 | Refining Estimates of Vegetation Water Storage From SMAP L-Band VOD Using GEDI Canopy Height Observations
[NO] 173/200 | A Ground-Truth-Free Denoising Framework for Real-Time Raman-based Distributed Temperature Sensing in Sapphire Fiber
[NO] 174/200 | Med-SORA: Symptom to Organ Reasoning in Abdomen CT Images
[NO] 175/200 | FGCSA-Net: A Novel Framework for Medical Report Generation Via Fine-Grained Feature Preservation and Semantic Alignment
[NO] 176/200 | Multi-Key Components Power Losses Collaborative Optimization of MMCs Based on Multi-Degree of Freedom Control
[NO] 177/200 | Digital Twins for Visual Inspection of Large Structures: A Systematic Review
[NO] 178/200 | Unsupervised attenuation of aliased ground roll in undersampled 3D land seismic data
[NO] 179/200 | Constructing Radio Map via Spatio-Temporal Learning of Crowdsourced Trajectory Data
[NO] 180/200 | Design and Analysis of SAWbot: A Robot Generating Continuous Wave
[NO] 181/200 | IEEE Industrial Electronics Society Publication Information
[NO] 182/200 | Beyond Energy Consumption: Accurate Emission Factors for Production Sites
[NO] 183/200 | AI Lesson Plan Generator via Modular Feature Extraction and Synergistic Knowledge Retrieval Technology for Higher Education
[NO] 184/200 | Analyzing MEV Feasibility and Arbitrage Strategies on Algorand: An Empirical Study
[NO] 185/200 | Wine Quality Estimation System using Deep Neural Network with Reduced Measurable Features
[NO] 186/200 | Heterogeneous Resource Allocation for Deadline-aware Dependent Serverless Applications
[NO] 187/200 | Mitigating Prefetcher-Caused Pollution using Informed Caching Policies for Prefetched Blocks
[NO] 188/200 | MT-CSD: Multi-Trajectory Consensus Self-Distillation for Robust Web Agents Learning
[NO] 189/200 | An AI-Driven Study of Same-Event News Coverage Using Sentence Embeddings and Cosine Similarity
[NO] 190/200 | LLM-Augmented Multimodal Recommendation with Dynamic Feature Weighting and Multi-Scale Graph Convolution
[NO] 191/200 | Infrared - Microwave Synergy to Support Characterisation of Polar Lows
[NO] 192/200 | Smart IoT-Based Framework for Wall Crack and Leak Detection Using Cloud-Integrated Lightweight CNN
[NO] 193/200 | A Real-Time 3D Avatar System for Immersive Virtual Try-On on Public Displays
[NO] 194/200 | Improved NSGA-III Based on Chaotic Mapping for Multi-Objective Flexible Job Shop Scheduling
[NO] 195/200 | A Regularization-Based Strategy for Balancing Cross-Template Temporal Relation Extraction
[NO] 196/200 | A Human-Machine Collaborative Code Translator from ARM NEON to RISC-V Vector
[NO] 197/200 | Qualitative&amp;Quantitative Meta Graph Transformer for Marine Diesel Engine Health Monitoring
[NO] 198/200 | Zero-Shot Pseudocolor X-ray Domain Translation for Cross-Device Industrial Collaboration
[NO] 199/200 | Prognostic-Informed Opportunistic Grouping Maintenance Optimization for Multi-Component Systems
[NO] 200/200 | An Analysis of Cultural Tourism Applications in Smart Cities
筛选完成：共 200 篇；Yes = 0 篇；已保存到 papers/select_paper2026-07-06.json。
邮件发送成功！
[2026-07-07 12:05:12] 任务执行成功！
