[2026-08-18 09:25:26] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-17
正在获取论文...
[arXiv] 2026-08-17 | CAPO: Constraint-Aware Prompt Optimization for LLM Agents
[NO] 61/200 | Optimizing Multi-Market Participation of Battery and Electrolyser Systems Based on Field Performance
[NO] 62/200 | GaussianDWM++: Language-Grounded 3D Gaussian Driving World Model for Unified Scene Understanding, Editing, and Multi-Modal Generation
[NO] 63/200 | PCT-Prompt: A Prompt-Guided Transformer Framework for Dense Prediction Tasks in Point Clouds
[NO] 64/200 | STAIR: Semantic-Temporal Automaton for Interpretable Reasoning in Temporal Question Answering
[NO] 65/200 | Process-Constituted Intelligence: A Shared Criterion for Humans and Machines
[NO] 66/200 | Conditional Evaluation of Language Models with Cheap Auxiliary Signals
[NO] 67/200 | An FFT-Accelerated Boundary Integral Equation Method for Wave Scattering by Smooth Surfaces in Three Dimensions
[YES] 68/200 | PRISM: Decision-Centric Predictive Sensing for Cognitive Digital Twins in 6G
[NO] 69/200 | Baseline-Relative Counterfactual Refinement for Bit-Aware Visual Token Communication
[NO] 70/200 | AdaSprite: Resource-efficient Online Co-Adaptation for V2I Systems Under Large-scale Data Drifts
[NO] 71/200 | LENS: In-Context Search via Latent Evidence Exploration over Dynamic Raw Documents
[NO] 72/200 | MUSE: An Interactive Meta-Agent for Understanding and Steering LLM-powered Data Science Systems
[NO] 73/200 | Star Formation in the H II Region Sh 2-205: 3D Morphology and Kinematics from Young Stars and Molecular Gas
[NO] 74/200 | Adaptive Relative Orbit Control Considering Laser Ablation Uncertainty
[NO] 75/200 | Global Solutions to a Fourth-order Degenerate Model for Surface-Tension-Driven Convection
[NO] 76/200 | Domain-Specific Text Embedding Models for Entity Resolution
[NO] 77/200 | REFLEX: Reflexive Equilibrium Fixed-point Learning for Endogenous eXchanges
[NO] 78/200 | The Right Prior for the Right Deformation: Rethinking Continuous Deformable Image Registration
[NO] 79/200 | Central limit theorem in Rényi divergence for lattice random variables
[NO] 80/200 | Cubes in the Torus
[NO] 81/200 | A Local Central Limit Theorem for Clique Counts in Sparse Random Graphs
[NO] 82/200 | Spectral Gaps of Hit-and-Run and Coordinate Hit-and-Run
[NO] 83/200 | An Analytical-Prior Framework for Data-Efficient Prediction of Sound-Reduction Frequencies in Rectangular Side-Branch Helmholtz Resonators
[NO] 84/200 | Data-Efficient and Interpretable Classification of Circulating Tumor Cell Phenotypes in Microfluidic Devices via Deep Learning
[NO] 85/200 | Towards Computational Provenance: Carrying Causal-State Evidence in Generated Text
[NO] 86/200 | Classical Adversarial Fault-Tolerance and PCPs
[NO] 87/200 | HarnessEval-W: Agentifying the Evaluation of Visual Worlds
[NO] 88/200 | zLend: A Dual-Scope Cash-Flow Reconstruction Framework for On-Chain Credit Underwriting
[NO] 89/200 | A Hirsch length inequality
[NO] 90/200 | Targeting Support Using Job Seekers' Biases: A Randomized Experiment
[NO] 91/200 | Topology-Aware Differentiable Triangle-Soup Reconstruction via Persistent Homology
[NO] 92/200 | Spectral Edge Rigidity of Quantum Chaotic States
[NO] 93/200 | Security of Foundation-Model-Powered Embodied Agents: Attack Surfaces, Attacks, Defenses, and Evaluation
[NO] 94/200 | The first comprehensive spectral and timing study of the ultra-compact X-ray binary 4U 1812-12 with NICER and NuSTAR
[NO] 95/200 | Expanding Access, Exposing Risk: A Short Study of Exposed Starlink Hosts
[NO] 96/200 | Nonnegative Quadratics over a Quadrant with a Bilinear Constraint
[NO] 97/200 | Classical-limit formula for matrix elements between bound states of distinct one-dimensional potentials
[NO] 98/200 | HAPS through the Lens of Satellites and UAVs: A Function-Level Perspective on the Emerging High Altitude Economy
[NO] 99/200 | Biases-Informed Job Search Guidance: Characterization, Implications, and Targeting Support
[NO] 100/200 | Identifying AGNs from X-ray detections$-$II: Metallicity calibrations for the $\rm N_2O_2$ and $\rm N_2S_2$ diagnostics
[NO] 101/200 | Assertions for Free: Transferring Invariants from Algorithm to Implementation Proofs (Functional Pearl)
[NO] 102/200 | Set-Theoretic Types for Erlang in Practice (Experience Report)
[NO] 103/200 | FairFRL: Fairness-aware Federated Representation Learning for Cross-domain Sequential Recommendation
[NO] 104/200 | Introduction to the Special Section on USENIX FAST 2025
[NO] 105/200 | Dual-Beam Dual-Circularly Polarized Leaky Elliptical Waveguide Antenna With 2×2 MIMO Capability
[NO] 106/200 | A Novel 1650Nm Tunable DFB Laser Featuring a Dual-electrode Structure
[NO] 107/200 | GCON 2026 Breaker Page
[NO] 108/200 | Novel Unipolar Stacked FET (USFET) Architecture Enabled by Tri-Layer Dummy Gate, Quasi-GAA SD Process, and Interconnect Innovations
[NO] 109/200 | Causally Explainable and Responsible AI: Safety-Critical Intelligent Transportation Systems
[NO] 110/200 | Neighborhood difference-based passive localization with automatic annotation in visible light sensing
[NO] 111/200 | Gesture Recognition Using Tapered Double C-Shaped Polymer Optical Fiber for Multi-Scenario Human-Computer Interaction_supp1-3724049.mp4
[NO] 112/200 | Comments by the Editors
[NO] 113/200 | GenAI for Reproducibility: Auto-Benchmarking Legacy (Hardware) Research – A Perspective
[NO] 114/200 | GR-Net: Robust Gravitation &amp; Repulsion Fusion Network for End-to-End Audio-Visual Speech Recognition
[NO] 115/200 | Decentralized Edge Learning Under Weak Smoothness: A Normalized Random Walk Gradient Approach
[NO] 116/200 | EchoST-SSL: Self-Supervised Spatiotemporal Representation Learning for Label-Efficient Processing of Echosounder Data_supp1-3720358.pdf
[NO] 117/200 | An Ultra-Wideband Quad-Mode-Composite Complementary Source Antenna Array for B5G/6G Millimeter-Wave Applications
[NO] 118/200 | Hybrid STSMC Observer and AI-Based Anomaly Detection in Smart Grids with EV Integration
[NO] 119/200 | Workload-Aware Early-Stage Power Delivery Network Optimization via Architectural Power Traces
[NO] 120/200 | Investigation of Deep Learning Image Processing Algorithms for Real-Time Video Analytics
[NO] 121/200 | Modeling and Side-Channel Attack Resistant VGSOT-MTJ PUF Using ML and DL Analysis
[NO] 122/200 | light-YOLOv26: A Lightweight Object Detector with Enhanced Feature Aggregation for Breast Lesions
[NO] 123/200 | Enhancing YOLOv11 for Over-Dimension Truck Detection Using Complementary Attention Mechanisms
[NO] 124/200 | A Credibility-Aware Multi-Source Decision-Level Fusion Framework for Performance Evaluation of Submersible Pumps
[NO] 125/200 | An IoT-Enabled Smart MPPT-Controlled Photovoltaic-Solid Polymer Electrolyte System for Real-Time Optimized Hydrogen Production
[NO] 126/200 | A Holonic Multi-Agent Approach for Thermal Comfort and Energy Efficiency in Smart Buildings
[NO] 127/200 | A Comparative Study of Bayesian Contextual Bandits for Real-Time Warehouse Sorter Optimization
[NO] 128/200 | A Comparative Experimental Study of Traditional, Semantic, and Deep Learning-Based Image Retrieval Techniques
[YES] 129/200 | LLM-Driven Resource Optimization for Multi-Cell Secure ISAC Systems
[NO] 130/200 | Dynamic Path Planning Based on Direction-Aware Time-Varying Risk Field for Mobile Robots
[NO] 131/200 | Research on a Rule-Driven Diagnosis and Automatic Refactoring Framework for IEC 61131-3 XML Control Programs
[NO] 132/200 | Real-Time EEG-Based Brain-IoT Interface Using Multi-Channel Motor Cortex Analysis and Ensemble SVM Classification
[NO] 133/200 | Analysis of Vibrational Characteristics During Contact with Surfaces of Different Geometries Using Sensor-Embedded Dummy Finger
[NO] 134/200 | The Joys, Challenges, and Value of Academic Collaboration: Experiences and insights from a personal journey. [Young Professionals]
[NO] 135/200 | Design and Evaluation of A Hybrid-Actuated Floating-Based Upper-Limb Rehabilitation Robot
[NO] 136/200 | Task-Oriented Multi-Objective Optimization of a Redundant Manipulator for TBM Cutter Replacement
[NO] 137/200 | TerraGrow: a Stochastic Farming Simulation for Sustainable Agricultural Education
[NO] 138/200 | Robust Actuator LOE Fault Estimation for Quadrotor UAVs Using SVSF and Adaptive Fault Update Law
[NO] 139/200 | Zero Trust Architecture
[NO] 140/200 | PRED: Probabilistic Routing Expert Diffusion for High-Level Design of Sigma-Delta Modulators
[NO] 141/200 | Machine-Learning-Aided Screening of Heat-Network Renewal Pressure in Kazakhstan's CHP-Linked Power System during the Green-Economy Transition
[NO] 142/200 | Private Browsing Under the Microscope: Residual Artifacts in Firefox
[NO] 143/200 | Bamboo Slips Scribe Verification Based on Multi-Scale Dynamic Routing and Dual-Sparse Channel Attention
[NO] 144/200 | Road Type Prediction System Using Machine Learning Method Based on Voltage and Current Data of Steering DC Motor
[NO] 145/200 | Developing a Framework for Analysis of WPA3 and Router Attacks
[NO] 146/200 | Uncertainty-Aware Feature Selection for Vehicle-to-Grid Forecasting: Set-Membership Falsification Area as a Selection Criterion
[NO] 147/200 | XGBoost-Based Context-Aware Waiting Time Prediction from Incomplete Lifecycle Logs
[NO] 148/200 | Handwritten Answer Evaluation Using Optical Character Recognition and Deep Semantic Text Analysis
[NO] 149/200 | Mobile Agent approach to search for distributed information using fuzzy logic set
[NO] 150/200 | DC Analysis of Al
                    <sub>x</sub>
                    In
                    <sub>y</sub>
                    Ga
                    <sub>1−x−y</sub>
                    N based DDR IMPATT diode for THz Applications
[NO] 151/200 | Fault Detectability for Learning-Augmented LPV Systems
[NO] 152/200 | On-Chip Stacked Transformer in a Low-Noise Amplifier for Cryogenic Environments
[NO] 153/200 | Data-Driven Behavioral Modeling of Mutual and Self-Inductance in Wireless Power Transfer Coils
[NO] 154/200 | A Multimodal Emotion Recognition from EEG and EOG using ERP and Spectral Features
[NO] 155/200 | Reinforcement Learning-Enhanced Sliding Mode Control for Robust SCARA Robot Trajectory Tracking
[NO] 156/200 | A Study on Laser SLAM Technology and Interactive Guided Vehicle Systems in Complex Campus Environments
[NO] 157/200 | Empowering Healthcare with LaBSE and GPT-4: A New Era in Medical Question Answering
[NO] 158/200 | Optimization of Marine Propellers Efficiency Using Metaheuristics: A Comparative Study
[NO] 159/200 | Exact Fringe Capacitance Modeling via Schwarz–Christoffel Mapping: A Kirchhoff Benchmark for Parallel Plates
[NO] 160/200 | AI-Powered Anomaly Detection in Public Procurement Using NLP and Structural Analysis of Kazakh Government Contracts
[NO] 161/200 | Deep Learning for Stroke Mortality Prediction in eICU: A Dual-Tower Transformer Framework
[NO] 162/200 | LLM-GRU-GAN: a Multi-Modal Adversarial Framework for Transactional Fraud Detection
[NO] 163/200 | Stepwise Final-Approach Control for Electromagnetically Constrained Underwater Docking
[NO] 164/200 | Improvement in Cutting Performance and Surface Quality of TC18 Titanium Alloy via Ultrasonic-Assisted Vibration Peripheral Milling under Dry Cutting Conditions
[NO] 165/200 | Advanced Deep Learning Methods for Cardiovascular Disease Prediction Using Wearable Data: A Multi-Modal Fusion Approach
[YES] 166/200 | LAAS-UAV: A Lightweight Authentication and Authorization Scheme for UAV-Assisted IoT Framework
[NO] 167/200 | Digitally Integrated Modular DWS-WEDM Compound Wire-Cutting System with Active Tension Control
[NO] 168/200 | A Novel Electromagnetic Flexible Clamping Mechanism for Vascular Interventional Surgery Robot
[NO] 169/200 | Ship Collision Avoidance Behavior Extraction Based on AIS Data and Attention Mechanism
[NO] 170/200 | Development of Intelligent Methods to Enhance VPN Security: Literature review
[NO] 171/200 | Electro-Optic Modulator Control of Multi-Mode Photonic Processing Units for Optical Quantum Computing
[NO] 172/200 | Efficient Discovery of Motif Transition Process for Large-Scale Temporal Graphs
[NO] 173/200 | Fixed-Time Synchronization of Networked Neutral-Type Filippov Systems With Application to RLC Transmission Line Models
[NO] 174/200 | Fast Multilevel Domain-Decomposition Scheme in Frequency-Domain TLM Method
[NO] 175/200 | First EurAAP Small Antenna Super-Gain Challenge
[NO] 176/200 | ROPSCON: Linear BFT From Schnorr Threshold Signatures
[NO] 177/200 | A Probabilistic Framework for Early-Stage Scalability Analysis in the Software Development Life Cycle
[NO] 178/200 | HARMONY: Hybrid Aggregation and Reputation Mechanism for Cooperative Federated Survival Analysis
[NO] 179/200 | Adaptive Variational Mode Decomposition Algorithm Based on PDE Enhancement and its Application
[NO] 180/200 | Repurposing the
                    <i>Escherichia coli</i>
                    HU as a Universal dsDNA Amplicon Detection Tool
[NO] 181/200 | SPLNet: Self-Distilled Progressive Learning Network for Deformable Medical Image Registration
[NO] 182/200 | Weak Dielectrophoretic Force Measurement Using DEP-Driven Drift of a Confined Micro-Air Bubble in a Liquid-Filled Hollow-Core Fiber
[NO] 183/200 | Package Managers à la Carte: A Formal Model of Dependency Resolution
[NO] 184/200 | Title: Cybersecurity Resilience in SmartCities: A Critical Analysis of IoT Protocols
[NO] 185/200 | Scalable Quantum-Classical DFT Embedding for NISQ Molecular Simulation
[NO] 186/200 | Real-Time lidar-IMU Odometry for Wheeled Robots via 3D-to-2D Feature Projection
[NO] 187/200 | Energy-Efficient Autonomous Robot Navigation Using a BWO-Optimized Energy A-Star and Fuzzy-PID Control
[NO] 188/200 | Comparative Analysis of CNN-TDNN and CNN-LSTM Architectures for Voice Activity Detection under Low Signal-to-Noise Ratio Conditions
[NO] 189/200 | Enhancing Encrypted IoT Traffic Classification with Directional-Context and Masked Autoencoder
[NO] 190/200 | Hyperparameter Impact Evaluation on LSTM Forecasting Model for Apparent Power Consumption Monitoring in Injection Molding
[NO] 191/200 | Robust Sensorless Diagnosis of Induction-Generator Wind Energy Systems Using Online Stator-Resistance Estimation
[NO] 192/200 | Blind Deconvolution via Game-Theoretic Framework: Adaptive TV-NL and Fractional-Order Derivatives
[NO] 193/200 | Ergonomics-Oriented Optimization of Master Console Layout and Manipulator Configuration for Minimally Invasive Surgical Robots
[NO] 194/200 | An Energy-efficient TSO dual-V
                    <sub>dd</sub>
                    22 nm 8T MSD XOR Gate for Gray-to-Binary Encoder Design
[NO] 195/200 | Vision-Based Predictive Control for Dual-Arm Nonprehensile Transportation
[NO] 196/200 | Incremental Learning Method for Intelligent Identification of Asphalt Pavement Distress Based on YOLOv11
[NO] 197/200 | Integrated Multi-Layer Cyber-Physical Defense for Resource-Constrained Quadruped Robots
[NO] 198/200 | A Review of Data-Driven Co-Speech Gesture Generation: Methods, Datasets, and Challenges
[NO] 199/200 | Design and Real-Time Implementation of an Autonomous Indoor Navigation System for Service Robots
[NO] 200/200 | Adapting Monocular 3D Object Detectors to Fisheye Images
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-08-17.json。
邮件发送成功！
[2026-08-18 10:15:12] 任务执行成功！
