[2026-08-28 20:35:19] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-27
正在获取论文...
[arXiv] 2026-08-27 | Bochner Stability for B-stable DIRK Schemes
[NO] 66/200 | Hierarchical Channel Stacking: A Structured Decision Framework for AI-Generated Image Detection
[NO] 67/200 | Quadratic Convexification of a Square Truncated by a Hyperbola
[NO] 68/200 | Which Metrics Save the Most Human Annotation? Prediction-Powered Evaluation and Meta-Evaluation
[NO] 69/200 | Z-Fold Wing Aeroelasticity: Compositional Modeling, 1:2 Double-Hopf Dynamics, and Nonlinear Stiffness Effects
[NO] 70/200 | Lower bound on the thickness of broadband dielectric mirrors
[NO] 71/200 | Open Problems in Mathematical Logic
[NO] 72/200 | Relaxation-Aware Multimodal Sensing of Soft Gripper Driven by Structure-Perception-Learning
[NO] 73/200 | When dissipative steady states admit thermodynamic occupation laws
[NO] 74/200 | Influence of twist direction and large deformation on soft material torsional contact
[NO] 75/200 | FU-Mamba: A Frequency-Enhanced Dynamic Scanning Framework for Oralscan Image Segmentation
[NO] 76/200 | Analyzing Within-Subject Experiments: Identification, Testing, and Sensitivity
[NO] 77/200 | Faster FPRAS for the Permanent via Restricted Poincaré Inequalities and Coupled Flows
[NO] 78/200 | Kawamata--Miyaoka type inequality for weak Fano varieties
[NO] 79/200 | SimCast-S2S: An Efficient Generative Model for Subseasonal Precipitation Forecasting via Transfer Learning from Climate Simulations
[NO] 80/200 | DPA-I2P: Depth-Guided Projective Alignment for Image-to-Point-Cloud Registration in Autonomous Driving
[NO] 81/200 | J-Zero: Unified Challenger--Solver--Judge Co-Evolution from Zero Data
[NO] 82/200 | Atomic investigations on the mechanical properties of CoCrNi medium-entropy alloy nanowires
[NO] 83/200 | Optimizing API Gateway Placement in Multi-Cloud Kubernetes
[NO] 84/200 | Geometric $K$-homology and operator $K$-theory for Hilbert manifolds
[NO] 85/200 | A Unified Adaptive Enrichment Design for Power Enhancement
[NO] 86/200 | Physics-Informed Stochastic Configuration Machine: A Backpropagation-Free Neural Network with Fast Training for Nonlinear Differential Equations
[NO] 87/200 | Chart2SVG: Editable SVG Generation from Raster Chart Images
[NO] 88/200 | Posterior consistency for subdiffusion inverse problems
[NO] 89/200 | Multi2AV-Safety: Benchmarking Safety in Multimodal-to-Audio-Video Generation
[NO] 90/200 | FAN-LoRA: A Fourier-Adaptive Nonlinear Low-Rank Adaptor for Medical Foundation Model Domain Adaptation
[NO] 91/200 | Background Intensity Estimation for Cassini-ISS Image Using Deep Learning-Based Diffusion Model
[NO] 92/200 | Volume Growth and Recurrence of Fractional Powers of the Laplace--Beltrami Operator
[NO] 93/200 | Regularity for convex viscosity solutions of $σ_3$ equation
[NO] 94/200 | Explicit Bounds on the Entropy of Piecewise Hölder Graphon Models
[NO] 95/200 | Learning Woody Clearing With Loss Alignment for Zero-Shot Regrowth and Woody Segmentation
[NO] 96/200 | Production Scheduling Identification: An Inverse Optimization Approach for Industrial Load Modeling Using Smart Meter Data
[NO] 97/200 | Microstructure evolution as a game
[NO] 98/200 | Zero-Shot Video Restoration and Enhancement with Text-to-Image Latent Diffusion Models and Multi-Modal References
[NO] 99/200 | Power and Sample Size Calculations for Hybrid Controlled Trials
[NO] 100/200 | Benchmarking of Fast and Interpretable UF Machine Learning Potentials
[NO] 101/200 | Suppression of Stray Radiation in Five-Axis Rotary Table CATR System
[NO] 102/200 | CBAM-StrokeNet: Lightweight CBAM-MobileNet Family for Multi-Class Real-Time Brain Stroke Classification from CT Images
[NO] 103/200 | Research on Defect Identification and Intelligent Diagnosis of Power Equipment Based on Knowledge Graph
[NO] 104/200 | NetCAS: Dynamic Cache and Backend Device Management in Networked Environments
[NO] 105/200 | Ontology as Distributed Coordination Infrastructure for the Circular Economy
[NO] 106/200 | A Multi-View Deep Learning Framework for Device-Free Human Gait Identification Using ESP32 WiFi CSI
[NO] 107/200 | Numerical Analysis of MoO
                    <sub>3</sub>
                    -Integrated RbGeI
                    <sub>3</sub>
                    Perovskite Solar Cell
[NO] 108/200 | Dual-Loop PID Control Method for Front-End Hydraulic Speed Regulation Based on Frequency Domain Theory
[NO] 109/200 | Human-Cognitive Buildings Interaction through Smart Gloves
[NO] 110/200 | Research on Deep Optimization of Cogeneration of Heat and Power in Steam Turbines Based on Low-Pressure Exhaust Heat Utilization
[NO] 111/200 | Quantized TabM: A Resource-Efficient Framework for Adverse Glycemic Event Forecasting
[NO] 112/200 | Design of a Real-Time Image Processing and Robotic Arm Vision Guidance System Based on the Cyclone IV E FPGA
[NO] 113/200 | An Enhanced Multi-Slice Field–Circuit Coupling Method Incorporating Capacitive Effects for Fast Transient Analysis of GIL
[NO] 114/200 | Performance Evaluation of Low-Power Wireless Networks for Indoor Localization
[NO] 115/200 | Reliable Unreliability in Edge Deployments
[NO] 116/200 | Energy-optimal control considering thermal effects of UAV motors
[NO] 117/200 | An Energy-Storage Investment Risk Quantification Method Based on a t-Copula and Conditional Value-at-Risk
[NO] 118/200 | Nonsingular Prescribed-Time Bipartite Consensus of Multi-Agent Systems with Actuator Faults
[NO] 119/200 | Edge-Enabled UAV Anomaly Detection Using Multimodal Sensor Fusion and Lightweight Embedded Machine Learning
[NO] 120/200 | Towards Self-Adaptive Embryonic Systems
[NO] 121/200 | Compressive Toeplitz Covariance Estimation From Few-Bit Quantized Measurements With Applications to DOA Estimation_supp1-3727446.pdf
[NO] 122/200 | Graph-Aware Prompting Network for Generalizable Depth Super-Resolution_supp1-3726357.pdf
[NO] 123/200 | Authors Index
[NO] 124/200 | Optimizing Differential Privacy in Federated Analytics under Known Input Distributions
[NO] 125/200 | Edge-Based Multimodal Driver Monitoring System on Raspberry Pi
[NO] 126/200 | MOF-Enhanced Triboelectric Nanogenerators as Advanced Self-Powered Sensors: Physics-Informed Cross-Modal Fusion for Rotating Machinery Fault Diagnosis
[NO] 127/200 | DeepCNN–LSTM: A Hybrid Deep Learning Framework for Stress Detection Using Wearable Physiological Signals
[NO] 128/200 | Conditional Adversarial Residual Training for Cloud Removal and High-Fidelity Image Reconstruction in Satellite IoT-Based Coastal Monitoring
[NO] 129/200 | A Dynamic Configuration Method for 3GPP Terrestrial Broadcast SFNs Based on Coordinated Interference Prediction
[NO] 130/200 | An Advanced Modulating Signal-Based PWM Strategy for Three-Phase Voltage Source Inverters with Scalar Control for Induction Motor Drives
[NO] 131/200 | ERD-ResNet: A Multi-Scale Deep Learning Framework for Wrist Fracture Classification from X-Ray Images
[NO] 132/200 | Coded Redundancy for Reducing Task Average Latency in Distributed Stream Processing Systems
[NO] 133/200 | IoT-Based Smart Gas Leakage Detection and Emergency Response System for Residential Safety
[NO] 134/200 | A Multi-Study Evaluation into Generative Artificial Intelligence for Test-Driven Development
[NO] 135/200 | Virtual Space Switching: Fast Mobility Handoffs for Situated Intelligence
[NO] 136/200 | Evaluating the Effectiveness of Community-Based Digital Literacy Programs on Digital Skills, Empowerment, and Governance Outcomes
[NO] 137/200 | SA AMING TAHANAN (In Our Home): A Digital Storybook on Open Communication in Parent-Child Interactions for 2
                    <sup>nd</sup>
                    Grade Elementary Students
[NO] 138/200 | Developing Nanosecond High-Voltage Pulser Testing Capabilities at LANSCE
[NO] 139/200 | Dual-Weight Optimized Anisotropic Kriging Compensation for Industrial Robots in Heterogeneous Error Fields with Drilling Verification
[NO] 140/200 | Design of an Extensible Central Backbone for Stiffness-Shifting in Soft Robotic Arms_supp1-3728346.mp4
[NO] 141/200 | A$^{3}$S-Net: An Adaptive State-Space Framework for Resource-Efficient EEG-Based Cognitive State Monitoring in Industrial Human–Machine Interaction
[NO] 142/200 | Synergistic Enhancement of Insulation and Mechanical Properties of Epoxy Resin for GIS/GIL Modified by Polyurethane Prepolymer - Part II: Curing Process Optimization
[NO] 143/200 | Toward Deployable Low-Altitude Economy Networks: A Multi-Layer Architecture with Reinforcement Learning Enablers
[YES] 144/200 | Subband Precoding Optimization in OFDM–RSMA
[NO] 145/200 | IEEE Consumer Technology Society Officers and Committee Chairs
[NO] 146/200 | A Novel Multimodal Quadrotor With Integrated Collision Tolerance via Active Contact-Based Velocity Adjustment
[NO] 147/200 | A Pixel-Based FAS with 6-bit Reconfigurability Deployed at Both Transmitter and Receiver for Interference Mitigation
[NO] 148/200 | Error-Guided Artifact Spotting and High-Frequency Detail Learning for AI-Generated Image Detection
[NO] 149/200 | Analysis and Damping Mitigation of Outer-Loop Coupling Effects in Grid-Following Inverters Under Weak Grids
[NO] 150/200 | Preserving Fairness in Knowledge Transfer for Exemplar-Free Class-Incremental Learning via Semantic Propagation
[NO] 151/200 | Accurate Modeling of Relativistic Klystrons by Tesla-Family of 2.5D Largesignal Codes
[NO] 152/200 | High Current Density, Laser-Etched, Metal Cathode Designs for Pulsed Electron Beam Sources
[NO] 153/200 | Multi-Modal Strategies for Tuning Plasma Processing in RF-Pecvd System for High-Performance Electrodes Fabrication
[NO] 154/200 | Analysis of Thermal Stability of Power Electronic Modules in Cold Start Mode
[NO] 155/200 | Recent Progress Towards Kinetic Plasma Simulation Capabilities in the MOOSE Framework
[NO] 156/200 | Half Title Page
[NO] 157/200 | Vehicle Counting of Transportation Movement In and Outflow within Bandung City Using YOLOv11
[NO] 158/200 | Hidden in Plain Sight: A Robust Generative Model for Secure Medical Data Sharing
[NO] 159/200 | The Supersonic EXB Rotating Plasma Experiment (SERPENT)
[NO] 160/200 | Consequence Learning for Trajectory Planning in Autonomous Driving
[NO] 161/200 | A Preliminary Usability and Pedagogical Evaluation of GesturBee: A Gamified Filipino Sign Language Learning Application with AI-Powered Real-Time Sign Practice and Feedback
[NO] 162/200 | Fostering Creative Flexibility through Multi-Modal Exploration: An e-Learning Pedagogical Strategy Embedding Computational Thinking in Science Education
[NO] 163/200 | Platform Development for X-Pinch-Based X-Ray Radiography of Shock Propagation through a Foam on the MAIZE Pulsed Power Facility*
[NO] 164/200 | Spatial and Temporal Measurement of Plasma Density and Temperature in Hypervelocity Impact Induced Plasma Using Triple Langmuir Probes
[NO] 165/200 | Encoding Research Problem Statements as Relational Structures: A Case Study in Ocean Science
[YES] 166/200 | BeamGuard: Risk-Aware Multimodal Beam Forecasting and Adaptive Virtual Beamwidth Control for 6G mmWave V2I Links
[NO] 167/200 | Dynamics of Pre-Pulsed Metal Foil Mass-Limited Laser-Produced Plasmas
[NO] 168/200 | Three-Level Step-Down Active Front-End Converter for Renewable Energy and Grid-Tied Systems
[NO] 169/200 | Towards Discrete and Verifiable Physiology Modeling for Medical Cyber-Physical Systems
[NO] 170/200 | A Neural Network for Identification and Characterization of Plasma Signatures Generated by Simulated Orbital Debris
[NO] 171/200 | AquaScan-1K: Paving the Way to Robust Object Detection in Side-Scan Sonar
[NO] 172/200 | Paging-Resilient Prefetching in Flash-Based CXL SSDs
[NO] 173/200 | Grammar and Writing Choices: Rethinking Consent and Instructional Texts for Autonomy and Accessibility in Digital Education
[NO] 174/200 | Increasing the Energy Efficiency of Electric Discharge Low-Frequency Hydroacoustic Emitters
[NO] 175/200 | Edufiable: An Interoperable Multi-Wallet Framework for Higher Education Credentials on EBSI
[NO] 176/200 | Torque-Induced Rotation and Orientation of Irregular Dust Aggregates in Electric and Magnetic Fields
[NO] 177/200 | Neutral Ingestion Impacts on Gridded Ion Engine Performance Characteristics
[NO] 178/200 | Drivers and Barriers to Consumer Adoption of AI-Enabled Robot Vacuum Cleaners
[NO] 179/200 | Plasma Activated Water Produced by a Multi Electrode Gliding ARC System for Seed Germination and Plant Growth Enhancement of Akabare Chili (Capsicum Annuum)
[NO] 180/200 | UX Analysis of Sustainability in E-Commerce Applications Using the Honeycomb and Heuristic Evaluation Method
[NO] 181/200 | CTGAN for Privacy-Preserving on LSTM Models in Elderly Fall Detection
[NO] 182/200 | Hierarchical Proximal Policy Optimization for Wide-Area Damping Control of Inter-Area Oscillations in Power Systems with DFIG Wind Integration
[NO] 183/200 | Spatial Distribution of Aedes aegypti in Bandung City: GIS Analysis with Moran's I, LISA, and Climatic Overlay Techniques
[NO] 184/200 | Ocean Sound Speed Profile Estimation Using Pulse-Echo Delay Fitting
                    <sup>*</sup>
[NO] 185/200 | Does Watching Entrepreneurial Videos on Social Media Drive e-Learning? An EdTech Perspective on Digital Entrepreneurial Competency Development
[NO] 186/200 | Electron Magnetization Effects on the Growth of Carbonaceous Nano Dusty Plasma
[NO] 187/200 | IEEE Transactions on Electron Devices Table of Contents
[NO] 188/200 | Exact Closed-Form Performance Analysis of Quantile Regression CFAR Detectors
[NO] 189/200 | The Effect of X-ray Irradiation on the Electrical Characteristics and Microstructural Features of HVDC GIL/GIS Insulators
[NO] 190/200 | Blockchain Adoption to Combat Counterfeits in Tourist Attractions Considering Spillover Effects_supp1-3722334.docx
[NO] 191/200 | IEEE Communications Magazine
[NO] 192/200 | 2026 9th International Conference on Electronics Technology (ICET)
[NO] 193/200 | The Throughput Gain of Hypercycle-level Resource Reservation for Time-Triggered Communication_supp1-3727381.pdf
[NO] 194/200 | CLOUD 2026 Organizers
[NO] 195/200 | A Composable Game-Theoretic Framework for Blockchains
[NO] 196/200 | (POSTER) VarDiag: Precise Fault Localization for Resource-Constrained IoT Sensor Nodes
[NO] 197/200 | Quantum Machine Learning versus Machine Learning for Intrusion Detection in 5G Environments
[NO] 198/200 | Logical-to-Physical Compilation for Reducing Depth in Distributed Quantum Systems
[NO] 199/200 | Dynamic Pipeline Inference Optimization for LLMs: Load-Aware Partitioning, Updating, and Migration
[NO] 200/200 | Research on Coordinated Control of Load-bearing Gait of Firefighter Lower Limb Exoskeleton Based on Fuzzy PID
筛选完成：共 200 篇；Yes = 2 篇；已保存到 papers/select_paper2026-08-27.json。
邮件发送成功！
[2026-08-28 21:12:06] 任务执行成功！
