[2026-03-27 09:48:52] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-26
正在获取论文...
[arXiv] 2026-03-26 | VideoTIR: Accurate Understanding for Long Videos with Efficient Tool-Integrated Reasoning
[NO] 82/200 | Microscopic nature of $4a_0\times4a_0$ plaquettes in stripe LDOS and $2a_0$ shift
[NO] 83/200 | FluxEDA: A Unified Execution Infrastructure for Stateful Agentic EDA
[NO] 84/200 | Highly Efficient Rank-Adaptive Sweep-based SI-DSA for the Radiative Transfer Equation via Mild Space Augmentation
[NO] 85/200 | Gap Safe Screening Rules for Fast Training of Robust Support Vector Machines under Feature Noise
[NO] 86/200 | Beyond Benchmarks: How Users Evaluate AI Chat Assistants
[NO] 87/200 | SDD-YOLO: A Small-Target Detection Framework for Ground-to-Air Anti-UAV Surveillance with Edge-Efficient Deployment
[NO] 88/200 | Absolute convergence and Taylor expansion in web based models of Linear Logic
[NO] 89/200 | Self-energy corrections to the ionization energies in sodium-like ions: comparison of the \textit{ab initio} QED and model-QED-operator approaches
[NO] 90/200 | On Port-Hamiltonian Formulation of HystereticEnergy Storage Elements: The Backlash Case
[NO] 91/200 | Enabling Homomorphic Analytical Operations on Compressed Scientific Data with Multi-stage Decompression
[NO] 92/200 | Classification of interfacial water governed by water-polymer interactions in hydrated polymers: A molecular dynamics simulation study of ethylene-based and acrylate polymers
[NO] 93/200 | The Competence Shadow: Theory and Bounds of AI Assistance in Safety Engineering
[NO] 94/200 | Decoding the Electronic and Structural Fingerprints of Single-Atom Catalysts via DFT-Assisted XANES Analysis
[NO] 95/200 | Vision Hopfield Memory Networks
[NO] 96/200 | Temporal Focusing Enables Distortion-Resistant high-intensity Spatiotemporal Optical Vortices
[NO] 97/200 | Banach and counting measures, and dynamics of singular quantum states generated by averaging of operator random walks
[NO] 98/200 | A note on Boolean inverse monoids and ample groupoids
[NO] 99/200 | Dissimilarity-Based Persistent Coverage Control of Multi-Robot Systems for Improving Solar Irradiance Prediction Accuracy in Solar Thermal Power Plants
[NO] 100/200 | Real-variable theory of matrix-weighted multi-parameter Besov--Triebel--Lizorkin-type spaces
[NO] 101/200 | Operationalizing Security Best Practices for IEC 61850-Based SCADA: A Checklist and Lessons Learned from Lab Measurements
[NO] 102/200 | What do I Know about AI Beyond Everyday Knowledge?
[NO] 103/200 | Carbon Footprint Efficiency Ratio: A Unified Indicator for Green Evaluation of Evolutionary Algorithms
[NO] 104/200 | Instance-Conditioned Adaptation for Large-Scale Generalization of Neural Routing Solver
[NO] 105/200 | Optimal Experimental Design for Fuel Cell Model Parameter Identification
[NO] 106/200 | Flying Vehicle Detection Under Complex Conditions With RGB–Infrared Imagery: A Large-Scale Open-Source Suite and Benchmark Approach
[NO] 107/200 | On the Importance of Tactile Sensing for Imitation Learning: A Case Study on Robotic Match Lighting_supp1-3677716.mp4
[NO] 108/200 | Sampling Augmented Bilevel Trajectory Optimization for Constrained Quadrotor Flights_supp1-3677754.mp4
[NO] 109/200 | Efficient Cluster-Based Knowledge Distillation for Deep Face Recognition
[NO] 110/200 | Table of Contents
[NO] 111/200 | Sponsor
[NO] 112/200 | Automated Incident Management using Infrastructure-as-Code
[NO] 113/200 | Black-start Restoration Within the Data-Center-Integrated Power System Based on Distributed Optimization
[NO] 114/200 | ICIIS 2026 Contributor Page
[NO] 115/200 | A Digital Compressed Sensing Framework with Optimized Measurement, Quantization, and Sparse Recovery for IoT-Enabled Wearable Edge ECG Health Monitoring Devices
[NO] 116/200 | Preface
[NO] 117/200 | AGERS 2025 Cover Page
[NO] 118/200 | AGERS 2025 Editorial Note
[NO] 119/200 | Progress in the Application of Optical Fiber in Quench Detection on CFETR CSMC
[NO] 120/200 | Codeword-Based Auto-Correlation Receiver for Ultrasonic Time-Code-Indexed Modulation Systems
[NO] 121/200 | Detection and Prediction of Insider Threats: A Survay
[NO] 122/200 | Adversarial Post-Action Attacks on Dueling Bandits
[YES] 123/200 | Hardware Distortion Aware Precoding for ISAC Systems
[NO] 124/200 | Benign vs. Malignant Lung Tumor Classification Using a CNN-SVM Hybrid Approach
[NO] 125/200 | Dual-Path Attention-Guided E-Waste Classification using Swin Transformer and Graph Convolutional Networks
[NO] 126/200 | Integrating Deep Learning-Based Object Detection Into Assistive Systems for Dynamic Accessibility Challenges
[NO] 127/200 | Multimodal Identification of Deepfake Media
[NO] 128/200 | Enhancing Intrusion Detection with Transformer Models: A Self-Attention Approach for Log-Based Cyber Threat Analysis
[NO] 129/200 | Automated Arthritis Detection from X-Ray Images Using Efficientnet B3 and Image Processing
[NO] 130/200 | Real-time On-device Inference for ECG Classification of Ventricular Dysfunction
[NO] 131/200 | Discovering Sparse Recovery Algorithms Using Neural Architecture Search
[NO] 132/200 | Email marketing campaign optimization using multi arm bandits
[NO] 133/200 | Uncovering Hidden Trends and Reducing Forecast Bias with Machine Learning Models in Retail Operations
[NO] 134/200 | NPX: Automating Neuromorphic Processor Design from Spike-Based Learning to FPGA Prototyping
[NO] 135/200 | Parasitic antenna positioning for enhanced planar array performance
[NO] 136/200 | Optimizing Oil Palm Plantation Monitoring Using YOLOv8 and YOLOv12: Detection, Counting, and Multiclass
[NO] 137/200 | Optimizing Prompt Engineering for Large Language Model-Based AI Systems
[NO] 138/200 | Design and Analysis of CNTFET based INDEP 8T-Boosted Radiation Hardened SRAM Cell for Aerospace Applications
[NO] 139/200 | Smart Voting System with Face Recognition, OTP Verification, and National ID Integration: A Secure and Accessible Approach to Modern Elections
[NO] 140/200 | Smart Attendance Framework Using RFID and Fingerprint-Based Dual Authentication with Real-Time Email Notifications
[NO] 141/200 | Toward algorithmic workflows for passive correlation-based radar imaging
[NO] 142/200 | Fuzzy Technique for Active Power Flow Control in Grid-Connected Converters in Unbalanced Environments
[NO] 143/200 | A Novel Hybrid Conical-Linear Laser Registration Method for Mixed Reality Navigation
[NO] 144/200 | AI-Based Framework for Signal Integrity Analysis and Design Optimization in High-Speed Systems
[NO] 145/200 | Deep Learning for Multi-Tag Ambient Backscatter Communications
[NO] 146/200 | SightBySound: Real-Time Sonification of Stereo Depth Maps Using Hilbert Curves for Assistive Navigation Supported by a Virtual Training Environment
[NO] 147/200 | Aspect-Based Sentiment Analysis for Arabic Business Insights with Generative Language Models
[NO] 148/200 | Optimising Battery Energy Storage Systems for Wind Power: A Multi-Objective Approach Balancing Grid Stability and Battery Lifespan
[NO] 149/200 | AIrtist: VR Framework for Interactive Engagement via Stroke-Based Neural Rendering
[NO] 150/200 | Smart Home Technology Usage Among Aging and Midlife American Populations: A Systematic Literature Review
[YES] 151/200 | Optimization of Waveform and Wavefront for Sub-Terahertz Communications Systems
[NO] 152/200 | Accelerated Alternating Optimization of MIMO Transceivers
[NO] 153/200 | Power-Aware Streaming Scan Network Implementation for Improved Test Coverage and IR Drop Mitigation
[NO] 154/200 | Green Cure- Detection and prediction of agricultural plant leaf diseases
[NO] 155/200 | Quantile Randomized Kaczmarz with Time-Varying Noise in Signal
[NO] 156/200 | AutoHub: A Comprehensive Platform for Vehicle Management, Assistance, and Health Monitoring
[NO] 157/200 | Towards Augmented Reality Authoring Tools That Ensure Cognitive Accessibility of Instructions
[NO] 158/200 | Too Positive to Be True? Sentiment Analysis of AI-Guided vs. Human-Led Debriefings in Virtual Reality Counseling Training
[NO] 159/200 | A Hardware-Optimized and Secure Variant of the Lightweight Encryption Algorithm for IoT Applications
[NO] 160/200 | Nuclear Power Project Construction Resource Allocation Model Based on Multi-Objective Optimization Algorithm
[NO] 161/200 | Exploring Digital Logic Design through Quantumdot Cellular Automata Modelling and Analysis
[NO] 162/200 | Privacy-Preserving Federated Learning with Low-Cost Secure Aggregation for IoT Devices
[YES] 163/200 | J-Band Communication System considering the Near-to-far field Transitions - An Experimental Approach
[NO] 164/200 | Accelerated Generative Multi-Agent Q-Learning for Wireless Networks
[NO] 165/200 | Research on Scaled and Flexible Resource P2P Transactions Based on ADMM
[NO] 166/200 | Hybrid EfficientNet–BiLSTM Model for Psoriasis Classification
[NO] 167/200 | Performance and Power Quality Improvement of Standalone PV Systems: An Approach Using CNN-MPPT and Output Filtering
[NO] 168/200 | Multi-View Fusion Transient Stability Assessment Algorithm Based on Transfer Learning
[NO] 169/200 | Accuracy Improvement of CO2 Gas Sensor using Neural Network for Remote Sensing Application
[NO] 170/200 | Predictive Modeling Approach for Risk Classification of Cervical Cancer
[NO] 171/200 | Evaluation of AI Methods in Real-World Cloud Environments
[NO] 172/200 | Out-of-Distribution Detection via Uncertainty Quantification in Diffusion Models
[NO] 173/200 | ReSage AI: An AI-Enhanced Resume Screening Framework with Intelligent Content Scoring and Suggestive Feedback Mechanism
[NO] 174/200 | AI-Driven Observability for Real-Time Incident Management
[NO] 175/200 | Design and Analysis of a Wideband Inverse Dual C-Slot Microstrip Antenna for 5G, WiMAX, WLAN, and Wi-Fi 6E Bands
[NO] 176/200 | CDAF-Net: Fusing Unpaired and Imbalanced Multi-Modal Data for Ocular Disease Classification
[NO] 177/200 | Predicting Customer Churn in Streaming Services Using Decision Tree Algorithms
[NO] 178/200 | State of Charge Distribution Estimation in Lithium-ion Battery Using Ultrasonic Scanning and GWO-MLP Model
[NO] 179/200 | Environment-Aware Intention Generation in Robots via Multistage Perception and Language Reasoning
[NO] 180/200 | Multi-Task Hybrid Deep Learning with Cross-Domain Alignment for Real-Time Sentiment Analysis in Clinical Decision Support Systems
[NO] 181/200 | AXECC: Benchmarking the Privacy and Accessibility Impact of Browser Extensions
[NO] 182/200 | Bridging the Age Gap: Do Privacy Literacy, Self-efficacy, and Concerns Explain the Effects of Age on Privacy Decisions?
[NO] 183/200 | Enhancing Building Change Detection in ChangeFormer by Integrating Deformable Attention Transformer
[NO] 184/200 | An Analysis of the Human Ability to Detect Deepfakes With Geopolitical Content
[NO] 185/200 | Few-Shot Medical Image Segmentation With Hierarchical Hypercorrelation Vision State-Space Model
[NO] 186/200 | Women in Engineering
[NO] 187/200 | Lightweight Learning from Actuation-Space Demonstrations via Flow Matching for Whole-Body Soft Robotic Grasping
[NO] 188/200 | A Planning-Oriented Autonomous Driving Framework: From Image to Trajectory With Intent-Aware Prediction
[NO] 189/200 | A Simulation Platform for MARL Training and Evaluation in Swarm Confrontation_supp1-3677714.pdf
[NO] 190/200 | Model-Driven Engineering
[YES] 191/200 | RISCAM: A 576-Element 2-D Scalable Reconfigurable Intelligent Surface With Multibeam RF Camera at X-Band for ISAC
[NO] 192/200 | A Novel Vector Control Integrated for Grid-Connected Kite-Based Airborne Wind Energy Conversion
[NO] 193/200 | Toward Generalizable Forgery Detection and Reasoning
[NO] 194/200 | Corrections to “Ultra-Wideband Tightly Coupled Dipole Array Fed by a Tapering Meandered Balun”
[NO] 195/200 | Half Title Page
[NO] 196/200 | Committees and Conference Speakers
[NO] 197/200 | Student Paper Contest Finalists
[NO] 198/200 | Dynamic Impedance-Aligned Phase Angle Compensation for Targeted Harmonic Mitigation in PMSM Drives
[NO] 199/200 | A Novel Piezoelectric-Driven Small Bionic Underwater Robot_supp3-3672852.mp4
[NO] 200/200 | Rapid Assessment of Earthquake-Induced Building Damage Using Optical Image Correlation
筛选完成：共 200 篇；Yes = 8 篇；已保存到 papers/select_paper2026-03-26.json。
邮件发送成功！
[2026-03-27 10:19:30] 任务执行成功！
