[2026-01-03 09:09:53] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-02
正在获取论文...
[IEEE] 2026-1-2 | Author Papers Index ENC 2025
[ACM] 2026-1-2 | Session Summary Podcast: Session 3: Paper Session C - General Computing Education &amp; Pedagogy
[ACM] 2026-1-2 | Session Summary Podcast: Session 14: Paper Session N - General Computing Education &amp; Pedag
[IEEE] 2026-1-2 | Optimized Scheduling and Resource Allocation in 4G/5G Carrier Aggregation Network Deployments
[IEEE] 2026-1-2 | Half-Power Beamwidth Evaluation of Uniform Linear Arrays in Multi-User MIMO Systems
[IEEE] 2026-1-2 | Influence of RTV Coating Thickness on Electric Field Intensity Values in the Vicinity of Overhead Transmission Line Conductors
[IEEE] 2026-1-2 | AI-Driven Real-Time Detection and Mitigation of Cyber-Intrusions in Grid-Forming Inverters
[IEEE] 2026-1-2 | Optimization of IT Services Using Cloud Platforms with AI-Based Intelligent Resource Management
[IEEE] 2026-1-2 | Decarbonization of Cement Sector: A MACC Analysis with Few Insights from the UAE
[IEEE] 2026-1-2 | Design and Evaluation of an Autonomous Vehicle-to-Vehicle Wireless Charging System
[IEEE] 2026-1-2 | CBPF: Efficient Packet Filtering Algorithm using Cascading Bloom Filter in Software Defined Networks
[IEEE] 2026-1-2 | Real World Traffic Simulators’ Integration with Network Simulator for Evaluating 5G and beyond V2X Networks
[IEEE] 2026-1-2 | Effectiveness of Eye Shields During Kendo Strikes
[IEEE] 2026-1-2 | Causal Behaviour Models for Network Digital Twin in Autonomous Networks
[ACM] 2026-1-2 | AR-Based Interface for Semi-Autonomous Para-Operated Dialogue Robot
[ACM] 2026-1-2 | Exploring the Role of Co-Speech Gestures: An In-the-Wild Study with a Virtual Agent in a Museum
[ACM] 2026-1-2 | Research on the Impact of Enterprise Digital Transformation on Enterprise Value
[ACM] 2026-1-2 | The Impact of Government Health Spending on Household Consumption: An AI-Driven Empirical Study
[IEEE] 2026-1-2 | Implicit Neural Compression of Point Clouds_supp1-3648141.pdf
[IEEE] 2026-1-2 | Learning Time-Varying Graph Signals via Koopman
[IEEE] 2026-1-2 | Dynamics of -Learning in Networked Stochastic Games_supp1-3641365.pdf
[IEEE] 2026-1-2 | Power-Grid Reactive-Aware Billing for EV Chargers
[IEEE] 2026-1-2 | Lead Poisoning From Non-FDA Regulated Hemorrhoid Cream
[IEEE] 2026-1-2 | The Dominated Chromatic Number of Certain Ladder Graph
[IEEE] 2026-1-2 | Crack Segmentation with Covariate Shift Adaptation for Multi-Resolution Images
[IEEE] 2026-1-2 | Temporal Feature-Guided Latent Diffusion Network for Generating Future Low-Dose CT Images in Early Cancer Monitoring
[IEEE] 2026-1-2 | Reactive arthritis following enterococcus urinary tract infection : A rare clinical presentation and diagnostic considerations
[IEEE] 2026-1-2 | Multimodal Gesture and Speech-Based Interaction Interfaces for AI-Driven Mobile Robots in Smart Homes
[IEEE] 2026-1-2 | An Arduino UNO-Based Open Hardware Gain-Adjustable Optical Power Meter
[IEEE] 2026-1-2 | Resilient Autonomy: A Research Survey on Fault-Tolerance in Heterogeneous Architectures for Autonomous Vehicles
[IEEE] 2026-1-2 | AI-Enhanced Fuzzy Predictive Energy Management System
[IEEE] 2026-1-2 | Classification of Baleen Whale Social Calls Using Convolutional Neural Networks and Melspectrograms
[IEEE] 2026-1-2 | Energy Management in Customized Microgrid: A Comparative Analysis of Reinforcement Learning Approaches
[IEEE] 2026-1-2 | The Impact of Renewable Energy on the Power Grid Restoration Process After Natural Disasters
[IEEE] 2026-1-2 | Detection and Recognition of UAVs by Using Deep Learning Techniques
[IEEE] 2026-1-2 | Non-Uniform $k$-Connectivity for Energy-Efficient and Reliable Underwater Wireless Sensor Networks
[IEEE] 2026-1-2 | Toward State Estimation Algorithms in Cooperative Positioning: A Comprehensive Framework Design and Its Realization_supp3-3645051.mp4
[IEEE] 2026-1-2 | Transformer Architectures for Distracted Driving Behavior Detection: A Comprehensive Review of Vision-Based Approaches
[IEEE] 2026-1-2 | A Generalizable Channel-Resilient Algorithm in Radio Frequency Fingerprint Identification
[IEEE] 2026-1-2 | An HCAI Methodological Framework: Putting it Into Action to Enable Human-Centered AI_supp1-3631590.pdf
[ACM] 2026-1-2 | Session Summary Podcast: Session 3: Empathy and Cognition
[ACM] 2026-1-2 | Session Summary Podcast: Session 35: Applications: Biological Modeling
[ACM] 2026-1-2 | Session Summary Podcast: Session 16: Programming Frameworks
[ACM] 2026-1-2 | Thumbs up or Pointing? Guiding a Delivery Drone under Uncertainty in Public Space
[ACM] 2026-1-2 | Personality Trait Analysis System Using Dialogue Simulation with Autonomous Agents
[ACM] 2026-1-2 | Lost in the Story: The Impact of Narrative with a Direction-Giving Robot
[ACM] 2026-1-2 | The Impact of China's New Environmental Protection Law on Firm-Level Capital Expenditure
[ACM] 2026-1-2 | Research on the coupling and coordinated development of new quality productivity and carbon emission efficiency and influencing factors
[IEEE] 2026-1-2 | Review for "Seasonal Variability of Sea Ice Bulk Density During the MOSAiC Expedition: Results from Synergistic In-Situ, Airborne, and Satellite Observations"
[IEEE] 2026-1-2 | Simulation of Flash Memory Architecture Using VHDL in Xilinx ISE
[IEEE] 2026-1-2 | Mechanical Evaluation of 3D-Printed Hand Prosthesis Joints
[IEEE] 2026-1-2 | Solar Power Forecasting Using Modified Particle Swarm Optimization and Long Short-Term Memory
[IEEE] 2026-1-2 | Probabilistic RANSAC with Laplacian-Softmax Weighting for Sparse Image Reconstruction
[IEEE] 2026-1-2 | XGBoost Session-Level Energy Demand Prediction for EV Charging Stations Using Behavioral and Contextual Data
[IEEE] 2026-1-2 | Machine Learning Model for Cyber Security Attack Detection in Smart Grid Network
[IEEE] 2026-1-2 | Embedded Fuzzy Logic Controller for a Pneumatic Levitation System
[IEEE] 2026-1-2 | TinyML Unleashed: Accelerating TensorFlow Lite Micro Kernels with RISC-V Vector Extension
[IEEE] 2026-1-2 | Design and Simulation of Grid-Connected Vertical Axis Wind Turbines for Roadside Energy Harvesting from Vehicle-Induced Airflow
[IEEE] 2026-1-2 | Robust $\mathrm{L}_{1}$ Control of Uncertain IBRs in Dynamic Virtual Power Plants
[IEEE] 2026-1-2 | A Study on a Deep Learning-Based Long-Term Bad Driving Behavior Recognition
[IEEE] 2026-1-2 | A Polar Feature Based Convolutional Random Forest Classifier for Modulation Classification in Resource Constrained Application
[IEEE] 2026-1-2 | Development of a Digital Twin Platform for Green Infrastructure Evaluation
[IEEE] 2026-1-2 | A Predictive Approach for Transport Protocol Multi-Connectivity Scheduling
[IEEE] 2026-1-2 | Leveraging Minimal Path Sets for Reliability Block Diagram Evaluation
[IEEE] 2026-1-2 | Analitiဍki simulator CT skenera sa lepezastim snopom za analizu odnosa apsorbovane doze i kvaliteta rekonstruisane slike
[IEEE] 2026-1-2 | Transhumeral Prostheses and Compliant Mechanisms: A Pathway for Rehabilitation
[IEEE] 2026-1-2 | ICIIBMS 2025 Blank Page
[IEEE] 2026-1-2 | IEEE ENC 2025 Committee
[IEEE] 2026-1-2 | ICIIBMS 2025 Blank Page
[IEEE] 2026-1-2 | 2025 IEEE PES Conference on Innovative Smart Grid Technologies - Middle East (ISGT Middle East)
[IEEE] 2026-1-2 | Multi-Layer Device-Level Electro-Thermal Real-Time Simulation and Multi-Purpose HIL Testing of Power Electronics Converters
[IEEE] 2026-1-2 | A Pairwise Comparison Relation-Assisted Multiobjective Evolutionary Neural Architecture Search Method With Multipopulation Mechanism_supp1-3647894.pdf
[IEEE] 2026-1-2 | Seasonal Variability of Sea Ice Bulk Density During the MOSAiC Expedition: Results from Synergistic In-Situ, Airborne, and Satellite Observations
[IEEE] 2026-1-2 | Multi-Tree Genetic Programming With Deep Contextual Bandits for Learning-Assisted Scheduling of Cluster Tools Integrating Stockers
[IEEE] 2026-1-2 | Toward State Estimation Algorithms in Cooperative Positioning: A Comprehensive Framework Design and Its Realization_supp9-3645051.mp4
[ACM] 2026-1-2 | Study on income increase effect of agricultural production structure adjustment
[ACM] 2026-1-2 | Endogenous Formation of Collective Behavioral Patterns of Human-Autonomous Mobility Interactions in Mixed-Use Traffic Environments
[ACM] 2026-1-2 | Cautious Optimism: Parents’ Views of a Robotic Music Tutor
[ACM] 2026-1-2 | Integrating Generative AI with Human-Centered Pedagogy: An Innovative Path for Vocational Education
[ACM] 2026-1-2 | Can LLMs be Surprised? Evaluation and Analysis of Surprise Expression of LLMs
[ACM] 2026-1-2 | HelpAgent: Explainable Agent-based Helpdesk System
[ACM] 2026-1-2 | Personality-Aware Multiagent Large Language Models for Strategic Interactions in Polymatrix Games
[ACM] 2026-1-2 | Session Summary Podcast: Session 10: Paper Session J - Cybersecurity/Security Education
[IEEE] 2026-1-2 | Review for "Fusing Hyperspectral Proximal Sensing to Enhance Chlorophyll-a Estimation from Sentinel-2"
[IEEE] 2026-1-2 | Author response for "Fusing Hyperspectral Proximal Sensing to Enhance Chlorophyll-a Estimation from Sentinel-2"
[IEEE] 2026-1-2 | Integration of MLOps into the Software Development Lifecycle: A Systematic Review
[IEEE] 2026-1-2 | Evaluating Readout Strategies in Liquid State Machines: Coding Schemes, Classifiers, and Separability Metrics
[IEEE] 2026-1-2 | Towards 6G: A 5G system Latency Analysis
[IEEE] 2026-1-2 | Perception Offloading for Autonomous Mobility in a Beyond-5G Edge-enabled Environment
[IEEE] 2026-1-2 | Liver Tumor Segmentation: A Comparative Study of Optimized CNN Models and a Dual-Model Approach
[IEEE] 2026-1-2 | Hardware Efficient CRC Algorithm for 5G-NR
[IEEE] 2026-1-2 | Implementation of a Large Language Model (LLM) for Spanish-Nahuatl Translation
[IEEE] 2026-1-2 | Integration of Classification, Survival, and Explainability Models for Breast Cancer Recurrence Prediction Using Clinical and Molecular Data
[IEEE] 2026-1-2 | Assessing the Impact of Network Regularizers on the Performance of Convolutional Neural Network Architectures Evolved by DeepGA
[IEEE] 2026-1-2 | RIS Selection in 6G Networks
[IEEE] 2026-1-2 | A Machine Learning Framework with Enhanced Generalizability for Lithium-Ion Batteries SOC Estimation
[IEEE] 2026-1-2 | Agentic BDD Testing of Dialog Systems: Stabilizing the Dialog Manager via Failure-Driven Evolution
[IEEE] 2026-1-2 | Circular Analysis of Long-Term GNSS Horizontal Positioning Error Time Series Observed in the Sub-Equatorial Region
[IEEE] 2026-1-2 | How Helpful is AI, Really? Quantifying the Impact of Various Platforms on Student Exam Outcomes
[IEEE] 2026-1-2 | Linking Body, Behavior, and Perception: A Multi-Domain Clustering Approach to Elderly Health Profiling
[IEEE] 2026-1-2 | A Large Language Model-Driven Multi-Agent Human-Machine Interaction Framework
[IEEE] 2026-1-2 | Resource Monitoring in an Open Virtualized RAN
[ACM] 2026-1-2 | Towards Human Engagement with Realistic AI Combat Pilots
[ACM] 2026-1-2 | Session Summary Podcast: Session 19: Lightning Talks
[ACM] 2026-1-2 | Session Summary Podcast: Session 30: Applications: Large-Scale Scientific Simulation
[ACM] 2026-1-2 | Session Summary Podcast: Session 6: Performance: Analysis Tools
[IEEE] 2026-1-2 | Author Index
[IEEE] 2026-1-2 | Real-time Elimination of Harmonic Drift for Hemispherical Resonator Gyro Based on FRP Control Scheme
[IEEE] 2026-1-2 | FNWF 2025 Paper List
[IEEE] 2026-1-2 | FNWF 2025 Cover Page
[IEEE] 2026-1-2 | Toward State Estimation Algorithms in Cooperative Positioning: A Comprehensive Framework Design and Its Realization_supp2-3645051.mp4
[ACM] 2026-1-2 | Extending Merge Resolution to a Family of QBF-Proof Systems
[ACM] 2026-1-2 | An Integrated Approach to Multi-agent Scheduling with Bounded Objectives in an Urban Setting
[IEEE] 2026-1-2 | Author response for "Seasonal Variability of Sea Ice Bulk Density During the MOSAiC Expedition: Results from Synergistic In-Situ, Airborne, and Satellite Observations"
[IEEE] 2026-1-2 | Genetic Algorithm with Initial Driven Solutions Applied in the Automatic Design of Passive Analog Low-Pass and High-Pass Filters
[IEEE] 2026-1-2 | Powering Data Centers: Business Case Insights into DC-Coupled Vs AC-Coupled PV with Bess
[IEEE] 2026-1-2 | An Alternative Architectural Language
[IEEE] 2026-1-2 | Design and Analysis of an Aerator to Reduce Biofouling on Ships
[IEEE] 2026-1-2 | Synthetic Aperture Radar Position Estimation Using Stereo Cameras
[IEEE] 2026-1-2 | Hybrid Permission–API GNNS with Temporal Descriptors and Adaptive Ensembles for Android Malware Detection
[IEEE] 2026-1-2 | Load Forecasting and Optimization of EV Charging for Grid Stability in Campus Microgrids
[IEEE] 2026-1-2 | Non-Contact Heart Rate Monitoring with Millimeter-Wave Radar: Wavelet-AMP and Spectral Analysis Design
[IEEE] 2026-1-2 | Data Integration Applications of Palmprint and Palm Vein Fusion Recognition in AIoT Systems
[IEEE] 2026-1-2 | Industrial Open RAN Deployment: A Comparative Performance Evaluation of Open and Commercial gNBs
[IEEE] 2026-1-2 | ML based Anomaly Detection for Enhanced 5G mmWave Beam Tracking in Transitory Environment
[IEEE] 2026-1-2 | Impact of ADAS and V2X Penetration Rates on Cooperative Active Safety
[IEEE] 2026-1-2 | Mobility-Aware Resource Allocation in 5G O-RAN using ns-3
[IEEE] 2026-1-2 | Fusion Edge Selection Method Using a Slime Mold Model
[IEEE] 2026-1-2 | Research on the development of the modern industrial system empowered by artificial intelligence technology
[IEEE] 2026-1-2 | Crack-YOLO: A Instance Segmentation Algorithm for Pavement Crack Based on YOLOv8
[IEEE] 2026-1-2 | A Field Study of Prompt Programming with LLM
[IEEE] 2026-1-2 | Kubernetes based Microservice Placement with Dynamic Resource Allocation
[ACM] 2026-1-2 | Relationship between Posture of Avatar and Perceived Trust
[ACM] 2026-1-2 | AI-Enhanced Interactive Storytelling: Supporting Executive Functions and Cultural Learning Through Participatory Design
[ACM] 2026-1-2 | "Why Always Me?" Rumination and Self-Blame Are Stronger After Human Than Algorithmic Rejection in Job Applications
[IEEE] 2026-1-2 | Parameter-Free Dual-Granularity Weighted Multi-View Fuzzy $c$-Means Clustering
[IEEE] 2026-1-2 | Toward State Estimation Algorithms in Cooperative Positioning: A Comprehensive Framework Design and Its Realization_supp6-3645051.mp4
[IEEE] 2026-1-2 | Fundamental Limits of Coded Caching with Fixed Subpacketization
[IEEE] 2026-1-2 | 2025 33rd Telecommunications Forum (TELFOR)
[IEEE] 2026-1-2 | 2025 10th International Conference on Intelligent Informatics and Biomedical Sciences (ICIIBMS)
[ACM] 2026-1-2 | Session Summary Podcast: Session 11: Precision and Real Number Representations
[ACM] 2026-1-2 | Session Summary Podcast: Session 5: Language and Communication
[IEEE] 2026-1-2 | Review for "Fusing Hyperspectral Proximal Sensing to Enhance Chlorophyll-a Estimation from Sentinel-2"
[IEEE] 2026-1-2 | Design and Functional Simulation of a Specialized EEPROM for Reliable Storage of Physiological Data in FPGA Environments Using Xilinx ISE
[IEEE] 2026-1-2 | Multi-Authority Attribute-Based Encryption With Attribute Verification Using Zero Knowledge Proofs
[IEEE] 2026-1-2 | Prediction Air Temperature in Geothermal Heat Exchangers Using Pseudorandom Numbers: The New DARL Model
[IEEE] 2026-1-2 | Optimization of Cnn Architectures for Training on Resource-Constrained Edge Devices Using Pso
[IEEE] 2026-1-2 | Evolving Protection Frameworks for Smaller Microgrids
[IEEE] 2026-1-2 | Optimal Energy Scheduling for Enhanced Resilience in Clustered Microgrids Integrating Hydrogen Storage and Demand Response
[IEEE] 2026-1-2 | Web Application for Predicting Image Memorability Using a Machine Learning Model
[IEEE] 2026-1-2 | Analysing and Improving National Renewable Energy Forecasts: A Case Study in Belgium
[IEEE] 2026-1-2 | Assessment of Carbon Intensity and Carbon Payback Period for Domestic Photovoltaic Systems
[IEEE] 2026-1-2 | Circuit Breaker Surface Icon Recognition Based on an Improved YOLOv8 Approach
[IEEE] 2026-1-2 | Integrating Retrieval-Augmented Generation and Large Language Models for Financial Question Answering
[IEEE] 2026-1-2 | Intelligent Surfaces for Intelligent Sensing: A 5G NR-Based CommSense Approach using RIS
[IEEE] 2026-1-2 | Point cloud matching-based AR navigation for robot-assisted laparoscopic partial nephrectomy
[IEEE] 2026-1-2 | Optimization of Kinematic Control Laws in Differential Robots Using the White Shark Optimizer
[IEEE] 2026-1-2 | Spatial Patterns of Access to Water and Housing in Municipalities of the Mexican Republic: Structural Challenges for Sustainable Development and Smart Cities
[IEEE] 2026-1-2 | Optimized SCADA Alarm Management Strategies for Power Distribution Network
[IEEE] 2026-1-2 | GraphNNK - Graph Classification and Interpretability
[IEEE] 2026-1-2 | Improved SLAM Accuracy for Agricultural Robots via Depth Image Reconstruction
[IEEE] 2026-1-2 | Artificial Intelligence Noise Estimation for Adaptive Energy Detection in Dynamic Radio Environments
[ACM] 2026-1-2 | Session Summary Podcast: Session 4: Paper Session D - Cybersecurity/Security Education
[ACM] 2026-1-2 | Session Summary Podcast: Session 7: Paper Session G - Cybersecurity/Security Education
[IEEE] 2026-1-2 | HVTC-GAN: A High-level Vision Task Cooperative GAN for SAR-to-Optical translation via Semantic Segmentation
[IEEE] 2026-1-2 | Design and Control of an Electrolytic Capacitorless Three-Phase On-Board Charger Based on Active Third-Harmonic Current Injection
[IEEE] 2026-1-2 | Joint Design of Optical Phased Array Beamforming and OFDM Waveform in Optical Wireless Integrated Sensing and Communication
[ACM] 2026-1-2 | Session Summary Podcast: Session 2: Benchmarking
[ACM] 2026-1-2 | Session Summary Podcast: Session 1: Higher-Level Languages
[ACM] 2026-1-2 | Enhancing Observational Learning of Full-Body Movements in Sports via Synchronized Visuo-Motor and Visuo-Tactile Stimuli
[ACM] 2026-1-2 | HART-Pruner: A Human-Aligned Token Reduction Method for Interpretable and Efficient Vision-Language Inference
[ACM] 2026-1-2 | The Architecture of Trust: A Three-Layered Mathematical Model for Human-Robot Collaboration
[ACM] 2026-1-2 | Real-Time Adaptive Visual Backgrounds for Supporting Dialogue
[ACM] 2026-1-2 | Designing Migrating Agents: Key Factors for Preserving Identity Perception
[ACM] 2026-1-2 | Predicting Cooperative Overlap Timing to Enhance Human-likeness in Spoken Dialogue
[ACM] 2026-1-2 | Session Summary Podcast: Session 18: Anomaly Detection, Failure Management, and Resilience 2
[ACM] 2026-1-2 | Session Summary Podcast: Session 22: Machine Learning: Training at Scale 2
[ACM] 2026-1-2 | Session Summary Podcast: Session 8: System Software and Cloud Computing: Resource Utilization
[IEEE] 2026-1-2 | A Novel Adaptive Transform for Fetal Heart Rate Estimation
[IEEE] 2026-1-2 | Multi-Task Learning Framework for Spanish Speech Emotion Recognition
[IEEE] 2026-1-2 | Expert-V: a Modular Virtual Laboratory System With Advanced Virtual Reality Simulation for Engineering Education
[IEEE] 2026-1-2 | Adaptive Cybersecurity for Industrial Environments Using Evolutionary Algorithms: A Methodological Proposal
[IEEE] 2026-1-2 | Experimental Evaluation of a Fuzzy Logic-Based Controller for a Two-Wheeled Balancing Robot
[IEEE] 2026-1-2 | Power Electronics and Control for an off-Grid Agrivoltaic Irrigation System
[IEEE] 2026-1-2 | Overview of the RENEW Platform, an AI and DT-driven Solution Aimed at Optimizing Care for Hypertensive Patients
[IEEE] 2026-1-2 | Ultra-Wideband Multi-Purpose MIMO Antenna Design for Communication Applications
[IEEE] 2026-1-2 | Assessing Vehicle-to-Grid as A Flexible Energy Storage Solution for Buildings: Case Studies and Policy Outlook in Romania
[IEEE] 2026-1-2 | Formal Verification of a Generic Algorithm for TDM Communication Over Inter Satellite Links
[IEEE] 2026-1-2 | Lcoe Reduction in African Off-Grid Rural Microgrids: a Systematic Approach Using Dsm and Innovative Bchp Integration
[IEEE] 2026-1-2 | Electromagnetic Interference from Constant-Current SMPS in Amateur Radio Bands up to 150 MHz
[IEEE] 2026-1-2 | Integrating V2X-Based Maneuver Coordination System with Autonomous Cooperative Driving
[IEEE] 2026-1-2 | RIS-Assisted Full Duplex MAC Protocol for NR-V2X with ML-Driven QoS Prediction
[IEEE] 2026-1-2 | An AI-Driven Framework for Real-Time Fault Detection and Demand Prediction in 5G Networks
[IEEE] 2026-1-2 | QURE:Quantum-Resistant Encryption Strategies For Confidential Computing
[IEEE] 2026-1-2 | User-Centric Comparison of 5G NTN and DVB-S2/RCS2 Using OpenAirInterface and OpenSAND
[IEEE] 2026-1-2 | MQTT Messaging-Based Monitoring of Multi-Storied Residential Buildings in Smart Cities
[IEEE] 2026-1-2 | Towards Cloud-Native RAN for 6G NTN-Based Connectivity in Aviation
[IEEE] 2026-1-2 | Hybrid Autoencoder-Based Framework for Early Fault Detection in Wind Turbines
[IEEE] 2026-1-2 | Enhancement of Routing Protocols for VANETs and FANETs Using Machine Learning
[IEEE] 2026-1-2 | Neural Network-Based Estimation of PV Power Reserve for Optimal Power Sharing in Grid-Forming Inverter Systems
[ACM] 2026-1-2 | The Role of a Critical Tongue Dialogue Strategy in Stimulating Emotion Regulation: An Interaction Model and Video-Based Study
[ACM] 2026-1-2 | Exploring the Relationship Between Ostracism and Communication Apprehension in Human-Robot Interaction
[ACM] 2026-1-2 | Explainable Social Agent Behavior: A Three-Value Model in Simple Rummy Game
[ACM] 2026-1-2 | Increasing Rapport by Making Conversational Agents (Sound) More Understanding: Outline of the Training Dataset and Experimental Validation Studies
[ACM] 2026-1-2 | The Role of Machine Learning in Reducing Healthcare Costs: The Impact of Medication Adherence and Preventive Care on Hospitalization Expenses
[ACM] 2026-1-2 | Digital Economy, Rural Industry Revitalisation and Rural Consumption-An Empirical Study
[ACM] 2026-1-2 | Research on AI-enabled UGC Content Innovation in Mobile Social E-commerce
[IEEE] 2026-1-2 | A Systematic Review on Gait Analytics in Disorders with Motor Phenotypes Utilizing Inertial Measurement Units and Plantar Pressure Sensors
[IEEE] 2026-1-2 | LoRaWAN System for Tracking Number of People in a Room
[IEEE] 2026-1-2 | Subjective Perception of the Quality of Data Services for Smartphone Applications
[IEEE] 2026-1-2 | Relay-Enabled Dual-Hop Network in 6G Bands
[IEEE] 2026-1-2 | Design and Performance Investigation of Noncoupled High-Gain DC-DC Boost Converter With Reduced Stress and Ripple for Renewable Energy Systems
[IEEE] 2026-1-2 | Hybrid Deep Learning and Wavelet Scattering for Non-Intrusive Load Monitoring in Smart Farming Energy Systems
[IEEE] 2026-1-2 | Distance Metric Robustness in RSSI Fingerprinting Under Sparse Access Point Conditions
[IEEE] 2026-1-2 | MAB-Based Dynamic Task Offloading in Heterogeneous Edge Networks
[IEEE] 2026-1-2 | Utensil Classification using Computer Vision: A Feasibility Study on Preventing Kitchen Accidents for Diverse Users
[IEEE] 2026-1-2 | Disposable Inkjet-Printed Flexible Strain Sensors for Respiratory Rate Monitoring
[IEEE] 2026-1-2 | Research on Intelligent Control Methods for Wireless Charging Systems of Electric Vehicles
[IEEE] 2026-1-2 | Bayesian Optimization for Tuning Random Forest in SMOTE-Based Cross-Project Software Defect Prediction paper
[IEEE] 2026-1-2 | An Improved YOLOv11-Based Intelligent Detection Method for On-Site Operation Safety Protection in Power Construction Environment
[IEEE] 2026-1-2 | Transfer Learning for Brain Tumor MRI Image Classification: A Comparative Study of Custom Deep Learning Models with K-Fold Cross Validation and Ensemble
[IEEE] 2026-1-2 | Micro-Mechanical Antennas: Modelling, Estimation, and Performance Evaluation
[IEEE] 2026-1-2 | Convergence of 6G and ATSC3 Networks via Broadcast to Everything (B2X): Use cases, Solutions and Collaborations
[IEEE] 2026-1-2 | Constant-Impedance T and $\Pi$ Phase Shifters
[IEEE] 2026-1-2 | Validation and Analysis of Grid-Following Control for Connecting Renewable Energy Sources to the Grid in Hardware-in-the-Loop with Comparison to Simulation
[IEEE] 2026-1-2 | Kernel-Level DDoS Protection Using eBPF in Iot Networks
[IEEE] 2026-1-2 | Early Attestation of the Confidential Virtual Machine with Full Disk Encryption Support
[IEEE] 2026-1-2 | A 200 GHz Bow-Tie Antenna Employing Frequency Selective Surface Integration for On-Chip Systems
[IEEE] 2026-1-2 | Secure Quantum Federated Learning Framework for URLLC in 6G Smart Healthcare Systems
[IEEE] 2026-1-2 | Blockchain-Enabled Federated Learning for Proactive Cyber-Physical Threat Mitigation in AI-Driven Renewable Smart Grids
[ACM] 2026-1-2 | The Impact of Health Literacy in a Virtual Agent Intervention Addressing Barriers to Cancer Clinical Trial Participation
[ACM] 2026-1-2 | The Impact of green finance on ESG performance in Chinese listed companies: a moderating effect of fin-tech
[ACM] 2026-1-2 | AI in Education: Review and Prospect
[ACM] 2026-1-2 | From Goal Inference to Animacy: A Bayesian Perspective on How We Perceive Agents in Motion
[IEEE] 2026-1-2 | Cover Page
[IEEE] 2026-1-2 | Pavement Crack Detection on the Basis of a Maximum Eight-Direction Filter and Image Features
[IEEE] 2026-1-2 | A High Accuracy Modified FDTD(2,4) Scheme with More Relaxed Stability Condition
[IEEE] 2026-1-2 | Editors
[IEEE] 2026-1-2 | AI-Driven Optimization of THz Vehicular Communication
[IEEE] 2026-1-2 | Simple Linear Dc Link Voltage Controller to Improve Transient Response of Pfc Rectifiers Under Stability and Current Quality Constraints
[IEEE] 2026-1-2 | A Proposed Architecture for C-V2X-Based Mesh Networking in Infrastructure-Less Environments
[IEEE] 2026-1-2 | FL-MultiDDoSNet: A Visual Federated Fusion for Securing Future Networks Against DDoS Attacks
[IEEE] 2026-1-2 | DQN-Based Joint Scheduling of eMBB and Massive URLLC in 5G Networks
[IEEE] 2026-1-2 | Low Latency in Containerized Environments: A Performance Analysis with DPDK and Kubernetes
[IEEE] 2026-1-2 | Development of an Aerial-Ground Cooperative Robot System for Coastal Litter Collection
[IEEE] 2026-1-2 | Application of the SAO-Optimized CNN-BiLSTM-AM Hybrid Model in Green Financial Product Price Prediction : A Case Study of the CSI Environmental Protection Industry Index
[IEEE] 2026-1-2 | Deep Learning based QoT Estimation in Elastic Optical Networks
[IEEE] 2026-1-2 | Benchmarking Super-Resolution Models with Tensorflow and JAX on the DermaMNIST Dataset
[IEEE] 2026-1-2 | Camouflaged target detection based on improved deep gradient network model
[IEEE] 2026-1-2 | Review for "Seasonal Variability of Sea Ice Bulk Density During the MOSAiC Expedition: Results from Synergistic In-Situ, Airborne, and Satellite Observations"
[ACM] 2026-1-2 | Multimodal Classification of Co-speech Gesture Pragmatic Function in Storytelling
[ACM] 2026-1-2 | The impact and effect evaluation of digital transformation on cost control from the perspective of value chain
[ACM] 2026-1-2 | Session Summary Podcast: Proceedings of the 2025 Quantum Security and Privacy Workshop
[ACM] 2026-1-2 | Session Summary Podcast: Session 24: Graph Processing and Pattern Matching
[ACM] 2026-1-2 | Session Summary Podcast: Session 1: ACM Gordon Bell Finalist
[IEEE] 2026-1-2 | Review for "Fusing Hyperspectral Proximal Sensing to Enhance Chlorophyll-a Estimation from Sentinel-2"
[IEEE] 2026-1-2 | Review for "Seasonal Variability of Sea Ice Bulk Density During the MOSAiC Expedition: Results from Synergistic In-Situ, Airborne, and Satellite Observations"
[ACM] 2026-1-2 | Session Summary Podcast: Session 12: Paper Session L - General Computing Education &amp; Pedagogy
[IEEE] 2026-1-2 | Copyright Page
[IEEE] 2026-1-2 | Copyright Page
[IEEE] 2026-1-2 | Prior-Guided Selective Parameter Fine-Tuning for Source-Free Domain Adaptive Medical Image Segmentation
[IEEE] 2026-1-2 | A Graph Convolution Network Model for Multi Area Distribution System Fast State Estimation
[IEEE] 2026-1-2 | System for Analytical Processing with an Integrated Data Warehouse for Presenting Tourism Trends: (Case study: Sarajevo)
[IEEE] 2026-1-2 | Hybrid System for Macedonian Sign Language Translation and Recognition Using NLP, Computer Vision and 3D Animation
[IEEE] 2026-1-2 | A Rician-Based Physically Motivated Wavelet for Fading Channel Signal Classification
[IEEE] 2026-1-2 | Guidelines for Selecting Communication Technologies Between Power Electronic Converters and Their Digital Twins in Smart Grid Systems
[IEEE] 2026-1-2 | Smart Power Transaction of Quaid-e-Azam Solar Park for Grid-Enabled Micro Grid Using PVsyst Software
