[2026-05-28 12:21:30] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-05-27
正在获取论文...
[arXiv] 2026-05-27 | When Discourse Pressures Conflict: Information Structure in Vision-Language Model Outputs
[NO] 72/200 | A Demonstration of Quantum Circuit Implementation for Obstacle Flow Using Carleman-Linearized Lattice Boltzmann Method
[NO] 73/200 | Integrated and Cross-Architecture Interpretation of LLM Reasoning
[NO] 74/200 | Examining Agents' Bias Amplification versus Suppression in Multi-Agent Systems
[NO] 75/200 | ICAN-Deploy: Identity-Stable Canary Deployment for Safety-Critical Embodied Agents
[NO] 76/200 | Scalar absorption beyond geometric optics in Klein-Gordon-separable Johannsen black hole spacetimes
[NO] 77/200 | Qwen-Image-Bench: From Generation to Creation in Text-to-Image Evaluation
[NO] 78/200 | Two-disjoint-cycle-cover vertex pancyclicity of split-star networks
[NO] 79/200 | Improvement of a Hardy-Littlewood inequality and applications to the boundedness of analytic paraproducts on mixed norm spaces
[NO] 80/200 | SilentRetrieval: Hijacking Retrieval-Augmented Generation via Semantically-Preserving Adversarial Data Poisoning
[NO] 81/200 | AgentGuard: An Attribute-Based Access Control Framework for Tool-Use LLM-Based Agent
[NO] 82/200 | PromptEmbedder:: Efficient and Transferable Text Embedding via Dual-LLM Soft Prompting
[NO] 83/200 | Hadwiger's Conjecture for $\{\text{co-claw}, \text{co-gem}\}$-free graphs and $\{\text{fork}, \text{antifork}\}$-free graphs
[NO] 84/200 | Molecular Similarity and Water Diversity in Coeval Binary Disks: JWST/MIRI Observations of Sz 65 and Sz 66
[NO] 85/200 | VCap: Hypergeometric Rewards for Weak-to-Strong Visual Captioning
[NO] 86/200 | Tensor molecule $J/ψJ/ψ$: A candidate to the resonance $X(6200) $
[NO] 87/200 | Automated Estimation of Impact Time, Impact Location, and Shuttlecock Speed in Badminton Smashes Using Event Cameras
[NO] 88/200 | Patched-DeltaNet: Token-Level Event-Driven Memory for Linear-Time Anomaly Detection
[NO] 89/200 | Deep Neural Network Training as Random Effects: An Optimization-Inference Duality
[NO] 90/200 | Online Sketched Newton-Raphson
[NO] 91/200 | Direction-selective intertwined charge, orbital, and lattice orders under uniaxial strain in hole-doped manganite: La0.75Ca0.25MnO3
[NO] 92/200 | Continual Learning in Modern Hopfield Networks with an Application to Diffusion Models
[NO] 93/200 | Discrete approximation of semi-Dirichlet forms with non-symmetric perturbations of resistance forms
[NO] 94/200 | Simultaneous Contact Selection and Planning for Contact-Rich Manipulation with Cascaded Optimization
[NO] 95/200 | Throughput-Optimized Networks at Scale
[NO] 96/200 | Yaglom limits of continuous-state branching processes in Brownian random environment
[NO] 97/200 | Machine learning enables experimental access to photon-by-photon arrival times in scintillation detectors
[NO] 98/200 | Do Agents Think Deeper? A Mechanistic Investigation of Layer-Wise Dynamics in Sequential Planning
[NO] 99/200 | Experimental Collapse in Virophysics: Protocol-Resolved Observation, Inference, and Plaque-Assay Blindness
[NO] 100/200 | Structure-Guided Visual Perturbation Neutralization for LVLMs
[NO] 101/200 | Scalable multiband-tunable laser enabled by heterogeneously-integrated InP gain regions on a single silicon photonic chip
[NO] 102/200 | Computational Investigation of Magnetophoretic Separation of Blood-Cell-Inspired Particles in Serpentine Microchannels_supp1-3695600.mp4
[NO] 103/200 | Africa and Tunisia [President’s Message]
[NO] 104/200 | Surviving (and Thriving) as Organizational Newcomers: Technical Communicators and Proactive Socialization
[NO] 105/200 | Distributed Optimal Control Using Interval-Excited Relative-Output Reinforcement Learning Algorithm
[NO] 106/200 | Transient Modulation of the Nucleus Accumbens by Transcranial Temporal Interference Stimulation: An fMRI Study in Healthy Adults_supp1-3696618.docx
[NO] 107/200 | MC-DiffNet: Mask-Constrained and Cycle-Consistent Diffusion Network for Unpaired Ultrasound Image Enhancement
[NO] 108/200 | Robust Frequency Regulation in Hybrid Power Systems Under False Data Injection Attacks Using Adaptive Event-Triggered Virtual Inertia Control
[NO] 109/200 | Optimizing Query-by-Example Spoken Term Detection with Audio-to-Token Sequence Clustering and Query-Guided Retrieval
[NO] 110/200 | Advertisements
[NO] 111/200 | Uncertainty-Aware Hierarchical MHE–EKF for Joint Estimation of Vehicle Lateral Velocity and Road Friction
[NO] 112/200 | CFR-Net: A Coarse-to-Fine Concatenated Dual Decoder Based on Frequency-Space-Structure Fusion for Robust Remote Sensing Change Detection
[NO] 113/200 | An Intention-Driven Lane Change Framework Considering Heterogeneous Dynamic Cooperation in Mixed-Traffic Environments
[NO] 114/200 | Leveraging Feature Alignment in Grassmannian Manifold for Multi-output Regression Tasks
[NO] 115/200 | Development of a Secure Hybrid Deep Learning Model for Honeypot Security and Monitoring System Using Quantum Dilated Convolutional–Fuzzy–Maxout Network
[NO] 116/200 | Transmission Performance on Digital Communication Signals of Low-Frequency Electromagnetic Waves Under Dynamic Plasma Channel
[NO] 117/200 | MO-Enstune++: Multi-Objective End-to-End Ensemble Optimization for Coastal Waste Risk Prediction
[NO] 118/200 | Harnessing Explainable AI and Biomarker Insights for Robust Breast Cancer Detection
[NO] 119/200 | MAIR: A Modular AI-Ready Framework for Scalable Incident Response and Autonomous Governance in Next-Decade Cybersecurity
[NO] 120/200 | WIP: AI-Based Dynamic 5G Channel Optimization for TSN Over 5G Using MPNN-TD3
[NO] 121/200 | GNSS-Independent and Obstacle Avoidance for UAVs Using a Compact 360° Scanning Head
[NO] 122/200 | Energy-Economic-Environmental (3E) Analysis of Rooftop PV Systems for Tropical Universities
[NO] 123/200 | Towards Single-Channel &amp; Single-Cycle EOG Based Multi-Directional Eye Tracking in Wearable System
[NO] 124/200 | EEG-to-Image Synthesis Using Swin Transformer Enhanced with Conditional GANs
[NO] 125/200 | Cloud-Native, AI-Augmented Fault Correlation and Root Cause Analysis for Multi-Vendor Networks
[NO] 126/200 | A Retrieval-Augmented Framework for Executable Context-Aware Data Quality Assessment
[NO] 127/200 | Visibility-Aware Language Aggregation for Open-Vocabulary Segmentation in 3D Gaussian Splatting
[NO] 128/200 | Pixel-Accurate Epipolar Guided Matching
[NO] 129/200 | Impact of Motion Strategies on the Net Energy Gain of Solar Energy System
[NO] 130/200 | The Bearing of Planetary Roller Screw Based on Pitch Error and Roller Deviation Specificity Analysis
[NO] 131/200 | Development of the Saponification System Using Recycled Oil Implementing Temperature and pH Fuzzy Control
[NO] 132/200 | CaricatureGS: Exaggerating 3D Gaussian Splatting Faces with Gaussian Curvature
[NO] 133/200 | 3D Scene Change Modeling With Consistent Multi-View Aggregation
[NO] 134/200 | ConTiCoM-3D: A Continuous-Time Consistency Model for 3D Point Cloud Generation
[NO] 135/200 | PI3DETR: Parametric Instance Detection of 3D Point Cloud Edges with a Geometry-Aware 3DETR
[NO] 136/200 | Tessellation GS: Neural Mesh Gaussians for Robust Monocular Reconstruction of Dynamic Objects
[NO] 137/200 | Polarization-Insensitive Silicon-on-Insulator Arrayed Waveguide Grating Router with Bidirectional I/O
[NO] 138/200 | Multistatic Radar Joint Range-Velocity Anti-Deceptive Jamming Methods Based on Information Geometry
[NO] 139/200 | A 3-bit Digitally-Reconfigurable Driving-Capability nW-Powered Three-Stage Fully-Synthesizable Inverter-Based OTA for Multi-Load/Applications
[YES] 140/200 | Coherent Radar Networks: Terminology, Synchronization, and Applications
[NO] 141/200 | Temperature-Based Hybrid Modeling for Heating Power Prediction and Fault Detection in Power Transformers
[NO] 142/200 | Comprehensive Analysis and Noise Suppression of Real-World Mud Pulse Telemetry Using an Adaptive Signal Decomposition Method for Downhole Sensing
[NO] 143/200 | Masthead
[NO] 144/200 | ClustRecNet: A Novel End-to-End Deep Learning Framework for Clustering Algorithm Recommendation
[NO] 145/200 | Enhancing Bangla Spam SMS Detection with BERT: A Deep Learning Perspective
[NO] 146/200 | Noninvasive Assessment of Lung Fluid Accumulation Using Tetrapolar Impedance Measurement
[NO] 147/200 | Fundamental-Frequency Switching Strategy for a Five-Level Cascaded H-Bridge Inverter Using Selective Harmonic Elimination
[NO] 148/200 | Bengali Fake Shield: Developing an Efficient Transformer-based Fake News Detection System for Bengali Language
[NO] 149/200 | Fabrication Defect Detection and Characterization of Semiconductor Devices from SEM Images Using Morphological Image Processing
[NO] 150/200 | Optimized Digital Filtering of EEG Signals for ERP Preservation and Noise Suppression
[NO] 151/200 | Blood Cancer Classification from Microscopic Images via ViTResNetEnsemble with XAI
[NO] 152/200 | Intelligent Heat Stress Management: Economic Impacts and Policy Strategies for Informal Women Workers
[NO] 153/200 | RXV: Interpretable RF-Stacked CNNs for Brain Tumor MRI Classification
[NO] 154/200 | Voltage-Dependent Dark Current Modeling in Thin-Film Solar Cells: Effects of Surface Recombination and Device Parameters
[NO] 155/200 | A Deep Learning and Explainable Ai Framework to Rank Solar Irradiance Zones in Southern Bangladesh
[NO] 156/200 | Towards Real-Time Tea Leaf Disease Management: A Deep Learning Solution for Resource-Constrained Environments
[NO] 157/200 | Integrating HTS Technology in Wind Energy Systems: A Case for Sustainable Power in Bangladesh
[YES] 158/200 | Secrecy Analysis of Pinching-Antenna Systems
[NO] 159/200 | Simulation-Based Modeling and Standing Stabilization of a Bird-Inspired Bipedal Robot with Multi-Joint Dynamics with Contact
[NO] 160/200 | Are Pose Estimators Ready for the Open World? STAGE: A GenAI Toolkit for Auditing 3D Human Pose Estimators
[NO] 161/200 | Learning High-Fidelity Garment Deformation via Skinning-Free Image Transfer
[NO] 162/200 | PASTA: Controllable Part-Aware Shape Generation with Autoregressive Transformers
[NO] 163/200 | Implicit Preference Learning for Adaptive Human-Robot Collaboration Using Task Graphs
[NO] 164/200 | Corrections to “Semi-Classical Monte Carlo Simulation of Quantum Confinement Effects in Si Nanosheet and Fin FETs in Industry Standard Orientation”
[NO] 165/200 | Knowledge-Driven Memetic Algorithm with Forgetting Mechanism for the Energy-Aware Flexible Job-Shop Scheduling Problem with Variable Machining Speeds
[NO] 166/200 | CAOA - Completion-Assisted Object-CAD Alignment
[NO] 167/200 | Multi-source Fusion Positioning Revisited by Drawing on Human Thinking Process
[NO] 168/200 | Multi-Module Cooperative Triggering Strategy for Pulse Power Supply Based on Online Prediction
[NO] 169/200 | Large-Scale and High-Sensitivity Quasi-Distributed Vibration Sensing Based on Time-Division Multiplexed Dual CFBGs
[NO] 170/200 | Front Cover
[NO] 171/200 | High-Isolation Free-Space Optical Circulator for High-Capacity Bidirectional Satellite Links
[NO] 172/200 | 5GLoc: Graph-Based Learning for Robust 5G Indoor Localization under Dynamic Anchor Visibility
[NO] 173/200 | DefectSynth: Few-Shot Defective Image Generation by Modeling Shape and Appearance
[NO] 174/200 | Cinematic Memories: EEG-Based Decoding of Recall Using Naturalistic Stimuli
[NO] 175/200 | Consumer Electronics in Healthcare and Medicine: a report from the EMBS Young Professional Roundtable
[NO] 176/200 | Globally Consistent RGB-D SLAM with 2D Gaussian Splatting_supp1-3697159.mp4
[NO] 177/200 | Dual-Band Rectifying Circuit With Quasi-Independent Frequency Tunability Using a Lumped-Element T-Section Network
[NO] 178/200 | Rank-Based Ensemble Learning for Early Detection of Mental Health Disorders in Private University Students
[NO] 179/200 | Hybrid Transfer Learning with Dual-Stage Metaheuristic Optimization: A Comparative Study on Regional Energy Forecasting
[NO] 180/200 | Interpretable Plant Leaf Recognition: Calibration and Domain Shift Analysis With Occlusion Sensitivity and Grad-Cam
[NO] 181/200 | A Data-Driven Approach to Sustainable Agriculture: Integrated IoT, Machine Learning, and Automation in Smart Greenhouses
[NO] 182/200 | Exploring the Effectiveness of ViT_B16 for Early Breast Cancer Diagnosis in Mammogram Mastery
[NO] 183/200 | Synthesis and Characterization of Ni-Doped $\text{SnO}_{2}$ Nanoparticles Prepared by Sol-Gel Method for Photocatalytic Treatment of Textile Wastewater
[NO] 184/200 | Towards High-Performance Tandem Silicon Perovskite Photovoltaic Cell: OghmaNano Simulation
[NO] 185/200 | SafeBirth AI: Tuned Explainable Ensembles for Maternal and Fetal Health Classification
[NO] 186/200 | Automatic Stress Detection From Code-Mixed Tamil-English Social Media Posts Using Deep Learning Models
[NO] 187/200 | An Analytical Framework for Integrating Artificial Intelligence Into Cybersecurity Decision-Making
[NO] 188/200 | Design of an Iot-Based Smart Water Quality Monitoring System with Artificial Intelligence
[NO] 189/200 | State of Charge Estimation for Electric Vehicle Batteries Using Temporal Convolutional Networks
[NO] 190/200 | Modeling of a Vibration Isolation System for Precision Manufacturing
[NO] 191/200 | Edge AI with on-Device Learning Capabilities for Precision Agriculture
[NO] 192/200 | RGB-D and Wrist-Mounted IMU Sensor Integration for a Robust Human‒Robot Handover System in Surgical Environments
[NO] 193/200 | Estimating Rotation in $\mathbb{S O}(3)$ by Torus on $\mathbb{S}^{3}$
[NO] 194/200 | LaMP: Learning Robust Latent Motion Prior for Optimization-Based Human Motion Generation
[NO] 195/200 | NeuSEditor: From Multi-View Images to Text-Guided Neural Surface Edits
[NO] 196/200 | SCENIC: Scene-Aware Semantic Navigation with Instruction-Guided Control
[NO] 197/200 | FASTMESH: Efficient Artistic Mesh Generation Via Component Decoupling
[NO] 198/200 | Continuous-Wave THz Imaging of Moisture Distribution During Ceramic Drying
[NO] 199/200 | Physics-Aware Semantic Graph Classifier for Remote Sensing Images
[NO] 200/200 | A Root Prediction System for Single-Variable Equations with Existing Taylor Polynomials
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-05-27.json。
邮件发送成功！
[2026-05-28 13:00:08] 任务执行成功！
