[2026-03-20 09:35:03] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-03-19
正在获取论文...
[arXiv] 2026-03-19 | Chain recurrent shifts on trees
[NO] 77/200 | The influence of hypothetical exomoons on planetary thermal phase curves
[NO] 78/200 | AS2 -- Attention-Based Soft Answer Sets: An End-to-End Differentiable Neuro-Soft-Symbolic Reasoning Architecture
[NO] 79/200 | Halfway between Heaven and Hell
[NO] 80/200 | MLOW: Interpretable Low-Rank Frequency Magnitude Decomposition of Multiple Effects for Time Series Forecasting
[NO] 81/200 | AndroTMem: From Interaction Trajectories to Anchored Memory in Long-Horizon GUI Agents
[NO] 82/200 | R&D: Balancing Reliability and Diversity in Synthetic Data Augmentation for Semantic Segmentation
[NO] 83/200 | The Spillover Effects of Peer AI Rinsing on Corporate Green Innovation
[NO] 84/200 | Graph-of-Constraints Model Predictive Control for Reactive Multi-agent Task and Motion Planning
[NO] 85/200 | Accelerated Rydberg-EIT quantum memory via shortcuts to adiabaticity
[NO] 86/200 | FlowMS: Flow Matching for De Novo Structure Elucidation from Mass Spectra
[NO] 87/200 | RE-SAC: Disentangling aleatoric and epistemic risks in bus fleet control: A stable and robust ensemble DRL approach
[NO] 88/200 | Where are the Hidden Gems? Applying Transformer Models for Design Discussion Detection
[NO] 89/200 | A note on Fox colorings of virtual tangles
[NO] 90/200 | To See or To Please: Uncovering Visual Sycophancy and Split Beliefs in VLMs
[NO] 91/200 | Alice and Bob through a quantum mirror
[NO] 92/200 | Matryoshka Gaussian Splatting
[NO] 93/200 | Cubic Discrete Diffusion: Discrete Visual Generation on High-Dimensional Representation Tokens
[NO] 94/200 | EffectErase: Joint Video Object Removal and Insertion for High-Quality Effect Erasing
[NO] 95/200 | Spectrally-Guided Diffusion Noise Schedules
[NO] 96/200 | DriveTok: 3D Driving Scene Tokenization for Unified Multi-View Reconstruction and Understanding
[NO] 97/200 | OmniVTA: Visuo-Tactile World Modeling for Contact-Rich Robotic Manipulation
[NO] 98/200 | OS-Themis: A Scalable Critic Framework for Generalist GUI Rewards
[NO] 99/200 | Interface magnetic coupling and magnetization dynamic of La$_{2/3}$Sr$_{1/3}$MnO$_3$ single layer and (La$_{2/3}$Sr$_{1/3}$MnO$_3$/SrRuO$_3$)$_n$ (n = 1, 5) superlattice on SrTiO$_3$(001) substrate
[NO] 100/200 | Rigorous Error Certification for Neural PDE Solvers: From Empirical Residuals to Solution Guarantees
[NO] 101/200 | Simulation and Regulation Method of Water Resource Trading Behavior in Ecosystems Using Evolutionary Game Algorithm
[NO] 102/200 | VR-GD Virtual Reality Gestures Dataset With Leap Motion Controller
[NO] 103/200 | Exploration of Algorithm-Hardware Co-Design for Floating-Point Digital Compute-In-Memory
[NO] 104/200 | A Strategy-Proof Mechanism for Fair Allocation of Multiple Resources with Access Constraints in Mobile Edge Computing
[NO] 105/200 | A Programmable Nanosecond High-Voltage Pulse Generator Based on MOSFET Transistors
[NO] 106/200 | Code-switching Speech Recognition Under the Lens: Model- and Data-Centric Perspectives
[NO] 107/200 | A Cymbal Transducer as a Single Element Device for Enhanced Cavitation Generation_supp3-3675507.mp4
[NO] 108/200 | Advancing Automation of Geographically Distributed Power Hardware-in-the-Loop Experiments to Enhance Research Infrastructure Capabilities
[NO] 109/200 | An Isometry Metric for Waveform Assessment in the Presence of Correlated Interference
[NO] 110/200 | Multi-bandwidth Coupling Performance Enhancement using Si
                    <sub>3</sub>
                    N
                    <sub>4</sub>
                    -on-SOI Grating Coupler Platform
[NO] 111/200 | IEEE Women in Engineering
[NO] 112/200 | Explainable Retail Demand Forecasting: A Hybrid LightGBM-SHAP Framework for Inventory Optimization
[NO] 113/200 | Hierarchical Multimodal Motion Control of Magnetic Pivot-Walking Millirobotic-Grippers for Autonomous Target Acquisition in Complex Terrains_supp10-3675526.pdf
[NO] 114/200 | Research on an Automatic Detection Device for Impurities in Transformer Oil
[NO] 115/200 | Control Strategy and Hardware-in-the-Loop Simulation Testing of Grid-Forming Static Var Generator
[NO] 116/200 | Message from the General Chairs EUC 2025
[NO] 117/200 | Smart Learning in Action: Designing and Operationalizing the Digital Student Journey with ESC-tension 2
[NO] 118/200 | Preface
[NO] 119/200 | Author Index
[NO] 120/200 | HRVFusion: Video-based Long-Term Heart Rate Variability Measurement with Conditional Diffusion Models
[NO] 121/200 | GLMamba: A Global–Local Mamba Network for Efficient Remote Sensing Change Detection
[YES] 122/200 | Complex-Valued Transformer with Improved Positional Embedding for MIMO-OFDM Channel Denoising
[YES] 123/200 | Throughput-Cost Dual-Objective Optimization for Multi-UAV Assisted WiFi Networks
[YES] 124/200 | One Model to Catch Them All: Autoencoder-Based Anomaly Detection in Next-Generation Networks
[NO] 125/200 | Research on Short-Term Load Forecasting in Power Systems Employing Neural Networks Improved by Normalization Modules
[NO] 126/200 | On the Robust Position Control of Variable Stiffness Series Elastic Actuators
[NO] 127/200 | Quantum Computing: Anticipated Developments and Applied Prospects
[NO] 128/200 | AQUILA: A Flexible Architecture Guideline for Building Custom Distributed Systems Testbeds
[NO] 129/200 | Research on Lithium Battery Soh Estimation Based on Icoa-Lstm*
[NO] 130/200 | Realistic Performance Evaluation of NR-V2X in Urban Scenario Using Ray Tracing and ns-3
[NO] 131/200 | Device-Server Collaborative Speculative Decoding for Real-Time LLM Streaming
[NO] 132/200 | Effect of Interlayer Contamination on the Electric Field Characteristics of Recoated Anti-Pollution Flashover Coatings
[NO] 133/200 | Prompt-guided Semantic Communication for Image Transmission with Dynamic Compression
[NO] 134/200 | A Comparative Analysis Using ANN and SVM to Understand Consumer Behavior in Digital Marketing
[NO] 135/200 | Adaptive Federated Learning with Lyapunov Optimization for Robust Radio Link Failure Detection in 5G Networks
[NO] 136/200 | Collaborative Inference in the Extreme Edge: A Proactive Task Allocation Scheme
[NO] 137/200 | Automatic State Machine Inference for Binary Protocol Reverse Engineering
[YES] 138/200 | Transmit Power Minimization in Stacked Intelligent Metasurface-Aided Multi-User Systems
[NO] 139/200 | Implementing an Intelligent Hybrid Wired/Wireless SDN Switch with Machine Learning
[NO] 140/200 | Sponge Attacks on Sensing AI: Energy-Latency Vulnerabilities and Defense via Model Pruning
[NO] 141/200 | A Truth Discovery Method for Mobile Crowd Sensing in Mines Based on a Hybrid Bi-LSTM/GRU Network
[NO] 142/200 | Enhancing Unlabeled Signal Representation: A Diffusion-Feature-Based Semi-Supervised Framework for AMR
[NO] 143/200 | Encoding of Entanglement-assisted Quantum Codes with Fault-tolerant Syndrome Measurements
[NO] 144/200 | Leveraging Bi-Directional Channel Reciprocity for Robust Ultra-Low-Rate Implicit CSI Feedback with Deep Learning
[NO] 145/200 | Timing advance and Doppler shift estimation in LEO satellite networks: A recursive Bayesian study
[NO] 146/200 | Collaborative Evaluation and Improvement Method for the Operational Resilience of Distribution Networks by Integrating Data-Driven and Physical Models
[NO] 147/200 | Efficient Precoding for LEO Satellites: A Low-Complexity Matrix Inversion Method via Woodbury Matrix Identity and arSVD
[NO] 148/200 | AI-Enhanced Web Crawler for Real-Time Discovery of Emerging Trends in Sustainable Finance
[NO] 149/200 | TAMIS: Trust-Driven Federated Learning via Monetary Incentives for Social Event Analysis
[NO] 150/200 | Human Activity Recognition Using Infrared Array Sensors: A Multi-Modal Approach
[NO] 151/200 | On the Analytical Error Performance of LoRa-Based LEO Satellite IoT
[NO] 152/200 | Evaluation of Reactive Power Equipment Voltage Support Capability Based on Gray Clustering
[NO] 153/200 | HLAST: Hierarchical Label-Aware Summarisation Transformer for Enhanced Cybersecurity Log Analysis
[NO] 154/200 | Steady-State Aware Hierarchical DRL Framework for Dynamic Task Offloading in Vehicular Edge Computing
[NO] 155/200 | Symmetric Private Information Retrieval (SPIR) on Graph-Based Replicated Systems
[NO] 156/200 | A Rate Analysis on Channels With Unreliable Entanglement Assistance
[NO] 157/200 | Glaucoma Detection Using Gray-Level Co-Occurrence Matrix and Extreme Learning Machine
[NO] 158/200 | Reactive to Agentic:Next Gen AI Agent Transition Framework
[NO] 159/200 | Textual Symptom Understanding Using ZSL and FSL for Clinical Predictions
[NO] 160/200 | Deadline-Aware Data Collection for Satellite IoT Networks
[NO] 161/200 | Optimizing Training of Policies on Hierarchical Multi-fidelity Environments
[YES] 162/200 | Quantum Network Simulators Integration with Open-Source 5G Mobile Stack
[NO] 163/200 | Intelligent Multi-link EDCA Optimization for Delay-Bounded QoS in Wi-Fi 7
[YES] 164/200 | Physical Layer Security of THz Orbital Angular Momentum MIMO Systems with a Successive Interference Cancellation Eavesdropper
[NO] 165/200 | Optimal Operation of Wind Power Integrated Systems Considering Demand Response
[NO] 166/200 | Spatiotemporal Differential Privacy-Preserving Data Imputation
[NO] 167/200 | Hierarchical Text Classification with LLMs via BERT-Based Semantic Modeling and Consistency Regularization
[NO] 168/200 | Table of Contents
[NO] 169/200 | Path Planning and Obstacle Avoidance Optimization for a Spraying Robot Based on an Improved Artificial Potential Field Algorithm
[NO] 170/200 | Research on Linear-Switch Hybrid Power Hardware-in-the-Loop Simulation Technology
[NO] 171/200 | Improved Pied Kingfisher Optimization for Wireless Power Transfer Parameter Tuning
[NO] 172/200 | Model Context Protocol-based Internet of Experts For Wireless Environment-aware LLM Agents
[NO] 173/200 | Research on Assessment and Application of Reasonable Capacity for Tobacco Retail Licensing
[NO] 174/200 | The impact of supply chain uncertainty on dual innovation within manufacturing enterprises: An empirical analysis based on computational modeling and text mining
[NO] 175/200 | TinyFLChain: Blockchain-Secured Decentralized Federated Learning for TinyML Systems
[NO] 176/200 | Communication-Efficient Multi-Agent Collaborative Perception via Spatio-Temporal Heterogeneity
[NO] 177/200 | Observer-Based Robust
                    <i>H</i>
                    <sub>∞</sub>
                    Fault-Tolerant Control for T-S Fuzzy Fractional-Order Systems With Multiple Faults and Disturbances
[NO] 178/200 | An E-Band Blocker-Tolerant Receiver in 0.18-μm SiGe BiCMOS
[NO] 179/200 | A Numerical Synthesis Method of Isolation Characterized Three-Port Filtering Power Divider Network and Its Application
[NO] 180/200 | SR-VIO: Leveraging Structural Regularity for Robust Initialization and Accurate Visual-Inertial Odometry_supp1-3669015.pdf
[YES] 181/200 | IntactEdge: Secure Multi-Replica Data Integrity Verification in Mobile Edge Computing
[NO] 182/200 | Method for detecting discontinuities in aluminum castings based on a Self-Excited Acoustic System and deep learning techniques
[NO] 183/200 | MCIB: Multi-modal Complementary Information Bottleneck for Hyperspectral and LiDAR Classification
[YES] 184/200 | A Joint UAV Deployment and Beamforming Design for ISAC-Enabled Multi-UAV Network
[NO] 185/200 | Disturbance Observer-Based Control in the Synchronous Reference Frame for Grid-Connected Inverters in the Presence of Grid-Voltage Harmonics
[NO] 186/200 | Deep Source Separation with Prior
[NO] 187/200 | AI-driven State Feedback Power Control Design of Boost Converters for Renewable Energy Applications Using a HIL Implementation
[NO] 188/200 | Next-Gen Smart Win-Curtain: A Real-Time IoT &amp;#x0026; Fuzzy Based Implementation for Future Homes_supp1-3674134.pdf
[NO] 189/200 | Filling in the Gap of Eliminating CMV Spikes Under Low Modulation Indices in the SVM Three-Phase Inverters
[NO] 190/200 | Mitigating NDR for Improved RF Performance in
                    <b>$\mathrm{MoS_{2}}$</b>
                    Ferroelectric Tunnel FET
[NO] 191/200 | Sample-Efficient Learning of a Robotic Tube Insertion Policy
[NO] 192/200 | Effects of Belt Accelerations During Push-Off on Propulsion Mechanics in Individuals Post-Stroke_supp1-3675477.pdf
[NO] 193/200 | Table of Contents
[NO] 194/200 | A Data Center Wireless-Optical Interconnect Architecture Based on Cascaded Meta-Surfaces
[NO] 195/200 | Development of Worm gear-based Series Elastic Actuator for Torque-efficient Vibration Isolation
[NO] 196/200 | Evaluating the Impact of Remote Work Benefits on Employee Performance and Retention in IT Companies
[NO] 197/200 | The Price of Privacy: Quantifying the Impact on Localization Accuracy in Underwater Secure Localization
[NO] 198/200 | Privacy Assessment of Text-to-Image Models via Enhanced Membership Inference Attack
[YES] 199/200 | Base Station Placement Optimization for Networked Sensing Exploiting Target Location Distribution
[NO] 200/200 | Design of a 300W Phase-Shifted Full-Bridge Secondary Power Supply Module for Aerospace Satellite Applications
筛选完成：共 200 篇；Yes = 9 篇；已保存到 papers/select_paper2026-03-19.json。
邮件发送成功！
[2026-03-20 10:04:08] 任务执行成功！
