[2026-02-04 09:38:05] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-03
正在获取论文...
[arXiv] 2026-02-03 | Mići Princ -- A Little Boy Teaching Speech Technologies the Chakavian Dialect
[NO] 86/200 | RAL-Bench: Benchmarking for Application-Level Functional Correctness and Non-Functional Quality Attributes
[NO] 87/200 | Hydrodynamic simulations of expanded warm dense foil heated by pulsed-power
[NO] 88/200 | Hierarchical Concept-to-Appearance Guidance for Multi-Subject Image Generation
[NO] 89/200 | Accelerated Electromagnetic Simulation of MRI RF Interactions with Graphene Microtransistor-Based Neural Probes for Electrophysiology-fMRI Integration
[NO] 90/200 | DiscoverLLM: From Executing Intents to Discovering Them
[NO] 91/200 | On singular Galerkin discretizations for three models in high-frequency scattering
[NO] 92/200 | Towards Distillation-Resistant Large Language Models: An Information-Theoretic Perspective
[NO] 93/200 | From Vicious to Virtuous Cycles: Synergistic Representation Learning for Unsupervised Video Object-Centric Learning
[NO] 94/200 | Chain-of-Goals Hierarchical Policy for Long-Horizon Offline Goal-Conditioned RL
[NO] 95/200 | An Approximate Ascent Approach To Prove Convergence of PPO
[NO] 96/200 | Dynamic Programming for Epistemic Uncertainty in Markov Decision Processes
[NO] 97/200 | PlanTRansformer: Unified Prediction and Planning with Goal-conditioned Transformer
[NO] 98/200 | Multi-Resolution Alignment for Voxel Sparsity in Camera-Based 3D Semantic Scene Completion
[NO] 99/200 | Pursuing Best Industrial Practices for Retrieval-Augmented Generation in the Medical Domain
[NO] 100/200 | Novel exact black hole solution in Dehnen $\left(1,4,\frac32\right)$ halo thermodynamics, photon circular motion and eikonal quasinormal modes
[NO] 101/200 | A Predictive Analytics Approach for Real Estate Portfolio
[YES] 102/200 | Energy Efficiency Maximization for RIS-Aided Integrated Sensing and Communication
[NO] 103/200 | IEEE COMPUTER SOCIETY Call for Papers
[NO] 104/200 | Table of Contents
[NO] 105/200 | The 2nd Edition of International Summer School on Extended Reality Technology and Experience (XRTX)
[NO] 106/200 | Leveraging Artificial Intelligence to Decode Brand Awareness and Buying Behaviour
[NO] 107/200 | A Deep Learning-Based Approach for Plant Disease Detection
[NO] 108/200 | Dynamic Model of Rolling Bearings Considering Edge Softening Effects
[NO] 109/200 | Design of High-Resolution Inverse Photoemission Spectroscopy System
[NO] 110/200 | Automated Grading of Scratch Card Based Immediate Feedback Assessment Technique (IFAT)
[NO] 111/200 | From Discriminative Regions to Complete Masks: CAM-SAM Fusion for Weakly Supervised Semantic Segmentation
[NO] 112/200 | Multivariate Time Series Anomaly Detection Based on Time-Frequency Combination
[NO] 113/200 | Deep Learning-Based Emotion Recognition Using Electroencephalogram Signals
[NO] 114/200 | Smart Dynamic Wireless Charging Lane for Electric Vehicles Powered by Hybrid Renewable Systems
[NO] 115/200 | Design of the First Optimal Sliding Mode Control of Uncertain Linear Systems Based on Metaheuristics
[NO] 116/200 | Contrastive Semantic Reinforced Summarization: A Hybrid Framework for Arabic Abstractive Text Summarization
[NO] 117/200 | Localization of OFDM Sources Using a Single Hydrophone in Rician Fading Channels
[NO] 118/200 | An AC Charging Pile Current Regulation System Based on LoRa-Modbus
[NO] 119/200 | A Dual-Band Circularly Polarized Slot Antenna with EBG Structure for Wi-Fi Applications
[NO] 120/200 | Proceedings
[NO] 121/200 | YOLOv5-Powered Smart Parking System with IoT-Based Real-Time Slot Monitoring
[NO] 122/200 | Beyond Appearance: Dual-Graph Object Encoding with Learnable Graph Structure
[NO] 123/200 | Fuzzy Neural Dynamics for Kinematic Learning and Simultaneous Control of Redundant Robots
[NO] 124/200 | Suppressing the Capacitive Coupling by Adjusting the Precharge Biasing Scheme in a Two-Transistor Dynamic Random-Access Memory Operation
[NO] 125/200 | IEEE Transactions on Cybernetics Publication Information
[NO] 126/200 | Federated Learning with Controlled Descent under Fading: Convergence and Energy Implications
[NO] 127/200 | Self-Error Correcting Method for Magnetic-Array-Type Current Sensors in Multi-Core Cable Applications
[NO] 128/200 | Electrical Bioimpedance Sensing-based Proximity Distance Estimation for Needle Interventions: Two-Layer Model and Validation
[NO] 129/200 | Electromechanical Simulation and 3D Visualization of a Solenoid-Powered V8 Engine
[NO] 130/200 | Development of a High-Gain Ceramic Mimo Antenna for Mm Wave Communication Supporting Smart City and Rural Broadband Infrastructure
[NO] 131/200 | DWT Domain Precinct-Wise Scrambling for Encryption-then-Compression with JPEG XS
[NO] 132/200 | A 66-82 GHz VCO with Dual-Tuning and Phase Noise Reduction Techniques in 40 nm CMOS
[NO] 133/200 | The Effect of Rain Attenuation on the Efficiency of Wireless Communication Systems in Millimeter Wave Frequencies
[NO] 134/200 | EdgeFlame: A Physics-Inspired Framework for Zero-Shot Fire and Smoke Recognition
[NO] 135/200 | Integrated Decision Making and Planning for Autonomous Driving Based on the Prediction of Ego Vehicle
[NO] 136/200 | A Method for Reducing Learning Time in ARVTDNN for NN-DPD Applications
[NO] 137/200 | A Review and Comparative Analysis of Predictive Models for Supply Chain Demand Forecasting
[NO] 138/200 | On-Route Passenger Weight Estimation in Electric Buses via Air Suspension and Tire Pressure
[NO] 139/200 | Fast Multi-Tau Correlators on FPGA with Context Switching From and to High- Bandwidth Memory
[NO] 140/200 | Design and Fabrication of Low-cost Force Sensing Resistor for Prevention of Bedsores
[NO] 141/200 | Passivity-based adaptive controller with the thrust direction control for quadrotor trajectory tracking
[NO] 142/200 | Bridging Service Quality and Architecture in Digital Banking: A Usability Framework Based on TOGAF ADM and E-Servqual
[NO] 143/200 | High-Performance Circular Phased Array Microstrip Antenna for WiFi, Bluetooth, and Ultra-Wideband Applications
[NO] 144/200 | Adaptive Model Predictive Current Control Using EKF-Based Online Inductance Estimation for Totem-Pole PFC Converters
[YES] 145/200 | Joint Unicast and Multicast Transmission in RSMA-Aided Clustered Cell-Free Systems: Clustering and Power Allocation
[NO] 146/200 | Transforming Crop Disease Classification with Hybrid Quantum Deep Learning
[NO] 147/200 | Performance Evaluation of Inverter-Fed Autonomous Microgrids under Uniform and Non-Uniform Delays Using Internal Model Control
[NO] 148/200 | Exploring Privacy and Security Risks in LLMs: Data Leakage, Prompt Injection, and Membership Inference
[NO] 149/200 | Opt360: QoE Optimization for 360° Video Streaming
[NO] 150/200 | Technical Program Committee
[NO] 151/200 | Convolutional Autoencoder Framework for Anomaly Detection in Cloud Data Centers
[NO] 152/200 | Characterization of Graphene Films Deposited on Glass and Their Application in Patch Antennas
[NO] 153/200 | Technology-Based Ergonomic Interventions for Preventing Musculoskeletal Disorders
[NO] 154/200 | SCED in India: The Duals Behind Dispatch
[NO] 155/200 | Design and Implementation of Intelligent Traction Device for Aircraft Maintenance Ladder
[NO] 156/200 | Interpolation Techniques for Cost-effective Channel Data Capturing and Restoration in Ultrasound Imaging
[NO] 157/200 | Research on Anomaly Data Preprocessing Technology for Deep Learning Soft Sensor Models Facing Missing Data and Fault Data
[NO] 158/200 | A Conversation Between the Founding and the Current EICs on 30 Years of Multimedia Computing
[NO] 159/200 | Development of YOLO-Based Fall Detection with Real-Time Monitoring System on Raspberry Pi 5
[NO] 160/200 | AgroFog+: Integrated IoT and AI System for Smart Greenhouse Management
[NO] 161/200 | Health Monitoring System Development for Shielding Pumps in CSNS Target Station Cooling System
[NO] 162/200 | ASDMD-GMM-UT Transfer-Driven RUL Probabilistic Prediction for Lithium-Ion Battery Packs
[NO] 163/200 | Integrating Multi-Spectral Image Fusion and Path Planning Strategies for Effective Drone-Based Search and Rescue
[NO] 164/200 | Conversational Smart Assistant on a Microcontroller with Cloud-Based LLM Function Offloading
[NO] 165/200 | Research on the Unbalanced Response Characteristics of Turbocharger Rotor System Under Transient Conditions
[YES] 166/200 | Design of Multi-Beam Intelligent Reflecting Surface for 6G Wireless Communications
[NO] 167/200 | Interpretable and Reliable Soft Sensor Development in Industry 5.0
[NO] 168/200 | IEEE Transactions on Components, Packaging and Manufacturing Technology Society Information
[NO] 169/200 | Exploratory Analysis and Temporal Dynamics of Air pollution in Bengaluru
[YES] 170/200 | A Novel Wideband X-band Amplifying Metasurface
[NO] 171/200 | Proactive Handover Management in 6G Low-Altitude Economy Networks for Aerial Vehicles Using Artificial General Intelligence
[NO] 172/200 | Neuron Membership Inference Attack in Federated Learning for bit Scenarios
[NO] 173/200 | Experimental Characterization of Commercial Reduced Graphene Oxide Nanoplatelets for RF and Microwave Device Applications
[NO] 174/200 | Multimodel Comparative Assessment and Optimal Geodetector-Driven Analysis of Aeolian Desertification in the Horqin Sandy Land
[NO] 175/200 | A Category-driven Depth-Scalable Inversion Framework for 3D GPR Data Inversion
[NO] 176/200 | A Unified Framework for Swarm Intelligence to Enhance Convergence and Reliability
[NO] 177/200 | A Study on Dispersion Characteristics of a Gyrator-Loaded CRLH-TL with an Even Number of Unit Cells
[NO] 178/200 | Artificial Intelligence in HRM: Linking Ethical Design, Digital Well-being, and Green HRM for Sustainable Performance
[NO] 179/200 | Synthetic Inertia in Small Inverters: A New Strategy Based on DC Link Current Control*
[NO] 180/200 | The Shift to Gig Economy: How Traditional Employment Stacks Up Against Platform-Based Independent Workers
[NO] 181/200 | Vaku: Web Application for the Management of Child Vaccination at the Emiro Quintero CañIzares Hospital in Ocaña
[NO] 182/200 | Knowledge-Based Behavioral Biometrics for Secure Authentication in Virtual Reality
[NO] 183/200 | KUL-BPS: A Bearing Testing Platform in Addressing Data Scarcity in Condition Monitoring
[NO] 184/200 | Reflective Photoplethysmography Sensing Interface Designs on Chest for Improved Signal Quality*
[NO] 185/200 | Advancing Transmission Use of System (TUoS) Pricing in Saudi Arabia: A Technical Exploration
[NO] 186/200 | Next-Gen Offshore Wind Year Ahead Forecasting Aided Modelling for Techno-Economic Feasibility
[NO] 187/200 | Long-Range Active Acoustic Sensing Based on Microwave Vibration Measurement
[NO] 188/200 | Active Disturbance Rejection Controller Applied to Speed Control of Electromagnetic Frequency Regulator
[NO] 189/200 | Secure Acceleration of Aggregation Queries over Homomorphically Encrypted Databases
[NO] 190/200 | Self-Recovery and Fault-Tolerant Control of Distributed Piezoelectric Stack Actuators Under Temperature Perturbation and Layer Breakdown
[NO] 191/200 | Evoked Potential-Evidenced Visual Impairment Categorization using Vision Mamba on ERG Correspondence Features
[NO] 192/200 | Soft Actor-Critic-Based Early Warning Method for Quench Risk in High-Temperature Superconducting Cables
[NO] 193/200 | Automatic Generation of Open Data-Based Traffic Simulation Model
[NO] 194/200 | Second-Order Filtering for Internal Model Control Tuned PID Controllers
[NO] 195/200 | Study of Energy Flow in a Standalone Hybrid PV/Fuel Cell System
[NO] 196/200 | Semantic Memory Synthesis: Hierarchical Knowledge Integration and Temporal Reasoning for Autonomous Agents
[NO] 197/200 | Spatial Knowledge Graph Creation and Action Prediction with Neuro Symbolic AI
[NO] 198/200 | Feasibility of Quantum Cryptography with AES for Secure Communication
[NO] 199/200 | Grounded CPW with a longitudinal slot at the bottom ground for loss reduction at the sub-THz band on glass IPD
[YES] 200/200 | Optimizing RIS-Assisted D2D Networks with Energy Constrained Nodes Using Differentiable Projection-Based Approaches
筛选完成：共 200 篇；Yes = 6 篇；已保存到 papers/select_paper2026-02-03.json。
邮件发送成功！
[2026-02-04 10:03:47] 任务执行成功！
