[2026-07-15 10:43:44] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-14
正在获取论文...
[arXiv] 2026-07-14 | Unknotting number, ribbon concordance, and singular instantons
[NO] 76/200 | Virtual Chromoendscopy with Tunable Visibility Enhancement
[NO] 77/200 | Physically Aware Radiomics Without Interpolation: Disentangling Voxel Geometry and Signal Modification in CT and MRI
[NO] 78/200 | Ring-Zero: Scaling Zero RL to a Trillion Parameters for Emergent Reasoning
[NO] 79/200 | ReDiTT: Retrieval Augmented Conditional Diffusion Transformers for Asynchronous Time Series
[NO] 80/200 | Measurement-induced phase transition in space
[NO] 81/200 | PM-Bench: Evaluating Prospective Memory in LLM Agents
[NO] 82/200 | SeamGen: Artist-Aligned UV Seam Generation via Graph Flow Matching
[NO] 83/200 | Coloring $(P_6,C_4)$-free graphs with $Δ- 1$ colors
[NO] 84/200 | Lost in Visual Translation: A VLM-Assisted Perceptual-Semantic Coherence Framework for EEG-to-Image Reconstruction
[NO] 85/200 | Implicit 4D Gaussian Splatting for Fast Motion with Large Inter-Frame Displacements
[NO] 86/200 | Cover numbers by graph families bounded by certain graph parameters
[NO] 87/200 | Reduction of relative multisymplectic manifolds
[NO] 88/200 | Forecasting Inflation with Microdata: An Adaptive Machine Learning Approach
[NO] 89/200 | Skills That Don't Exist: A Large-Scale Study of Hallucinated Skill Recommendation in LLM Agents
[NO] 90/200 | Gradient Flow Dynamics and Implicit Bias of Diagonal Linear Networks under Infinitesimal Initialization
[NO] 91/200 | Peak-Decomposition-Free Inverse Metrology of Hyperspectral Moiré Photoluminescence
[NO] 92/200 | DM-KG: A Novel Method for Boosting Spatial Cognition of Vision-Language Models in Street View Imagery
[NO] 93/200 | Meromorphic Group Actions and the Support Theorem for Lagrangian Fibrations
[YES] 94/200 | Selective avoidance of multiple line-of-sight obstacles at 130~m using locally bending space-time wave packets
[NO] 95/200 | Solvent Mixing Effect on Free-Energy Barrier and Stability for Molecular Recognition Driven by the Translational Motion of Solvent Molecules
[NO] 96/200 | Adaptive Cross-Modal Fusion with Sparse Attention for Pedestrian Crossing Intention Prediction
[NO] 97/200 | Asymptotic forms of the Ursell edge waves on a gently sloping beach
[NO] 98/200 | SlimPer: Make Personalization Model Slim and Smart
[NO] 99/200 | Auditing Data Leakage in Whole-Slide Image Multimodal Benchmarks
[NO] 100/200 | Quantum Port-Hamiltonian Neural Networks: Learning Conservative and Dissipative Dynamics via Measurement-Induced Nonlinearity
[NO] 101/200 | Assets in Motion (AIM) - Injecting life into a static and linear asset building process
[NO] 102/200 | Pashboard: Modernizing Rez for Animation
[NO] 103/200 | RAMP: Robust Ad Recommendation Under Limited Personalized-Feature Availability via Masking and Alignment Pathways
[NO] 104/200 | Author Index
[NO] 105/200 | 2026 IEEE 6th International Conference on Smart Information Systems and Technologies (SIST)
[NO] 106/200 | Ka-Band Rectangular Micro-Coaxial-Line Bandpass Filters With CT Coupling Topologies for Satcom Application
[NO] 107/200 | Modulation of Carbon-Doped Buffer on the DC and Small-Signal Characteristics of AlGaN/GaN HEMTs on Si
[NO] 108/200 | Crystal-Face-Dependent Electron Mobility Due to Distinct Interface Trap Distributions in SiC n-Channel MOSFETs
[NO] 109/200 | Finite Element Analysis of Core Loss Under High-Low Frequency Composite Wave Excitation
[NO] 110/200 | Physically Informed Generalized Graph Signal Reconstruction for DoA Estimation in Switch-Based Hybrid Arrays
[NO] 111/200 | From Virtual Live Entertainment to Real-Time Telepresence: Interoperable and Latency-Aware End-to-End Avatar Pipelines
[NO] 112/200 | Generalized Udwadia–Kalaba-Based Robust Control for Humanoid Robot Lower Limbs Under Comprehensive Constraints
[NO] 113/200 | SMP-RCR: A Sparse Multipoint Moment Matching Method for RC Reduction
[NO] 114/200 | Beyond Carving: Deterministic Deleted File Recovery in Btrfs
[NO] 115/200 | A series pulse multiplication circuit to reduce the autotransformer rectifier input current THD of electric-powered aircraft
[NO] 116/200 | A Coupling Matrix Assisted Multi-Objective Optimization Scheme for Filters With Arbitrary Topology
[NO] 117/200 | Bias correction of satellite precipitation products near the data-scarce region of Al-Ahsa, Saudi Arabia_supp1-3708749.docx
[NO] 118/200 | Optimal Techno-Economic Assessment of Battery–Hydrogen Hybrid Energy Systems Using Genetic Algorithms and LSTM-Based Solar Forecasting
[NO] 119/200 | Interference in Spectrum-Sharing Integrated Terrestrial and Satellite Networks: Modeling, Approximation, and Robust Transmit Beamforming
[NO] 120/200 | An Autonomous Flight System for Small-Sized Drones Using Circular Buffered Hash Data Structure
[NO] 121/200 | Environment-Aware Path Loss Prediction Using Panoramic Images for Vehicular Communications
[NO] 122/200 | Evaluation on the AC Copper Loss of an Axial Flux Vernier Machine with Different Winding Layouts
[NO] 123/200 | Multimodal Fusion of EIS and Fiber-Optic Features for Cross-Chemistry SOC Estimation
[NO] 124/200 | Universal Framework for Integrating New Concepts Into Ontologies Across Multiple Domains
[NO] 125/200 | Design and Performance Assessment of Intermediary Coils for Misalignment Tolerance Improvement in Wireless Power Transfer Systems
[NO] 126/200 | Electric Engine Technology Review in eVTOL Aircraft for Transportation Electrification
[NO] 127/200 | Scalable User Admission Control in Large-Scale Cell-Free Massive MIMO
[NO] 128/200 | A Deep Learning Model for Anomaly Detection in Video Using Object Segmentation and Localization
[NO] 129/200 | Simulation and Optimization of a Hybridized Solar PV-CHP-Biomass Energy System using the Differential Evolution Algorithm
[NO] 130/200 | Asymmetric Reliability-Enhanced Scheduler Based on Heterogeneous Cellular Networks in Remote Driving Scenarios
[NO] 131/200 | Flying-Wing UAS Multi-Objective Design Optimization via Cross-Entropy Method
[NO] 132/200 | Contribution-Aware Coalition Federated Learning in Edge-Assisted Healthcare Monitoring Systems
[NO] 133/200 | A Single-Phase Eleven-Level Inverter with Asymmetrical T-Type Structure
[NO] 134/200 | Analyzing Discovery Dynamics in Zigbee IoT Networks
[NO] 135/200 | Design of a Low-Frequency Enclosed Differential Driver-Pickup Eddy-Current Sensor for Surface Defect Detection in Reformer Tubes
[NO] 136/200 | Q-Learning for 3D Coverage in VCSEL-based Optical Wireless Systems
[NO] 137/200 | VN-Dict: Lightweight Authenticated Spatial Queries over Hybrid-Storage Blockchain
[NO] 138/200 | E-Health: AI based Stroke Prediction with Optimized Active Learning using Fog Computing
[NO] 139/200 | Correlation between Magnetism and Stacking in Sr Hexaferrites
[NO] 140/200 | Trajectory Tracking Control Design for Autonomous Helicopters with Guaranteed Error Bounds
[NO] 141/200 | Comparison of Single-Stage and Two-Stage Isolated High Power AC/DC Converter
[YES] 142/200 | Joint CFAR and Resource Allocation Optimization for Distributed 6G ISAC Systems
[YES] 143/200 | Learning-Based Resource Management and Bitrate Adaptation for UAV Video Streaming over Low-Altitude Wireless Networks
[NO] 144/200 | An Effective Underwater Acoustic Physical Layer Encryption Communication Mechanism based on Dynamic Spatio-temporal Channel Feature
[NO] 145/200 | Development of a Digital Twin for Electrified Aircraft Powertrain Health Management
[NO] 146/200 | Optimization and Fuel Property Characterization of Bio-oil from Catalytic Pyrolysis of Achyranthes aspera Wood Residue Using Zeolite Y Catalyst
[NO] 147/200 | Design and Implemetation of a Smart Temperatutecontrolled Environment Using Microcontroller and Fuzzy Logic
[NO] 148/200 | BEOL-Compatible Spin-Orbit Torque Device Enabled by a Noncollinear Antiferromagnet
[NO] 149/200 | Location-Informed Edge Server Selection in Integrated Access Backhaul-Enabled 6G Networks
[NO] 150/200 | Strategies for the Disposal of Spacecraft of the National Earth Remote Sensing Constellation of the Republic of Kazakhstan
[NO] 151/200 | Reliable LLM-enabled Intent-driven Management: A Validation pipeline for Network Automation
[NO] 152/200 | Broadband Double-Layer Electromagnetic Wave Absorber Using $\text{Nd}_{2} \text{Fe}_{17} \mathrm{N}_{3}$ with Planar Magnetocrystalline Anisotropy
[NO] 153/200 | Design of a Phase-Shifted Full-Bridge Converter for Intermediate Bus Architecture
[NO] 154/200 | Universal Costas Matrices: Towards a General Framework for Costas Array Construction
[YES] 155/200 | Beamforming for Multiuser LEO Satellite Communications with Irregular Tiled Array
[NO] 156/200 | A Unified Off-Board Charger for Three-Phase Inductive and Single-Phase Conductive EV Charging
[NO] 157/200 | Common Mode Voltage Mitigation in Wireless Charging of Electric Vehicles
[NO] 158/200 | The Classical Mechanics Methods in Problems of Optimization of Robotic Systems Using the Niryo one Platform
[NO] 159/200 | Unleashing Uplink Potential: AI-Driven Channel Selectivity Matching via Compressed Channel State Information
[NO] 160/200 | Mathematical Modeling of Security-Aware Cyber-Physical Systems Using Pseudodifferential Operators
[NO] 161/200 | Satellite-Based Deep Learning Models for Mineral Exploration
[YES] 162/200 | Robust Beamforming for Multi-UAV Systems under Attitude Jitter via Multi-Agent Reinforcement Learning
[NO] 163/200 | New Results On q-Shaba Differential Operator on Subfamily of Bi-Starlike Functions linked with Four Leaf Domain
[NO] 164/200 | Magnetic Tunnel Junctions for Reservoir Computing Applications
[NO] 165/200 | Assessment of Biomechanical Parameters of Physical Exercises Based on Computer Vision
[NO] 166/200 | Easy-Axis Reorientation Analysis of Magnetic Nanoparticles Using BD-kMC Simulations
[NO] 167/200 | Simultaneous Source Separation, Synchronization, Localization and Mapping for 6G Systems
[NO] 168/200 | Coupling of Multi-Scale Investigation Methods to Study Microstructural Related Magnetic Properties and Domain Structure of Electrical Steel Material
[NO] 169/200 | CA-AC-MPC: CUDA-Accelerated Actor-Critic Model Predictive Control
[NO] 170/200 | Optimized Resource Orchestration for LoRa Networks in CS-enabled SHM
[NO] 171/200 | DILoc: Replay-Based Domain-Incremental Learning for Lifelong Multimodal WiFi–Magnetic Indoor Localization
[NO] 172/200 | How Ubiquitous Slow Charging Saves Transportation Electrification Costs in Metropolitan Areas
[NO] 173/200 | SALT-V: Lightweight Authentication for 5G V2X Broadcasting
[NO] 174/200 | From Ghosts to Beams: Radar-Guided LoS/NLoS Beam Alignment for 60 GHz Communication
[NO] 175/200 | DQRL-Based Dynamic Resource Allocation for Energy-Spectral Efficient Next-Generation Clustered Radio Access Networks
[NO] 176/200 | A Review of Soil Characterisation and Effects on Grounding Systems for Effective Lightning Current Dissipation
[NO] 177/200 | Learnware-Enabled Deployment for Deep Learning-based CSI Feedback
[NO] 178/200 | CSIT-Driven Spectral Precoding for Sidelobe Suppression in Multicarrier Modulation
[YES] 179/200 | Enhanced Physical Layer Authentication via Robust and Trustworthy Sensing
[NO] 180/200 | Augmented Edge–Cloud Service Orchestration: A Twin-Driven Coupling approach
[NO] 181/200 | Security Evaluations of Post-Quantum Cryptographic Primitives Against Quantum and AI-Based Attacks
[YES] 182/200 | A Three-Dimensional Path Loss Model for THz Band Aerial Communications
[NO] 183/200 | Joint Constrained Coding and Iterative Consensus Reconstruction for DNA-Based Molecular Communication
[NO] 184/200 | An Adaptive Method for Cybersecurity Requirements Management in Software Implementation
[NO] 185/200 | Learning to Separate RF Signals Under Uncertainty: Detect-Then-Separate vs. Unified Joint Models
[NO] 186/200 | Synergizing Standards of Project Management With Ai-Driven Support: Challenges and Opportunities for Future Project Governance
[NO] 187/200 | Causal AI Framework for Treatment Effect Estimation in Cardiovascular Disease Risk Analysis
[YES] 188/200 | UAV-Enabled Short-Packet Communication via Fluid Antenna Systems
[NO] 189/200 | MoESEC: A Mixture of Experts Framework for Edge Semantic Communication Networks
[NO] 190/200 | Comparative Analysis and Torque Optimization of Three Types of Rotors in Permanent Magnet Synchronous Motors
[NO] 191/200 | Care-Setting Prediction Using Complete Blood Count Data Under Class Imbalance
[NO] 192/200 | Investigation of Interleaved High Power, High Step-up DC/DC Converters for Fuel Cell Range Extender Vehicles
[NO] 193/200 | Congestion-Aware Ant Colony Optimization for Time-Varying Networks in All-Optical Satellite Systems
[NO] 194/200 | ReFLect: A Reputation-based Client Selection for Federated Learning in Mobile Networks
[NO] 195/200 | Adaptive and Predictive Control of UAS in Train-Drone Delivery System
[NO] 196/200 | Spinning Quadrotor: Hover Thrust Augmentation with Passive Lifting Surfaces
[NO] 197/200 | SPSA-Based Successive Beamforming for Mobile Satellite Receivers with Phased Arrays
[NO] 198/200 | Flexible-Sector 6DMA: Joint Sector Rotation and Antenna Allocation Optimization
[NO] 199/200 | Financial Dimensions of ETS Mechanisms in Advancing Sustainable Development
[NO] 200/200 | QoS-Aware Effective Energy Efficiency Power Allocation for Slow FAMA Systems
筛选完成：共 200 篇；Yes = 9 篇；已保存到 papers/select_paper2026-07-14.json。
邮件发送成功！
[2026-07-15 11:13:30] 任务执行成功！
