[2026-02-25 09:47:46] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-02-24
正在获取论文...
[arXiv] 2026-02-24 | A Time-Varying and Covariate-Dependent Correlation Model for Multivariate Longitudinal Studies
[NO] 84/200 | LogicGraph : Benchmarking Multi-Path Logical Reasoning via Neuro-Symbolic Generation and Verification
[NO] 85/200 | Is Multi-Distribution Learning as Easy as PAC Learning: Sharp Rates with Bounded Label Noise
[NO] 86/200 | Symmetr: a Python package for determining symmetry properties of crystals
[NO] 87/200 | Exchangeable Gaussian Processes for Staggered-Adoption Policy Evaluation
[NO] 88/200 | Optimal QAM Constellation for Over-the-Air Computation in the Presence of Heavy-Tailed Channel Noise
[NO] 89/200 | A Modular Multi-Document Framework for Scientific Visualization and Simulation in Java
[NO] 90/200 | The Brauer group of a Stein algebra
[NO] 91/200 | Robinson spaces and their representation in low-dimensional metric spaces
[NO] 92/200 | International AI Safety Report 2026
[NO] 93/200 | Telemetry-Based Server Selection in the Quantum Internet via Cross-Layer Runtime Estimation
[NO] 94/200 | Lost in Projection? Gaussian Filtering Recovers Hidden Conformational States
[NO] 95/200 | Black hole-Neutron star distinction based on long-term MAXI and Swift study of 42 low mass X-ray binaries
[NO] 96/200 | CrystaL: Spontaneous Emergence of Visual Latents in MLLMs
[NO] 97/200 | Toward an Agentic Infused Software Ecosystem
[NO] 98/200 | A generalization of a result of Hegedüs
[NO] 99/200 | Quasi-geostrophic Rayleigh-Bénard convection on the tilted $f$-plane
[NO] 100/200 | Perturbative anomalies in quantum mechanics
[NO] 101/200 | UAV Joint Scheduling for Optimizing Charging and Data Collection in Wireless Rechargeable Sensor Networks
[NO] 102/200 | ECT Imaging Based on Fractional-Order Particle Filtering and Image Super-Resolution
[NO] 103/200 | Predefined-Time Coordination Control for Nonlinear Multiagent Systems Governed by Diffusion PDEs Model
[NO] 104/200 | IEEE Power &amp; Energy Society Information
[NO] 105/200 | Best Papers and Star Reviewers
[NO] 106/200 | Online Learning for Fickle Data Streams without Labels_supp1-3665744.pdf
[NO] 107/200 | Open-World Verification: A Grand Challenge for Autonomous Systems
[NO] 108/200 | Time-invariance of distribution system security region considering flexible resources
[NO] 109/200 | Cache-Aware Association Strategies for Energy-Efficient MEC-Enabled IIoT Networks
[YES] 110/200 | Dynamic Normalization TD3-Based Task Offloading for UAV-Assisted Collaborative Computing
[NO] 111/200 | Beyond Subject-Specific Models in Dynamical Human&amp;#x2013;Machine Interaction: Benchmarking and Optimization Strategies_supp1-3662308.pdf
[NO] 112/200 | Test-retest reliability and preliminary reference data for the Virtual Eggs Test in healthy adults
[NO] 113/200 | Reconstructing Sparse-view Indoor Scenes in View Space with Global Monocular Prior Alignment_supp2-3667058.mp4
[NO] 114/200 | Automatic Phase Calibration for High-Resolution Mmwave Sensing Via Ambient Radio Anchors
[NO] 115/200 | Longtime Adaptive Coherent Detection in Heterogeneous Compound-Gaussian Sea Clutter
[NO] 116/200 | Organizing Committee
[NO] 117/200 | Author Index
[NO] 118/200 | Message from General Chair and Program Chairs
[NO] 119/200 | Keynotes
[NO] 120/200 | On the Design of Weakly Coupled Crossed Ridge Gap Waveguides With Over 3:1 Bandwidth Ratio
[NO] 121/200 | An Intelligent Infusion Monitoring System with Capacitively Coupled Contactless Conductivity Detection-based Dual Sensing Capabilities_supp3-3665960.pdf
[NO] 122/200 | Laser-induced dewetting of gold thin films on optically engineered substrates_supp1-3665139.docx
[NO] 123/200 | ACSAC Capture-the-Flag Organizing Committee: ACSAC 2025
[NO] 124/200 | Message from the Patron
[NO] 125/200 | Efficient SoC Power Estimation With Machine Learning
[YES] 126/200 | Full-Duplex Cooperative Rate-Splitting and Precoding for Finite Blocklength Transmission
[YES] 127/200 | Optimization of Sensing Coverage and Resource Efficiency in ISAC Systems
[NO] 128/200 | Energy Efficient Tradeoff Scheme for UAV-Assisted Wireless Sensor Network Data Collection
[NO] 129/200 | Multi-Site MRI Harmonization via Content-Style Disentanglement
[NO] 130/200 | Conventional Zero-Shot Learning with Semantic Graph-Enriched Non-Adversarial Synthetic Features
[NO] 131/200 | MOEVIL: Poisoning Experts to Compromise the Safety of Mixture-of-Experts LLMs
[NO] 132/200 | Surface Treatment for Wafer Bonding Using Atmospheric Water Vapor Plasma Technology
[NO] 133/200 | Reliability Evaluations of Pb-Free Solder Joint Formed Using Sn-Ag-Cu Solder Ball and Sn-Bi-Ag Solder Paste
[NO] 134/200 | SVPrompt-MR: An LLM-Based Metamorphic Relation Identification Method with Self-Verification Mechanism
[NO] 135/200 | MSPM: A Multi-Strategy Prompting Method for Goal-Oriented Modeling from User Stories
[NO] 136/200 | APILOT: Improving the Security and Usability of LLM Code Suggestions via Outdated API Mitigation
[YES] 137/200 | PIM-ORAM: Towards Oblivious RAM Primitives in Commodity Processing-In-Memory
[NO] 138/200 | Exploring the Role and Practice of Implementation Artificial Intelligence (AI) in ERP Systems: A Bibliometric and Systematic Literature Review
[NO] 139/200 | Multi-Agent Proximal Policy Optimization for Dynamic Spectrum Access in Low-Altitude Intelligent Networks
[NO] 140/200 | Developing in-House AI Using LSS Simulation and the BCGC Model: A Strategic Innovation Framework
[NO] 141/200 | Atmospheric Turbulence Prediction Based on Optimal Feature Extraction and Integrated Long Short-Term Memory Networks
[NO] 142/200 | AI-Powered Sensor Fusion and IoT Model for Mitigating Wildlife Threats in Agriculture
[NO] 143/200 | Automatic Segmentation and Spatial Feature Extraction for Echogram Labeling in Acoustic Target Classification
[NO] 144/200 | Research on the Design of Multi-Unit Power Take-Off System for Wave Energy Converter
[NO] 145/200 | Frequency-Domain Anti-Interference Coding for Cognitive Spectrum-Division Transmission Systems
[NO] 146/200 | Optimal UHF Sensor Placement for Partial Discharge Localization in Digital Twin Open-Space Substation
[NO] 147/200 | Fabrication of Parylene-Aluminum Redistribution Layer Interposer for Sensor Packaging Applications
[NO] 148/200 | Enhancing GNN Learning on Relational Databases using Semantic Clustering-based Graph Enrichment
[NO] 149/200 | Improving Cache Performance using a Learned Replacement Policy
[NO] 150/200 | Autonomous Obstacle Avoidance System for Spider parallel robot Based on Deep learning visual Perception
[NO] 151/200 | Human-in-the-Loop AI for Waste Segregation: Accuracy, Equity, and Pathways to Scale
[NO] 152/200 | Fed-DCL: A Federated Dual-Continual Learning Framework for Adaptive Electric Power Load Forecasting Under Concept Drift
[NO] 153/200 | AI Agents in Healthcare: A Survey of Applications, Resources, and Challenges
[YES] 154/200 | Performance Analysis of FAS-Assisted RSMA Communication System
[NO] 155/200 | Physics Informed TCN-eKAN for Aeroengine Rotor Anomaly Detection
[NO] 156/200 | Sustainable Flexible Wearable Antenna Using Rubber Substrate for Wireless Body Area Networks
[NO] 157/200 | Behdiffnet: A Hierarchical Diffusion Model for Behavior-Aware Network Traffic Generation
[NO] 158/200 | Research on the Improvement of New Energy Incentive Policies Under the Electricity Marketization Reform
[NO] 159/200 | A Fault Detection Method for 5G Core Networks Based on Graph Attention Networks
[NO] 160/200 | Service Quality of Indonesian Customs Information and Automation System Version 4.0 and Stakeholders' Satisfaction-A Mediation Analysis
[NO] 161/200 | UCapsNet: A Hybrid Deep Learning Model for Breast Cancer Classification
[NO] 162/200 | SplitFedEE: Balancing Communication and Accuracy
[NO] 163/200 | One-Shot Masked Face Identification via Contrastive Representations
[NO] 164/200 | A Multimodal and Real-Time Approach for Low-Resource Language Emotion Recognition
[NO] 165/200 | Research on Evaluation Method of Power Regulation Capability of Urban Industrial Loads
[NO] 166/200 | Resource-Aware Dual-Granularity Synchronization Strategy for Transportation Digital Twin
[NO] 167/200 | Frequency-Aware Native Resolution Assessment of 8K Omnidirectional Images
[NO] 168/200 | PV Module Handling and Installation Car Based on Visual Recognition
[NO] 169/200 | Transformer-Driven Spatio-Temporal Modeling for Explainable Traffic Accident Hotspot Forecasting
[NO] 170/200 | SkipSymNet: Skip-Connected Symmetric Network for Robust Small-Sample NIR Spectroscopy
[NO] 171/200 | Attention-Enhanced Computer-Aided Diagnosis System for Accurate Classification of Brain Tumor
[NO] 172/200 | Fall Detection Based on Radar Sensor with Point Cloud Data using Pointnet-Based Deep Learning
[NO] 173/200 | Smart Book Recommendation System with Item-Based Collaborative Filtering to Improve Resource Discovery: A Case Study in Bandung Library
[NO] 174/200 | LLM for Telecom Fraud SMS Annotation &amp; Classification: Integrating RAG and Multimodal Knowledge Enhancement
[NO] 175/200 | Artificial Neural Network Technique for Non-Latin Ancient Manuscripts' Character Recognition
[NO] 176/200 | Deep Neural Networks for Automated Detection of Arrhythmia and Coronary Artery Disease
[NO] 177/200 | A CFD Analysis on the Cornerfill Encapsulation Process in BGA Package Subjected to Varying Dispensing Paths
[NO] 178/200 | Adaptive Inertia Forecasting via Quantile Regression and KDE–GPD Fusion
[NO] 179/200 | On Optimal Energy Efficiency in Low-Rate Wireless Personal Area Networks
[NO] 180/200 | Parametric Analysis of Diamond-based Lateral Heat Extraction in 3D Heterogeneous Electronic Systems
[NO] 181/200 | Interfacial Reactions of BiIn and SnBi Solders React with Cu Substrate
[NO] 182/200 | Priority-Aware Drone Scheduling Using Multi-Armed Bandits with Upper Confidence Bound
[NO] 183/200 | Chip Stacking: Impact of Chip Spacing in C2W Hybrid Bonding on Temporary Bonding and Debonding
[NO] 184/200 | Carousel: A High-Resolution Dataset for Multi-Target Automatic Image Cropping
[NO] 185/200 | Digital Twin and AI-Driven Data Augmentation for Defect Identification in Renewable Energy Equipment
[NO] 186/200 | Optimizing Voting Ensemble Strategies for Classifying Student Anxiety Levels Based on Narrative DAAS Responses
[NO] 187/200 | Multiclass Classification of Skin Lesions from Imbalanced Dataset A Comparative Analysis of Pretrained Transfer Learning Models
[NO] 188/200 | Capacity Planning Strategy for Photovoltaic-Storage-Charging Integrated Stations Considering Sourceload Uncertainty and Battery Aging Characteristics
[NO] 189/200 | Design for Testability for VLSI Circuits with A Large Number of Unknown Test Response Sources
[NO] 190/200 | Joint Recommendation and Inventory Optimization in Cross-Border E-Commerce via Multimodal PinSAGE and SAC
[NO] 191/200 | Enhancing Wafer Bonding Strength Via Surface and Dielectric Modification Using Plasma Activation Process
[NO] 192/200 | Attentive Routing: Feasible Routing via Communication-Aware Attention in LEO Satellite Networks
[NO] 193/200 | Timing Estimation for Deep Space Optical Communication Signals
[NO] 194/200 | An Improved K-means Algorithm based on Density-Weighted Canopy for Typical Wind Power Scenario Extraction
[NO] 195/200 | Entropy-Guided Active Learning Framework with Hybrid Acoustic and Deep Self-Supervised Features for Dysarthria Detection
[NO] 196/200 | FRGDM: Pre- to Post-Contrast Medical Image Synthesis Based on Diffusion Models
[YES] 197/200 | Transfer Learning Enabled Human Imaging in RIS-Aided Communication Systems
[NO] 198/200 | Mesh-Based Planning for Distribution Networks Considering the Risk of Voltage Imbalance
[NO] 199/200 | Real-Time Anomaly Detection of Advanced Persistent Threats Using Generative Adversarial Networks
[NO] 200/200 | On the Natural Frequency of a Coriolis Vibration Gyroscope with a Cylindrical Resonator
筛选完成：共 200 篇；Yes = 7 篇；已保存到 papers/select_paper2026-02-24.json。
邮件发送成功！
[2026-02-25 10:13:01] 任务执行成功！
