[2026-07-14 10:39:56] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-13
正在获取论文...
[arXiv] 2026-07-13 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[NO] 75/200 | Destabilization of temperature-gradient-driven plasma turbulence by equilibrium $\vec{E}\times \vec{B}$ flow shear
[NO] 76/200 | How Temperature Shapes Ideological Discourse in Retrieval-Augmented Generation?
[NO] 77/200 | Néron--Severi groups of proper schemes over finite fields
[NO] 78/200 | A way to constrain a graviton mass from astronomical observations
[NO] 79/200 | A Fokker-Planck approach to a stochastic multiplicative wealth model with taxation and redistribution
[NO] 80/200 | When Local Monitors Miss Compositional Harm: Diagnosing Distributed Backdoors in Multi-Agent Systems
[NO] 81/200 | HiFi-LLP: High-Fidelity, Low-Cost Latency Predictors with Confidence for Robust HW-NAS
[NO] 82/200 | Philosopher and Prophet Inequalities for Divisible Items
[NO] 83/200 | AutoPath: Learning Transferable Goal-Conditioned Stochastic Path Prior for Safe Navigation Without Human Demonstrations
[NO] 84/200 | Ab initio calculations of two-neutrino and neutrinoless double-$\boldsymbolβ$ decay of $^{48}$Ca and related Gamow-Teller strength distributions
[YES] 85/200 | Deploying and validating a metropolitan QKD secure network: architecture and field performance
[NO] 86/200 | Inf-Sup Neural Networks for High Dimensional PDEs
[NO] 87/200 | Contextual Stochastic Optimization with Decision-Dependent Uncertainty via Nonparametric Learning
[NO] 88/200 | VoxENES 2026: Benchmarking Generalization of Speech Spoofing Detectors Against LLM-Era TTS and Voice Conversion
[NO] 89/200 | Production and Perception in LLMs: A Token Probability Approach
[NO] 90/200 | $\mathtt{Q^2SAR}$: overcoming classical bottlenecks in drug discovery via quantum multiple kernel learning
[NO] 91/200 | Targeting DNA Methylation: New Paradigms and the Advent of Gene-Selective Tools
[NO] 92/200 | Think Through a Bottleneck: Hourglass Reasoning for Rigorous Induction
[NO] 93/200 | Normal ordering in the $(p,q)$-deformed generalized Weyl algebra. III: The binomial formula
[NO] 94/200 | Self-Healing Visual Recovery for Autonomous Ground Vehicles Using Camera-Only Visual Odometry
[NO] 95/200 | Illuminant-Adaptive 3D Lookup Tables for Camera Color Correction
[NO] 96/200 | Electronic tuning of the soft-phonon transport anomaly in Ta$_2$Ni(S$_x$Se$_{1-x}$)$_5$
[NO] 97/200 | The flexibility of $m$-suspensions constructed via a local slice
[NO] 98/200 | Up, Up, and Away? Quantifying ISM Fallback using Ram Pressure Stripping Simulations
[NO] 99/200 | Unstable magnetospheric accretion on the T Tauri star TW Hya
[NO] 100/200 | How to Tame Grokking: Representation Geometry as a Control Signal
[NO] 101/200 | Performance Evaluation of a Lightweight Threshold-Based Distributed Encryption Architecture for IoT Data Offloading
[NO] 102/200 | MORPHEUS: A Multidimensional Framework for Modeling, Measuring, and Mitigating Human Factors in Cybersecurity
[NO] 103/200 | Beyond Rendering Generation: A Production-Aware AI Co-creation System for Suzhou Ming-Style Furniture Cultural Heritage
[NO] 104/200 | Hyphae of Kindness
[NO] 105/200 | Laser-Induced Gettering Enables Substrate-Free 4H-SiC Radiation Detectors
[NO] 106/200 | Knowledge Base Identification and Adaptation for End-to-end Semantic Communication
[NO] 107/200 | Topology Optimization of Magnetocardiographic Array Based on Cardiac Electromagnetic Simulation Model
[NO] 108/200 | NAS-HPO-Bench-II-Plus: A Surrogate Benchmark Dataset toward Practical Scenarios in Joint Neural Architecture Search and Hyperparameter Optimization
[NO] 109/200 | iFEMG-Based Muscle Function Assessment for Rehabilitation Monitoring after Knee Anterior Cruciate Ligament Repair Surgery
[NO] 110/200 | Calling the Shots: Constraint-Aware Honeypoint Orchestration for Cloud-Native Anomaly Response
[NO] 111/200 | LLM-Empowered Agentic MAC Protocols: A Dynamic Stackelberg Game Approach
[NO] 112/200 | A Rigid-Flexible Integrated Ankle Dorsiflexion Exoskeleton for Gait Assistance: Design, Control, and Characterization
[NO] 113/200 | Design and Sensing Mechanism of Flexible Sensors for Lithium-Ion Battery Energy Storage Safety
[NO] 114/200 | A Risk-Based Stochastic Two-Stage Optimization Framework for Virtual Power Plants: The Role of Energy Storage Systems and Demand Response
[NO] 115/200 | Bridging Stochastic Interference and Deterministic Scheduling: An Automated Design Framework for Heterogeneous Embedded Systems
[NO] 116/200 | A Shank Angle-Based Control System Enables Soft Exoskeleton to Assist Human Non-Steady Locomotion_supp1-3710825.pdf
[NO] 117/200 | GLCT: A Novel Global-Local Constraint for Unpaired Image-to-Image Translation
[NO] 118/200 | SeHID: Semantics-enhanced Heartbeat Identification for Robust BCG Monitoring in Arrhythmia Patients
[NO] 119/200 | IEEE Magnetics Society Information
[NO] 120/200 | BlackSeaCom 2026 Index Page
[NO] 121/200 | TrustCardio: A Multimodal Large Language Model with Chain-of-Thought Explainability for Personalized Vascular Age Prediction via Edge-Enabled Wearable Devices
[NO] 122/200 | Online Force Sharing Function for Radial Force Ripple Suppression of Switched Reluctance Machines
[NO] 123/200 | Unsupervised Anomaly Detection in Hospital Financial Statements: A Multi-Algorithm Consensus Approach with Explainable AI
[YES] 124/200 | An SIC-Free Dual-Domain RSMA Strategy via AFDM-OFDM Coexistence for 6G Networks
[NO] 125/200 | A High Efficiency Twin-Bus Type Quasi-Single-Stage ICPT System for 800V Input, Low Voltage and High Output Current Applications
[NO] 126/200 | Enhancing Precision in Light Exposure Monitoring: A Novel Neural Networks-based Spectral Reconstruction Method for Wearable Light Sensors
[YES] 127/200 | Low-Complexity Channel Estimation Based on CAZAC Sequence for OTFS Modulation
[NO] 128/200 | Real-Time Demonstration of 228.48 Pb/s·km Transmission over 5×80-km 7-Core Fiber with 1.2-Tb/s/λ Transceivers across 12-THz C+L Band
[NO] 129/200 | A spectral upsampled optical coherence tomography for a high signal-to-noise ratio at deeper range
[NO] 130/200 | Design of a Compact Deuteron RFQ Accelerator for BNCT based on D-
                    <sup>13</sup>
                    C reaction
[NO] 131/200 | SymBOL: A General-Purpose Symbolic Learner for Scientific Discovery Using Bayesian Optimization-Enhanced Large Language Models
[NO] 132/200 | A Self-Calibrated Magnetic-Field Detection System Based on AM/FM Dual-Mode Lorentz Force Magnetometer
[NO] 133/200 | Smart City Routing with RPL: Advances in Computational Intelligence and IoT Connectivity
[NO] 134/200 | Scaling Vehicle-to-Grid Services in Europe: A Smart Grid Architecture Model
[NO] 135/200 | Study of Gas Formation in Essential Oil Mixtures under the Influence of Electrical Discharges
[NO] 136/200 | CNN-based classification model for Detecting and differentiation of pneumonia
[NO] 137/200 | Fundus Image-Based Diabetic Retinopathy Detection and Grading
[NO] 138/200 | Joint Power and Resource Block Allocation for Delay-Reliable Downlink XR Scheduling in 6G
[NO] 139/200 | End-to-End AI Agent System for MRI-Based Alzheimer’s Disease Detection and Explainability Using Machine Learning
[NO] 140/200 | Scalable, Secure and Persistent Natural Language Interfaces for SQL Databases
[NO] 141/200 | Design and Implementation of a Dual Antenna Switching System Based on Signal Quality Estimation Using Software Defined Radio
[NO] 142/200 | Robust Automatic Modulation Classification Using RGB Density-Based Constellation Diagram Decomposition
[NO] 143/200 | Model Predictive Control Framework of Low-Power DC-DC Boost Converters: Discrete Time Modeling, Predictive Switching, and Performance Analysis
[NO] 144/200 | On the Application of Meta-Heuristics Algorithms to Improve the Classification Robustness of the WiFi Network Saturation Condition
[NO] 145/200 | Slot-loaded Fractal-inspired Antenna for Wireless Applications
[NO] 146/200 | A Selective Machine Learning Approach for Double-Threshold Spectrum Sensing
[NO] 147/200 | Edge AI-Based Real-Time Fault Diagnostics for Industrial Motors Using Lightweight Neural Networks
[NO] 148/200 | Assets in Motion (AIM) - Injecting life into a static and linear asset building process
[NO] 149/200 | Pashboard: Modernizing Rez for Animation
[NO] 150/200 | From Answer-First to Decision-First: An Interaction Pattern for Creative Judgment in AI Chat
[NO] 151/200 | "Illustration of the subconscious mind": Reinterpreting Dream Material as Artistic Creative Workflows Supported by Generative AI
[NO] 152/200 | Linea Viva: A Single-Line Live Score for Embodied Drawing-and-Sound Performance
[NO] 153/200 | Cute for Good
[NO] 154/200 | A Cabinet of Affective Touches: Building Design Repository Linking Somatic Experience with Soft Robotic Systems
[NO] 155/200 | PlaSphere: An Immersive Hybrid Ecology of Plastiglomerates
[NO] 156/200 | The Blooming Archive
[NO] 157/200 | Tagus Multispecies Atlas: Fostering affective multispecies interactions through counter-mapping.
[NO] 158/200 | Language as a Material Interface for Creative LLM Interaction
[NO] 159/200 | How Creative Design Teams Make Sense of Contrasting AI Personas
[NO] 160/200 | Bridging the Reality Gap in Tampered Text Detection: A Human-Crafted Real-World Dataset and a Text-Centric Approach_supp1-3705334.pdf
[NO] 161/200 | BlackSeaCom 2026 Ad Page
[NO] 162/200 | Fast and Flexible FEM-Tensor Model for Inter-Turn Short-Circuit Faults in Induction Machines
[NO] 163/200 | Internal-Dynamics-Guided Stabilization Framework for MMC-Based Systems
[NO] 164/200 | Secure Split Offloading and Trajectory Design for UAV-Assisted Multi-Exit Collaborative DNN Inference_supp2-3708394.pdf
[NO] 165/200 | Single-Stage Graph-Based Floorplan Generation
[NO] 166/200 | RA-SCIC: Region-Aware Screen Content Image Coding Towards Fidelity and Efficiency
[NO] 167/200 | HQDL: A Hybrid Quantum-Deep Learning Framework for Real-Time Fire Detection Using UAV Remote Sensing
[NO] 168/200 | A Plug-and-Play Data-Centric Training Framework for Efficient Hyperspectral Image Classification
[NO] 169/200 | A Psychometrically Optimized Imagery Approach for the Chinese Multifaceted Empathy Test
[NO] 170/200 | Sleeper-Encoded Localization Method: A Mileage Precision Localization Approach for Railway Maintenance
[NO] 171/200 | QLIMB: End-to-End Whole-Body Control for Quadruped Loco-Manipulation and Balance on Complex Terrains
[NO] 172/200 | Multi-Criteria Optimization of Cu-Modified Screen-Printed Carbon Electrodes Towards Salivary Creatinine PoC Monitoring
[NO] 173/200 | Utilizing Adaptive Gamification in an Intelligent Tutoring System for Software Engineering Education
[NO] 174/200 | Agentic Workflows are Serverless Applications, so deploy them that way!
[NO] 175/200 | A2-D Broadband Fixed-Beam Leaky-WaveAntenna with Customizable Tilted Beam Directions
[NO] 176/200 | SAND: The Challenge on Speech Analysis for Neurodegenerative Disease Assessment
[NO] 177/200 | Temporal Risk Forecasting of Infrastructural Health Using Deep Learning with Attention Mechanism
[NO] 178/200 | A Comprehensive Framework for Robust Laser Stripe Extraction and Restoration on Highly Reflective Metal Surfaces
[NO] 179/200 | Applicability of Displacement Damage Equivalence Method in InP/InGaAs Avalanche Photodiodes Under Various Particle Irradiations
[NO] 180/200 | Censored Regression Over Route-Constrained Incremental Adaptive Networks
[NO] 181/200 | Influence of Gate Insulator Modulation on the Electrical and Material Properties of Dual-Gate InGaZnO Thin-Film Transistors
[NO] 182/200 | AttGTS: A Lightweight Contrastive-Free Grid-Tagging Model with Scheduled Token-Level Attention for Aspect Sentiment Triplet Extraction
[YES] 183/200 | Tobit Recursive Filtering for Networked Nonlinear Systems Against Random Man-in-the-Middle Attacks: An Attack Detection Mechanism
[NO] 184/200 | Amplitude-Aided PHD Filtering for Unresolved Swarm Tracking
[NO] 185/200 | Design Optimization of Hemispherical Conformal Phased Array Based on Partitioning and Hybrid Grouping Strategies
[NO] 186/200 | Anti-Vulnerability Topology Design of LEO Satellite Networks With Node/Link Failure_supp1-3709644.pdf
[NO] 187/200 | An Energy-Efficient Channel-Wise Segmented Sparse BNN Accelerator With Algorithm–Hardware Co-Optimization for Gesture Recognition
[NO] 188/200 | Robotic Compliant Disassembly Strategy for Disassembling Dual Peg-hole with Uncertain Incomplete State: Mathematical Model and Optimization Methods
[NO] 189/200 | LAMC2026 CFP
[NO] 190/200 | CResPIE-ViT: A Compact Vision Transformer-based Framework for COVID-19 Lesion Segmentation and Severity Prediction
[NO] 191/200 | A Convenient Modeling Approach for Heavy-Haul Train Traction and Dynamic Braking in Longitudinal Train Dynamics Simulation
[NO] 192/200 | Detection and Classification of Foreign Objects in Aqueous Food based on Multi-sensor Surface Electric Potential Sensing with Matched Filtering
[NO] 193/200 | An Edge Intelligence Gateway for Smart Metering Nodes with Event-Driven Control and On-Device Optimization
[NO] 194/200 | AI-Based Detection of Psychological Disorders using EEG Signals and Deep Learning
[NO] 195/200 | Energy-Efficient TinyML Framework for Real-Time Anomaly Detection in Embedded Electronic Devices
[NO] 196/200 | Explainable Multi-Class Industrial IoT Intrusion Detection on the TON-IoT Network Dataset Using Multiple Machine Learning Models
[NO] 197/200 | Transfer Learning-Based Beamforming for MIMO Antenna Arrays Using Pre-Trained Neural Network Model
[NO] 198/200 | AXI-Based DMA Architecture with Latency Optimization on Small Packet Transfer in PCIe-based FPGA Systems
[NO] 199/200 | Design and Implementation of a Low-Cost Signal Conditioning Unit for LM35 Temperature Sensor
[NO] 200/200 | Dynamic Placement and Service Provisioning of AI/ML Inference Models in O-RAN Infrastructure
筛选完成：共 200 篇；Yes = 4 篇；已保存到 papers/select_paper2026-07-13.json。
邮件发送成功！
[2026-07-14 11:06:43] 任务执行成功！
