[2026-07-30 11:01:00] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-07-29
正在获取论文...
[arXiv] 2026-07-29 | ClockRoPE: Random Fourier Rotations for Temporal Routine Modeling
[NO] 70/200 | A Persona-based Rate Action Index
[NO] 71/200 | Static topological dilatonic black hole with multiple horizons and its thermodynamics
[NO] 72/200 | Local asymptotics near a smooth boundary point and estimates for a hyperbolic-type metric
[NO] 73/200 | The Art of Not Forgetting A Local Learning Architecture for Continual Learning
[NO] 74/200 | HiFloat4 Format for End-To-End Reinforcement Learning Post-Training of Large Language Models
[NO] 75/200 | BiHom-L-R-smash biproduct and BiHom-Yetter-Drinfel'd-Long category
[NO] 76/200 | Safety-Gated Autoscaling: A Multi-Layered Defense Architecture for Kubernetes Vertical Resource Optimization
[NO] 77/200 | An Efficient Algorithm for Computing Mountain Prominence in Almost Linear Time
[NO] 78/200 | Revisiting Electron Heating in Capacitively Coupled Plasma (CCP) Discharges: A Nonlinear Dynamics Perspective
[NO] 79/200 | A new theorem of alternatives leading to sufficient conditions for the superiorization guarantee question of Dynamic String-Averaging in the inconsistent case
[NO] 80/200 | Same-spin Andreev reflections in the quantum Hall regime: the role of loss
[NO] 81/200 | Quantum random number generation using spatial quantum noise of light
[NO] 82/200 | A Receding Horizon Control For General Assembly Line Balancing Problems
[NO] 83/200 | Finding diagonal logical gates in CSS codes and circuits
[NO] 84/200 | CMT-RAG: Complementary Memory Traces for Multi-turn Multi-hop RAG
[NO] 85/200 | Neural Architecture Search for Traffic Prediction: A Survey of Methods, Challenges, and Future Directions
[NO] 86/200 | Exact solutions for static spherically symmetric spacetime with a perfect fluid in Rastall theory
[NO] 87/200 | Evolution of hypersurfaces in $(n+1)$-dimensional light-cone
[NO] 88/200 | DHRCL:Training Code LLMs with Dense Hierarchical Rewards and Curriculum Learning
[NO] 89/200 | Energy-Efficient Access-Point Sleep-Mode Techniques for Cell-Free mmWave Massive MIMO Networks With Non-Uniform Spatial Traffic Density
[NO] 90/200 | Phantom-divide crossing and suppressed structure growth in kinetically braided dark energy with momentum exchange
[NO] 91/200 | Straightedge-and-Compass Constructibility of the Reciprocal-$k$-th-Power Law
[NO] 92/200 | Explicit Note-Event Tokenization and Pitch-Validity Constrained Decoding for MIDI-to-Tablature Transcription
[NO] 93/200 | Decoder-Guided Lossy Contour Coding Via Anchor Refinement
[NO] 94/200 | Observations of a Solar Jet Triggered by Reconnection between Super-penumbral Fibrils and a Mini-filament
[NO] 95/200 | Machine-Checked Certificates for the Geometric Half of the Minimum Kochen-Specker Bound
[NO] 96/200 | Can We Trust AI in 6G? Verifiable and Auditable AI-Driven Trustworthy Wireless Networks
[NO] 97/200 | Examining the Efficacy of Graph Neural Network Message-Passing in Regression Contexts
[NO] 98/200 | Sensor-Placement-Agnostic Sonomyography: Toward Continuous High-Dimensional Control by Users with Tetraplegia
[NO] 99/200 | Q-Steer: Action-Value Guidance for Molecular Policy Optimization
[NO] 100/200 | "Nobody Did This": Contribution, Originality, and Accountability in Agent-Mediated Collaboration
[NO] 101/200 | Aggregating Security Measures from the Dependency Tree
[NO] 102/200 | A Soundness and Precision Benchmark for Java Debloating Tools
[NO] 103/200 | A Computational Framework for Deep Phenotyping of Maternal Autonomic Resilience Using 65 Months of Continuous Wearable Biometric Data
[NO] 104/200 | An application of genomic language models for antimicrobial resistance prediction in S. pneumoniae
[NO] 105/200 | Probing the Intrinsic Effectiveness of Large Language Models for Medical Classifications
[NO] 106/200 | Understanding CI/CD Workflow Runs Through Interactive and Animated Visualizations
[NO] 107/200 | A novel image hashing with visual and structural feature maps for content authentication
[NO] 108/200 | Accelerating Diffusion Model Inference: A Blockchain-aided Trusted Cloud-Edge Collaborative Framework
[NO] 109/200 | IEEE Join a Technical Committee announcement
[NO] 110/200 | Unsupervised Deformable Bilinear Fusion Network for Unregistered Hyperspectral Image Super-resolution
[NO] 111/200 | Remaining Lifetime Modeling for IGBT Devices Based on the Microscopic Defect From Evolution Simulation
[NO] 112/200 | Cross-Level Frequency-Domain Boundary-Aware Lightweight Network for SAR Flood Detection
[NO] 113/200 | Table of Contents
[NO] 114/200 | Defect-based Stability, Reliability, and Performance of Multiple Quantum Well Sb2S3 Photovoltaic Devices with Nanosphere CdS Buffer Layer
[NO] 115/200 | Can a Single Profile Reveal the Three-Dimensional Ocean Temperature Field in Its Surrounding Region? A Lightweight Deep Learning Proof of Concept
[NO] 116/200 | Spectral Graph Wavelet and Attention-based Graph Convolutional Network for Bird Sound Recognition
[NO] 117/200 | IEEE Journal of Quantum Electronics Publication Information
[NO] 118/200 | Voltage Sag Source Location using Collaborative Training and Knowledge Transfer in Sparsely Measured Distribution Networks
[NO] 119/200 | Enhancing the Optoelectronic Performance of InGaN-Based RGB Micro-LEDs via a DBR/Ag Composite Structure for Display Applications
[NO] 120/200 | Artifact Appendix for Orchestrating WASM-Based MCP Tool Runtimes for AI Agents Across Edge-Cloud Continuum
[NO] 121/200 | Preface
[NO] 122/200 | AURA: Automated Analysis and Reporting of Therapeutically Applied Table-top Role-Playing Games
[NO] 123/200 | Beyond Narrative Reflection: Transience as a Material Pathway to Eudaimonic Player Experience
[NO] 124/200 | An Intelligent Adaptive Learning System with Gamification and Performance Analytics for Enhanced Learner Engagement
[NO] 125/200 | Quality-Complexity Trade-offs for Sustainable Media Delivery
[NO] 126/200 | On-Chip Pseudo-Random Microwave Waveform Generation Based on Random-Sampled Subwavelength Grating Waveguide Bragg Grating
[NO] 127/200 | Mechanism-Embedded Deep Learning-Based Steel Plate Surface Defect Detection
[NO] 128/200 | Client-Conditional Federated Learning via Local Training Data Statistics
[NO] 129/200 | Graph-Variational Hybrid Framework for Intelligent Pre-Analysis of Medical Images
[NO] 130/200 | Towards Explainable Quantum Machine Learning: A Hybrid Quantum SHAP-based Framework
[NO] 131/200 | AI-Driven Multi-Robot Platform for Precision Agriculture
[NO] 132/200 | Research on Multi-agent Collaborative Technology for Communication Network Operation and Maintenance
[NO] 133/200 | Multi-Provider Caching in Multi-Tier Fog Networks
[YES] 134/200 | A 7.1-8.4 GHz Slant Dual-Polarized High-Aperture-Efficiency Reconfigurable Intelligent Surface for 6G FR3 Systems
[NO] 135/200 | Bidirectional Graph Fusion of Functional Brain Networks and Genetic Data
[NO] 136/200 | A Framework for Strengthening Quantum Cryptography with Machine Learning and Error Correction
[NO] 137/200 | Emotional Intelligence Driven Adaptive User Experience for Immersive Human AI Collaboration in Augmented Reality Environments
[NO] 138/200 | FMCW-CDMA Based Radar-Repeater Network for Enhanced Detection and 2D Imaging of Specular Targets
[NO] 139/200 | Automated Generation Method for Airworthiness SysML Use Case Models Based on Deep Semantic Parsing
[NO] 140/200 | A Comparative User Study of Real-Time Head-Appearance Telepresence in 2D and 3D Representations
[NO] 141/200 | Discovery of Student Learning Behaviours using a Multi-Model Unsupervised Learning Framework
[NO] 142/200 | Microwave Patch Antenna with SnO₂-Filled Grounded Vias for Passive RFID Hydrogen Sensing
[NO] 143/200 | Machine Learning-Augmented AI System for Medical Report Analysis, Clinical Summarization, and Diagnostic Decision Support
[NO] 144/200 | Research on Heterogeneous-Standard Simulation Scenario Conversion Based on Large Models
[NO] 145/200 | Author Index
[YES] 146/200 | Adaptive Federated Reinforcement Learning for Power and Phase Shifts Control in Multi-RIS-Assisted HSR Networks
[NO] 147/200 | HEAD Committees: CCGridW 2026
[NO] 148/200 | NBV-HDS: Next Best View Planning Network for High-Accuracy Data Stitching in Robotic 3-D Scanning
[NO] 149/200 | AEVINS: Tightly Coupled Acoustic-Event-Visual-Inertial Underwater Localization System in Complex Environments
[NO] 150/200 | DXGrasp: Affordance-Reasoning Based Part-Level Robotic Grasping for Object Handover in Clutter
[NO] 151/200 | REDEditing: Relationship-Driven Precise Backdoor Poisoning on Text-to-Image Diffusion Models
[NO] 152/200 | Non-stationary Multi-component Forced Oscillation Components Extraction of Power Systems from Multi-channel Time-frequency Representations
[NO] 153/200 | A Physics-Guided Framework for Battery State-of-Charge Estimation Based on Improved Dual-Scale Feature-Fusion TCN and Adaptive Zonotopic Filtering
[NO] 154/200 | NTN-Aware Federated Learning Framework with Hierarchical Satellite Aggregation and LoRA-Based Parameter Efficiency
[NO] 155/200 | Cybersecurity in Autonomous Vehicles
[NO] 156/200 | Effect of Contact Materials on the DC Interruption Characteristics of a TMF Vacuum Circuit Breaker
[NO] 157/200 | Promoting Digital Literacy in Pre-Service Teacher Training: Educational Video Games
[NO] 158/200 | Machine Learning Models for Field Scale Soil Moisture Mapping via UAS-based GNSS-R
[NO] 159/200 | Organizing Committee
[NO] 160/200 | Do Developers Read Type Information? An Eye-Tracking Study on TypeScript
[NO] 161/200 | Toxic Behavior in League of Legends Through the Lens of Psychological Reactance Theory: The Role of Communication Styles
[NO] 162/200 | Difficulty-Based Generation of Paperfolding Puzzles
[NO] 163/200 | With the Stroke of a Brush: A Generative-AI Smart Brush for Instant Game Map Editing
[NO] 164/200 | Rhythm Walker: The Effect of Music Choice and Rhythm in Game-music Integration for Exergames
[NO] 165/200 | Q-Agent: An MLLM-Driven Framework for Universal Visual Quality Assessment
[NO] 166/200 | A Mamba-Based Perceptual Loss Function for Learning-Based UGC Transcoding
[NO] 167/200 | Design of Energy-Efficient TinyML Accelerators: From MATLAB Modeling to FPGA and Embedded Deployment
[NO] 168/200 | Compression Efficiency and Complexity Evaluation of MPEG-5 LCEVC-Enhanced VVenC for UHD Video Delivery
[NO] 169/200 | Server Cluster Health Quantification and Anomaly Detection via Historical Operation Data and Graph Attention Network
[NO] 170/200 | AI-based Missing Person Identification using YOLO and Deep Facial Embeddings
[NO] 171/200 | Research on Multi-Modal Feature Fusion Strategies for 3D Medical Image Segmentation
[NO] 172/200 | Kerberos vs. Public Key Authentication in z/OS Environments: Performance, Scalability, and Security Trade-offs
[NO] 173/200 | TSSC-UML: Unsupervised Few-Shot Fault Diagnosis for AUVs via Multivariate Time-series Soft Clustering Meta-Learning
[NO] 174/200 | Research on Dynamic Prediction of Construction Schedule Based on TCN-BiGRU-Transformer
[NO] 175/200 | Impact of Interaction-Induced Body Movement on Cybersickness in Interactive Virtual Reality Environments
[NO] 176/200 | Query-Based Hierarchical Fusion of Multi-Level Visual Features for AIGC Image Quality Assessment
[NO] 177/200 | Lightweight Hybrid CNN-based Models for Real-Time ECG Beat Classification in Wearable Devices
[NO] 178/200 | AgCl based Optically Transparent and Flexible Beam Forming Reflectarray for Millimeter-Wave Applications
[NO] 179/200 | Intelligent Waste Segregation System Leveraging Deep Learning for Smart Urban Sustainability
[NO] 180/200 | SACoaL-κ: A Semantic-Driven Coalition Consensus Algorithm for Decentralized Federated Learning
[NO] 181/200 | The Curse of Dimensionality: What Lies Beyond the Capabilities of Physics-Informed Neural Networks
[NO] 182/200 | Precision Detection of Gastric Cancer Using MCSCN
[NO] 183/200 | LEIQ-Assessor: Multi-Dimensional Quality Assessment of Low-Light Enhanced Images via Multi-Task Learning
[NO] 184/200 | Adaptive Three-Tier Federated Intelligence for Real-Time Anomaly Detection and Threat Prediction in Resource-Constrained IoT Systems
[NO] 185/200 | PVM-UNet3+: Full-Scale Skip Connections Enhanced by Parallel Vision Mamba for Stroke Lesion Segmentation
[NO] 186/200 | Comparative Analysis of Machine Learning, Deep Learning, and Transformer Models for Boulder Classification: Insights from a Novel Balanced and Imbalanced Sonar Image Dataset
[NO] 187/200 | Asymmetry-Aware No-Reference Video Quality Assessment via Dual-Region Temporal Modeling
[NO] 188/200 | Software Defect Prediction and Test Optimization Based on an Improved BiLSTM Network
[NO] 189/200 | AccTS: Co-Design of OS Scheduling and System Architecture for Accelerator-Rich SoC
[NO] 190/200 | A Machine Learning-Based Method for Retrieving Atmospheric Temperature and Humidity Profiles from FY4B-GIIRS Data
[NO] 191/200 | Passive Reduction of Phase Rotation and Doppler Shift on Moving Communication Systems by using Kramers-Kronig Receivers
[NO] 192/200 | FLAM: Evaluating Model Performance with Aggregatable Measures in Federated Learning
[NO] 193/200 | Invited Industry Session: How to Use QoE in Industry? Experiences and Open Problems
[NO] 194/200 | Optimal Computation in Anonymous Dynamic Networks
[NO] 195/200 | Multi-Frame Track-Before-Detect Algorithm for Radar Range Spread Targets_supp1-3717767.pdf
[NO] 196/200 | SPA-Net: Skeletal-to-Whole Point Cloud Completion Via Progressive Off-attention Neighboring Feature Aggregation
[NO] 197/200 | Untangling Intricate Dependencies: Characterizing and Resolving Software Package Dependencies
[NO] 198/200 | A Bootstrap Estimator for Stirring Bandwidth of a Frequency-Stirred Reverberation Chamber
[YES] 199/200 | LLM-Empowered MAPPO for Embodied Cognitive Satellite-Terrestrial Networks with RSMA
[NO] 200/200 | Asynchronous Random Committee Election for Preprocessing in Asynchronous Distributed Key Generation
筛选完成：共 200 篇；Yes = 3 篇；已保存到 papers/select_paper2026-07-29.json。
邮件发送成功！
[2026-07-30 11:37:54] 任务执行成功！
