[2026-08-07 09:54:34] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-08-06
正在获取论文...
[arXiv] 2026-08-06 | Periods of E-operators
[NO] 77/200 | TruthLens: Object Hallucination Detection via Self-Evaluating Truthfulness Scores in LVLMs
[NO] 78/200 | Structured Dimension-Matched Joint Variational Transdimensional Inference
[NO] 79/200 | Compact balanced threefolds and LCK manifolds with constant holomorphic sectional curvature
[NO] 80/200 | An Ordered-Reliability-Bits Chase Decoding Algorithm for BCH Codes
[NO] 81/200 | On the Asymptotic Normality and Unimodality of Genus Distributions of Wheels
[NO] 82/200 | Detecting Safety Training Modification in Language Models via Activation Analysis
[NO] 83/200 | A Multi-Layer System for Ultra-High-Resolution Static 360-Degree Telepresence
[NO] 84/200 | CoordRefer: Coordinate-Aware 3D Visual Grounding from Multiview Images
[NO] 85/200 | SDDmiP.jl: A Software Package with a Provably Convergent Benders Algorithm for Multi-Stage Stochastic Mixed-Integer Programming
[NO] 86/200 | Lorenz Links that are not Horseshoe and Rossler Links
[NO] 87/200 | A Self-Explainable Deep Architecture for Security Applications
[NO] 88/200 | omni-macos: On-Device Omni-Modal Search on Apple Silicon
[NO] 89/200 | Splitting methods for Intermediate Long Wave and perturbed Benjamin--Ono models
[NO] 90/200 | A Unified Framework for Iterate Convergence of Bregman Proximal Methods
[NO] 91/200 | Quantum information loss
[NO] 92/200 | X-Z Round Scheduling for the Surface Code with Defects under Biased Noise
[NO] 93/200 | Iwasawa invariants and exceptional pairs of certain abelian fields
[NO] 94/200 | EG-VAE: A Unified Framework for Electric Guitar Tone Transfer and Removal
[NO] 95/200 | AffectDF: The Most Comprehensive Benchmark for Speech Deepfake Detection against Emotionally Expressive Attacks
[NO] 96/200 | The TASSIE Program. II: Three Close-In Companions Orbiting Sun-Like Stars
[NO] 97/200 | Morphology of frozen labyrinths from irreversible threshold dynamics
[NO] 98/200 | A Quantum Circuit Framework for Protein Ensemble-Level Energetics
[NO] 99/200 | Hyperbolicity and Ergodicity in Randomly Perturbed Billiard Systems
[NO] 100/200 | BioKD: Selective Physiology-to-Video Knowledge Distillation via Reliability Gate for Emotion Recognition
[NO] 101/200 | BAGAS: Blockchain-Assisted Group Authentication Scheme for Internet of Drones
[NO] 102/200 | Ternary Noise Modulation
[NO] 103/200 | Spatiotemporal Consistency Constrained Imaging Sonar Odometry for Underwater Robots
[YES] 104/200 | Compressed-Sensing-Based Deep JSCC for Resource-Constrained Remote Sensing Transmission
[NO] 105/200 | AI-Based Spatiotemporal Analysis Reveals Distinct Neuronal Markers of Morphine Response during Chronic Pain in Mice
[NO] 106/200 | IEEE Access
[NO] 107/200 | World-Model-Based Deep Reinforcement Learning for Real-Time Microgrid Energy Management
[NO] 108/200 | Knowledge Rectification for Camouflaged Object Detection: Unlocking Insights from Low-Resolution Data
[NO] 109/200 | A Metaheuristic Controller Design Procedure Considering Linear Time-Variant Behavior to Optimize DC-DC Converter Response to Wide Load Variations
[NO] 110/200 | Fast Negative-Sequence Voltage Suppression for Grid-Feeding Inverters With Virtual Voltage Control
[NO] 111/200 | Table of Contents
[NO] 112/200 | IEEE Xplore
[NO] 113/200 | A 1.6-fJ/Spike Subthreshold Analog Spiking Neuron in 28 nm CMOS
[NO] 114/200 | Prescribed-Time Adaptive Tracking for Nonlinear Systems via Nonvanishing Disturbance Observer and Command Filtering
[NO] 115/200 | HRN: A Hybrid Recall Network for Crop Classification Using Multi-source Time-series Remote Sensing Data
[NO] 116/200 | Comparative Analysis between Classical CNNs and Quantum Convolutional Neural Networks for Cacao Pod Disease Classification
[NO] 117/200 | Center-Guided Divergence Attention Network for Robust Steganalysis of Dynamic-Length Low-Bit-Rate Speech Streams
[NO] 118/200 | FLEDA: Forecasting-Based Data Partition Placement for Efficient Deep Learning Recommendation Model Training
[NO] 119/200 | Privacy-Aware Decoding: Mitigating Privacy Leakage of Large Language Models in Retrieval-Augmented Generation
[NO] 120/200 | UniRank: A Unified Framework for Efficient Multi-Objective LLM Ranking in Industrial Search
[NO] 121/200 | The Entropic Overhead of Conformal Correction
[NO] 122/200 | GaussTrap: Stealthy Backdoor Attacks on 3D Gaussian Splatting for Targeted Scene Misperception
[NO] 123/200 | MUSTANG: Multi-Variable Spatio-Temporal Meta-Learning for Water Data Imputation
[NO] 124/200 | LCATS: LLM-Guided Constraint-Aware Tabular Data Synthesis
[NO] 125/200 | TTMC: Brain-Inspired Test-Time Memory Calibration with Orthogonal Projection for Online Continual Learning
[NO] 126/200 | ReLU: Refined Chunk Embeddings Learning for Ultra-long SNP Genomic Prediction in Crop Breeding
[NO] 127/200 | The 7th International Workshop on Talent and Management Computing (TMC 2026)
[NO] 128/200 | Is the Last Check-In All You Need? Next POI Recommendation: Recall and Rerank
[NO] 129/200 | Bounded-Abstention Pairwise Learning to Rank
[NO] 130/200 | C-iVAE: Causal Structure-Aware Identifiable VAE for Tabular Data with Limited Environments
[NO] 131/200 | Force-Recovered Neural Operators for Coupled Structures with Test-Time Closure Calibration
[NO] 132/200 | TMallGS: Scaling Unified Feature and Sequence Modeling for Generative E-commerce Search
[NO] 133/200 | Deterministic-Allocation and Anonymous Joint Advertising in E-commerce Platforms
[NO] 134/200 | IonoFM: Multimodal Self-Supervised Learning for Ionospheric Monitoring and Prediction
[NO] 135/200 | Reinforcement Learning with Scenario-Context Rollout in Portfolio Management
[NO] 136/200 | C
                    <sup>2</sup>
                    KV: Compressed and Composable KV Cache Reuse for Efficient LLM Inference
[NO] 137/200 | <scp>SimCoachCorpus:</scp>
                    A Naturalistic Dataset with Language and Trajectories for Embodied Teaching
[NO] 138/200 | Balanced Multimodal Federated Learning: An Efficient and Noise-Resilient Approach
[NO] 139/200 | DyGADBench: A Comprehensive Benchmark for Anomaly Detection in Dynamic Graphs
[NO] 140/200 | Multi-Modal Hierarchical Retrieval-Augmented Generation for Document Question Answering
[NO] 141/200 | AIGQ: An End-to-End Hybrid Generative Architecture for E-commerce Query Recommendation
[NO] 142/200 | Ranking Anomalous Subsequences in Large Scale Streaming Data for Efficient Triage
[NO] 143/200 | RAPO: Expanding Exploration for LLM Agents via Retrieval-Augmented Policy Optimization
[NO] 144/200 | GDPTN: Econometrics-Informed Deep Generative Forecasting for Large-Scale Censored Panel Data
[NO] 145/200 | HIVE: Hierarchical Generation of Integrated and Varied Ensembles for Efficient Out-of-Distribution Generalization
[NO] 146/200 | MoE-Pointer: Seq2Seq Reinforcement Learning for Dynamic Multi-Echelon Pickup-and-Delivery with Courier-Drone Relay
[NO] 147/200 | UrbanGraphEmbeddings: Learning and Evaluating Spatially Grounded Multimodal Embeddings for Urban Environments
[NO] 148/200 | SAASBench: A Synthetic Antibody–antigen Specificity Benchmark
[NO] 149/200 | Beyond Reaction Data: Learning Chemical Knowledge from Large-Scale Molecules for Retrosynthesis
[NO] 150/200 | Synthetic Interaction Data for Scalable Personalization in Large Language Models
[NO] 151/200 | LLM-based Evaluation Policy Extraction for Ecological Modeling
[NO] 152/200 | Both Topology and Text Matter: Revisiting LLM-guided Out-of-Distribution Detection on Text-attributed Graphs
[NO] 153/200 | G-STAR: Graph-based Scheduling with Trace-driven Adaptive Routing for Industrial LLM-based Multi-Agent Systems
[NO] 154/200 | MDL: A Unified Multi-Distribution Learner in Large-scale Industrial Recommendation through Tokenization
[NO] 155/200 | VCAgent: A Mutation-Guided Self-Reflective Agent Framework for Virtual Cell Modeling
[NO] 156/200 | OpenAqua: A Large-Scale Fine-Grained Dataset and Benchmark for Open Underwater Visual Perception
[NO] 157/200 | CMF-ELN: A Cross-Modal-Fused End-to-end Learning Network for Cold-Start Drug-Drug Interaction Prediction
[NO] 158/200 | CEComBench: Benchmarking Large Language Models' performance on Chinese E-commerce tasks
[NO] 159/200 | Training-free Truthfulness Detection via Sparse MLP Value Vectors
[YES] 160/200 | A Survey on UAV-Assisted Wireless Communications for Future Networks
[NO] 161/200 | Large-Scale MIMO for Satellite Communications: Opportunities and Challenges
[NO] 162/200 | SYNAPSE: Privacy-Constrained Diagnosis-Aware Exercise Recommendation with Synthetic Data
[NO] 163/200 | Authenticating and Authorizing the Caller: A Defense Mechanism Against Caller ID Spoofing
[NO] 164/200 | Obstacle-Aware Interpolation for Real-Time Radio Map Generation in Smart Factories
[NO] 165/200 | Neural Fitting for Sparse Radio Map Construction in LEO Satellite Network
[NO] 166/200 | Graph-Based Modelling and Prediction of Adversary Behaviour from Honeypot Traces
[NO] 167/200 | Risk Management Framework for LLM-Enabled Identity Tools: Mapping OWASP LLM Top 10 to NIST CSF 2.0
[NO] 168/200 | AIRC 2026 Cover Page
[NO] 169/200 | Dynamic Object-Based Point Cloud Registration for Roadside LiDAR Calibration in Low-Overlap Outdoor Deployments
[NO] 170/200 | Robust Optimal Formation Control in Connected Autonomous Surface Vehicles with Multiple Objectives and Input Dead-Zones
[NO] 171/200 | WoRMA 2026 Keynotes
[NO] 172/200 | Quantum Attention Mechanisms: Architectures, Measurement Overhead, and Empirical Evidence
[NO] 173/200 | Wings-Embedded Through Polymer Via (WTPV) for Signal Integrity and Thermal Management in 3D Integrated Circuits
[NO] 174/200 | Deep Neural Networks for Inverse Kinematics with Multi-Valued Solution Spaces: Limitations and Hybrid Learning–Optimization Approach
[NO] 175/200 | A 11.6–27.7-GHz Frequency Doubler With Stack Harmonic Feedback Achieving 18.8% Total Efficiency
[NO] 176/200 | NewbornTimeLine: Automated Video-Based Timelines for Neonatal Resuscitation in a Hospital Pilot Study
[NO] 177/200 | Cybersecure and Privacy-Aware Governance Framework with Face Verification ID in Digital Public Infrastructure Toward a Trusted and Secure Digital Society: A Systematic Literature Review
[NO] 178/200 | Trustworthy LLM-Based Agents for Data-Centric AI
[NO] 179/200 | Interactive Recommendation Agent with Active User Commands
[NO] 180/200 | Text-Guided Visual Representation Learning for Robust Multimodal E-Commerce Recommendation
[NO] 181/200 | TCG-LLM: Physics-aware Fine-tuning with Quality-based Reward Shaping for Tropical Cyclogenesis Detection and Localization
[NO] 182/200 | Integrating Inductive Biases in Transformers via Distillation for Financial Time Series Forecasting
[NO] 183/200 | Beyond Time Series: Spatial Reasoning for Epidemic Forecasting via Multimodal Learning
[NO] 184/200 | FairTraj: Density-Aware Generative Data Augmentation for Fairness in Downstream Trajectory Learning Tasks
[NO] 185/200 | From Scaling to Structured Expressivity: Rethinking Transformers for CTR Prediction
[NO] 186/200 | GREPO: A Benchmark for Graph Neural Networks on Repository-Level Bug Localization
[NO] 187/200 | RAViG-Bench: A Benchmark for Retrieval-Augmented Visually-Rich Generation with Multi-Modal Automated Evaluation
[NO] 188/200 | Lightweight Wrappers for Adapting Time Series Foundation Models to Regional Drought Forecasting
[NO] 189/200 | ECHO: Adaptive Community Search over Multimodal Graphs
[NO] 190/200 | LocalSearchBench: Benchmarking Agentic Search in Real-World Local Life Services
[NO] 191/200 | Scalable Multi-Action Offline Policy Learning with an
                    <i>m</i>
                    -ary Tree
[NO] 192/200 | X-VORTEX: Spatio-Temporal Contrastive Learning for Wake Vortex Trajectory Forecasting
[NO] 193/200 | Dual-Difficulty Curriculum Learning for Direct Preference Optimization
[NO] 194/200 | HD-Prot: A Protein Language Model for Joint Sequence-Structure Modeling with Continuous Structure Tokens
[NO] 195/200 | Hierarchical Causal Model for Multimodal Single-cell Data Integration and Prediction
[NO] 196/200 | PRIME: A Pretrained Representation-Induced Model for 3D Molecules in De Novo Binder Design
[NO] 197/200 | Native Hierarchical and Compositional Representations with Subspace Embeddings
[NO] 198/200 | Stabilizing Physics-Informed Consistency Models via Structure-Preserving Training
[NO] 199/200 | <scp>MirrorBench:</scp>
                    A Benchmark to Evaluate Conversational User-Proxy Agents for Human-Likeness
[NO] 200/200 | A More Accurate Algorithm Comparison through A/B Testing using Offline Evaluation Methods
筛选完成：共 200 篇；Yes = 2 篇；已保存到 papers/select_paper2026-08-06.json。
邮件发送成功！
[2026-08-07 10:33:34] 任务执行成功！
