[2026-09-02 13:08:44] 开始执行论文搜索任务
搜索关键词: ISAC
搜索日期范围: 2026-09-01
正在获取论文...
[arXiv] 2026-09-01 | It Takes Two to Match: Co-Evolving Generative Retriever with Reinforcement Learning
[NO] 72/200 | Quantifying Sky Map Resolution Requirements for Beam Chromaticity Correction in Sky-Averaged 21 cm Experiments
[NO] 73/200 | Unbalanced spectral Turán problem for color-critical graphs with prescribed large maximum degree
[NO] 74/200 | ClinTraceBench: Source-Verifiable Longitudinal Clinical Reasoning over EHR-Derived Dialogues
[NO] 75/200 | Reliable LLM-Generated Programs for High-Energy Physics Experiments through Graph-Grounded Software Knowledge
[NO] 76/200 | Fine-Tuning Large Language Models to Classify Pull Request-Issue Alignments: Going Beyond Prompting
[NO] 77/200 | The real-rootedness of the toric $g$-contribution polynomials
[NO] 78/200 | The thermal emission for knot A of radio galaxy M87 by Chandra
[NO] 79/200 | Trap Dynamics and Conductivity Changes in AlGaN/GaN Heterostructures Under Ultrasonic Loading
[NO] 80/200 | A threshold phenomenon for embeddings of Euclidean snowflakes and impossibility of dimension reduction
[NO] 81/200 | JENGA: Exploiting Counter-Based RowHammer Countermeasures to Break Real-Time Predictability
[NO] 82/200 | Text-guided flow matching enables sample-efficient crystal structure generation
[YES] 83/200 | OTFS Channel Estimation Utilizing Sparse Bayesian Generative Modelling
[NO] 84/200 | Asymptotically Optimal List Size of Random Linear Codes
[NO] 85/200 | Space Generative AI with Solar Energy Harvesting
[NO] 86/200 | Dyn-3D: Unveiling and Resolving Ego-Motion Ambiguity in Vision-Language Models
[NO] 87/200 | ARISE-RL: Agentic Rubric-Grounded Iterative Self-Evolution with Reinforcement Learning
[NO] 88/200 | Active Visual Semantics: A large-scale MEG and eye-tracking dataset for understanding visual intelligence in action
[NO] 89/200 | Archival transients detected with the MeerLICHT telescope I: Supernovae
[NO] 90/200 | HiveTraceGuard-Pro: A Compact Generative Guardrail for Prompt Injection, Jailbreaks, and Adversarial Obfuscation
[NO] 91/200 | From Truncation to Commitment: Persistent Context in Uniform Discrete Diffusion
[NO] 92/200 | Data-Driven Persona-Conditioned Agents for A/B Test Simulation
[NO] 93/200 | AKRASIA: Stealthy Backdoor Attack on Reasoning-based Code LLMs
[NO] 94/200 | Phrase-Localized Language-Contrastive Guidance: Training-Free Localized Accent Control for Code-Switching Text-to-Speech
[NO] 95/200 | Revisiting candidates for non-pulsating stars located in the Cepheid instability strip in the Large Magellanic Cloud
[NO] 96/200 | Inspicio: Open-Vocabulary, LLM-Based Sense Retrieval for Historical Languages
[NO] 97/200 | The Missing MeV Window for Identifying Galactic PeVatrons: the need for a dedicated MeV Observatory
[NO] 98/200 | On the Human and Computer Alignment of Attribute-Based Music Matches
[NO] 99/200 | Near-extremal asymptotics and strong cosmic censorship for black holes immersed in a Chaplygin-like dark fluid
[NO] 100/200 | ReFlowSET: Representation-Aligned Latent Flow Matching for SAR-to-EO Image Translation
[NO] 101/200 | AEAvatar: Animatable and Editable Generative Gaussian Head Avatar
[NO] 102/200 | Pattern in Motion: Retrieval-Augmented Learning for Dynamic Spatio-Temporal Graphs
[YES] 103/200 | Low-Altitude Reflection via UAV-Mounted Rotatable IRS
[YES] 104/200 | Feedback Does Not Increase the Capacity of Approximately Memoryless Surjective POST Channels
[NO] 105/200 | Efficient Neuro-Coupling Matrix-Based Surrogate Optimization With Adaptive Modeling Region Update for Microwave Filters
[YES] 106/200 | UAV-Integrated Dynamic Partial Task Offloading Optimization in Vehicular Edge Computing via Deep Reinforcement Learning
[NO] 107/200 | A 256-Channel Solid-State Nanopore Readout Array With 193-pA TIAs and Event Detection at 1-MHz in 65-nm CMOS
[NO] 108/200 | An Online Inertial Parameter Identification Framework with Complete Physical Consistency: Lower-Body Exoskeleton Use Case_supp1-3729200.pdf
[NO] 109/200 | Exploiting Model Replication and Heterogeneous Accelerator Parallelism for Low-Latency Multi-View Perception_supp2-3728805.mp4
[NO] 110/200 | Heterogeneous Integration of Micro-LEDs on Polyimide Sacrificial Layer Supporting Laser-Induced Mass Transfer_supp2-3728898.mp4
[NO] 111/200 | Efficient Two-timescale User Grouping and Resource Allocation for LEO Satellite Networks With Uneven Traffic
[NO] 112/200 | PASS-Aided Over-the-Air Computation with Programmable Aggregation
[NO] 113/200 | Tuned Reverse Distillation: Enhancing Multimodal Industrial Anomaly Detection with Crossmodal Tuners
[NO] 114/200 | LLCE-SQL: Data-Efficient Text-to-SQL Training via Logic-Linking Driven Collaborative Evolution_supp1-3724417.pdf
[NO] 115/200 | Variable-Stiffness Joint Enabling Multiple Adhesion and Detachment Strategies for Climbing Robots
[NO] 116/200 | Angular-Domain Characterization of Average Contiguous Duration in Generalized Wireless Fading Channels
[NO] 117/200 | Optimization and Efficiency Evaluation of Higher Education Teaching Process Based on Big Data Analysis
[NO] 118/200 | Fostering Teacher Collaborative Learning Communities via AI-Mediated Knowledge Sharing and Expert Matching
[NO] 119/200 | Improved Single-Stage Semi-Supervised Multi-Task Learning Algorithm Based on Joint Pseudo-Label Optimization and Global-Local Constraints
[NO] 120/200 | Graph Attention Learning for Risk Early Warning in Grassroots Governance Using Multi Source Heterogeneous Data
[NO] 121/200 | PLM-Driven Teaching Resource Lifecycle Management Platform: Construction and Empirical Efficacy Study
[NO] 122/200 | Research on the Value Assessment Model of Civil Aviation Data Assets
[NO] 123/200 | Wind-Solar-Hydro Storage Joint Operation Strategy Based on Improved Immune Particle Swarm Optimization Algorithm
[NO] 124/200 | ALBERT-TextCNN Based Grassroots Governance Topic Identification and Cultural Factor Analysis System for Social Media
[NO] 125/200 | Evaluation of the Quality of Environmental Accounting Information Disclosure Based on Deep Learning Theory: A Case Study of China Shenhua Enterprise
[NO] 126/200 | Driving Factors of Four-Chain Integration Open Innovation Ecosystems: An fsQCA and Random Forest Simulation Approach
[NO] 127/200 | Construction Method of Expressway Electromechanical Operation and Maintenance Knowledge Graph Based on Multi-source Heterogeneous Data Fusion
[NO] 128/200 | A Home Modular AI Stereoscopic Planting System
[NO] 129/200 | AI-Empowered Smart Teaching Framework and Learner Profiling in Engineering Education: An Empirical Study Based on K-means Algorithm
[NO] 130/200 | Research on Korean Morphological Analysis and Part-of-Speech Tagging Method Based on Transformer Model
[NO] 131/200 | Application of Style Migration Algorithm in Environmental Architecture Design
[NO] 132/200 | Construction of an Evaluation Model for University Fitness and Bodybuilding Courses Based on Multi-Source Data Fusion
[NO] 133/200 | Non-Negative Gradient based LMS Controller for Grid-Tied PV Supported EV Charging System
[NO] 134/200 | Dynamic Interaction Analysis of Partially Shaded Photovoltaic Systems with Grid-Forming Inverters in Microgrid Applications
[NO] 135/200 | A Multi-Scale GeoAI Framework Linking Parcel-Scale Earth Observation to District-Scale Agricultural Early Warning in South Africa: Methodological Foundations for an Operational System
[NO] 136/200 | A Multi-Parameter Acquisition and Reproduction Framework for Human Manipulation Based on 6-DOF Bilateral Teleoperation
[NO] 137/200 | Control of More Boost Range Switched-Inductor Based Fifth-order Buck-Boost Converter
[NO] 138/200 | Communication Independent Control Framework for Series Balancing Capacitor Integrated DMPPT Scheme for BIPV Application
[NO] 139/200 | Sparse Neural Architecture Search with Enhanced Channel Attention for Motor Fault Diagnosis
[NO] 140/200 | Analysis of Reactive Power in a Wind-Solar-BESS Hybrid Energy System
[NO] 141/200 | Hybrid Intelligent Control of Power Transmission System with VAR Compensator based Multi-Load level Reactive Power Planning
[NO] 142/200 | A Hybrid Energy Disaggregation Architecture for Non-Intrusive Load Monitoring
[NO] 143/200 | Comparative Study of Genetic Algorithm and Ant Colony Optimization for PID
                    <sup>2</sup>
                    Controller Optimization of a 1-DOF Half-Quadrotor
[NO] 144/200 | A Comprehensive Investigation of Temperature and Ageing Effects on Activation Energy and Conductivity of Nomex Insulation Samples
[NO] 145/200 | Active-Model Compensated Model Predictive Control for Ultrasonic Motors in MRI-Compatible Surgical Robots
[NO] 146/200 | FogTrack: Vision-Language Inheritance Learning for Aerial Multi-Vessel Tracking
[NO] 147/200 | High Spectral Purity Pulse Width Modulation Technique (HSP-PWM) for Sinusoidal Waveform Synthesis
[NO] 148/200 | A Simultaneous Calibration Method for Dual-Arm Robots Based on Optical Trackers
[NO] 149/200 | Mean Field Game-based Speed Optimization for Large-population CAVs
[NO] 150/200 | DR-TSLM: Deictic Reference Resolution via Temporal-Spatial Large Language Model for Human-Robot Interaction
[NO] 151/200 | A Wireless Charging Station for Batteries of High Ground Clearance Electric Vehicle using Solar-Energy
[NO] 152/200 | Development of an Intelligent Electronic Nose System Based on Multiferroic BiFeO
                    <sub>3</sub>
                    Nanomaterials
[NO] 153/200 | Compact Grid-PV System with RBFN MPPT and Feedback Linearized Controller for EV Charging
[NO] 154/200 | Decoupled Dynamics: A Cascaded LPV-MPC Framework For Agile Quadrotor Navigation in 3D Space
[NO] 155/200 | Research on Multi-UAV Collision Avoidance Based on Conflict Graph Local Prediction and Control Barrier Functions
[NO] 156/200 | A comprehensive review on opportunities and challenges for electric Vehicle-to-Vehicle (V2V) charging
[NO] 157/200 | Multi-View Projection of 3D Flight Trajectories with Attention Fusion for Flight Maneuver Recognition
[NO] 158/200 | DA-CTransNet: A Transformer-CNN Hybrid Framework for Dermoscopy ImageSegmentation via Domain Adaptation and Cascaded Boundary Refinement
[NO] 159/200 | Public Acceptance Prediction of Vehicle-Battery Separation Insurance for Battery-Swapping New Energy Vehicles Using Random Forest Under the Background of Carbon Neutrality
[NO] 160/200 | Table of Contents
[NO] 161/200 | We Want to Hear From You!
[NO] 162/200 | Improved Accuracy in Multicore Fiber Refractive Index Profile Measurement by Multi-Focus Phase Sinogram Fusion
[NO] 163/200 | Explainable Diffusion Model for Aperture-flexible 3D Quantitative Electromagnetic Imaging
[NO] 164/200 | Hierarchical Scanning for Vision Mamba: Enabling Continuous and Coherent Context Modeling
[NO] 165/200 | Predicting Histotripsy Focal Shifts in the Liver From Acoustic Aberrations Using a Deep Learning Model
[NO] 166/200 | Latent Textual Space: Pivot for Scaling Customized Text-to-Image and Video Generation
[NO] 167/200 | Exploring Common Impulse Response for Cross-Subject Transfer Learning in SSVEP-Based Brain-Computer Interfaces_supp1-3723267.pdf
[NO] 168/200 | Modular and Multi-Domain Verilog-A Modelling of Electrochemical Sensors for Co-Simulation with Electronic Interfaces_supp1-3727188.mp4
[NO] 169/200 | CIS-RAM 2026 Welcome Message
[NO] 170/200 | An Enhanced Multi-Object Tracking Model Used in Low-Frame-Rate Video
[YES] 171/200 | Multiple Access Design and Resource Allocation in Pinching-Antenna Systems
[NO] 172/200 | Life Cycle Cost Oriented Planning of Soft Open Point Considering Device Lifetime in Active Distribution Networks
[NO] 173/200 | First Demonstration of the Positive Threshold Voltage Shift in InAlGaN/GaN HEMT by Adopting Hybrid Ferroelectric Charge Trap Gate Stack (FEG) With Tri-gate Structure
[NO] 174/200 | When Help Matters
[NO] 175/200 | Cryptic Binding Site Prediction Using Equivariant Graph Neural Networks with Kolmogorov-Arnold Networks
[NO] 176/200 | Market-Aware Request Scheduling for Long-Term Benefits in Computing Power Federation
[NO] 177/200 | Author Index
[NO] 178/200 | DAFF-NER: A Radical-Aware and Data-Augmented Framework for Chinese Electronic Medical Record Named Entity Recognition
[NO] 179/200 | Application Analysis of Modern Computer Technology in Agricultural Economic Management
[NO] 180/200 | Detecting High-Potential SMEs with Heterogeneous Graph Neural Networks
[NO] 181/200 | Optimization of Interactive Models in Ideological and Political Education Classrooms Based on Big Data Analysis
[NO] 182/200 | Research on Collaborative Education Support System for Industry-Education Integration in Higher Vocational Colleges under the New “Double High” Plan
[NO] 183/200 | Principal Component Analysis of Factors Influencing Stock Prices of A-Share Listed Companies: A Case Study of Real Estate Enterprises
[NO] 184/200 | Dynamic Weight Fusion Mechanism in Neural Machine Translation via Multilingual Context Modeling
[NO] 185/200 | Multimodal Transformer-Based Automated Metadata Generation and Cataloging Framework for Digital Libraries
[NO] 186/200 | Hybrid Financial Time Series Model Integrating VMD-STFT Analysis and Attention Mechanisms
[NO] 187/200 | Research on Simulated Human-in-the-Loop Reinforcement Learning Methods for Robotic Grasping Oriented to Sample Efficiency Improvement
[NO] 188/200 | BC-FDSSE: Blockchain-Assisted Forward and Backward Secure Dynamic Symmetric Searchable Encryption
[NO] 189/200 | Research on Traffic Sign Recognition Algorithm Based on Improved YOLO
[NO] 190/200 | Identification of bridge mode shapes using a moving dual-axle vehicle  scanning method
[NO] 191/200 | Construction and Application of a Digital Platform for Student Financial Aid Based on the “All-Staff, Whole-Process and All-Round Education” Model
[NO] 192/200 | An improved BP neural network with approximate prior vector inner product for real-time IGBT junction temperature prediction
[NO] 193/200 | A Lightweight Hand-Object Segmentation Network for Object-Agnostic Human-Robot Handovers
[NO] 194/200 | A Study on Cognitive Reconstruction of the Differential Pattern of Mother-in-Law and Daughter-in-Law Relationships Based on the Random Forest Algorithm
[NO] 195/200 | A Paradigm for English Learning in Collaborative Virtual Environments: A Simulation Study
[NO] 196/200 | Application of an Ensemble Learning Method Based on Deep Learning and Gaussian Processes to Stock Price Forecasting
[NO] 197/200 | Analysis of Chirp Interference Effects on GPS L1 C/A Software Receiver Acquisition
[NO] 198/200 | A Consumer-Centric Blockchain Framework for Smart and Sustainable EV Charging and Energy Trading Infrastructure
[NO] 199/200 | Future of Induced Volatolomics in Cancer Risk Pre-Warning
[NO] 200/200 | Exhaled Breath Analysis Using Electronic Nose Detects Chronic Obstructive Pulmonary Disease Patients with Bronchodilator Reversibility
筛选完成：共 200 篇；Yes = 5 篇；已保存到 papers/select_paper2026-09-01.json。
邮件发送成功！
[2026-09-02 14:00:22] 任务执行成功！
